kol_username,month_start,year_start,month_end,year_end,total_posts_pr,total_posts_nonpr,unique_music_pr,unique_music_nonpr,ttSeller,commerceUser,emoji_count_pr,emoji_count_nonpr,hashtag_count_pr,hashtag_count_nonpr,word_count_no_emoji_hashtag_pr,word_count_no_emoji_hashtag_nonpr,early_morning_pr,pr_ratio_early_morning,early_morning_nonpr,morning_pr,pr_ratio_morning,morning_nonpr,afternoon_pr,pr_ratio_afternoon,afternoon_nonpr,evening_pr,pr_ratio_evening,evening_nonpr,late_night_pr,pr_ratio_late_night,late_night_nonpr,is_weekend_pr,pr_ratio_weekend,is_weekend_nonpr,is_trending_pr,pr_ratio_trending,is_trending_nonpr,duration_pr,duration_nonpr,diggCount_pr,diggCount_nonpr,shareCount_pr,shareCount_nonpr,collectCount_pr,collectCount_nonpr,commentCount_pr,commentCount_nonpr,playCount_pr,playCount_nonpr,isSlideshow_pr,pr_ratio_slideshow,isSlideshow_nonpr,isSponsored_pr,pr_ratio_sponsored,isSponsored_nonpr,e_outlier_pr,pr_ratio_e_outlier,e_outlier_nonpr,follower_change_in_input_window,pr_engagement_rate_input,pr_post_ratio,female_percent,vietnam_follower,EngagementRateOnPRPost_target
dramakinglndx,1,2024,6,2024,3,18,3,16,False,False,2,16,9,16,85,580,0,0.0,0,0,0.0,3,0,0.0,3,3,1.0,12,0,0.0,0,2,0.6666666666666666,4,0,0.0,5,222,926,211100,2742900,1307,12861,3835,55172,1115,9534,6189500,33275900,0,0.0,3,0,0.0,0,0,0.0,2,302.0000000000009,0.0351170530737539,0.1428571428571428,78.0,90%,0.0409434977578475
dramakinglndx,2,2024,7,2024,3,20,3,17,False,False,2,17,9,16,85,487,0,0.0,0,0,0.0,3,0,0.0,5,3,1.0,12,0,0.0,0,2,0.6666666666666666,5,0,0.0,3,222,807,211100,2447729,1307,12284,3835,52528,1115,8320,6189500,29316200,0,0.0,6,0,0.0,0,0,0.0,3,-3109.999999999999,0.0351170530737539,0.1304347826086956,78.0,90%,0.0079937788018433
dramakinglndx,3,2024,8,2024,4,20,4,17,False,False,2,21,11,13,94,487,0,0.0,0,0,0.0,3,0,0.0,4,4,1.0,13,0,0.0,0,2,0.5,6,0,0.0,2,263,698,233500,2383129,1433,12154,4016,51458,1234,7618,6747000,28844600,0,0.0,6,0,0.0,0,0,0.0,3,-4454.999999999999,0.0355984882169853,0.1666666666666666,78.0,90%,0.0079937788018433
dramakinglndx,4,2024,9,2024,3,16,3,14,False,False,2,17,7,11,87,244,0,0.0,0,0,0.0,1,0,0.0,3,3,1.0,12,0,0.0,0,1,0.3333333333333333,3,0,0.0,2,210,374,204300,569889,1341,2645,3751,8748,1007,1886,6157500,10064900,0,0.0,6,0,0.0,0,0,0.0,1,-12979.0,0.0341695493300852,0.1578947368421052,78.0,90%,0.0091886299320463
dramakinglndx,5,2024,10,2024,3,19,3,18,False,False,2,20,7,14,87,288,0,0.0,0,0,0.0,1,0,0.0,3,3,1.0,15,0,0.0,0,1,0.3333333333333333,5,0,0.0,2,210,320,204300,653133,1341,3389,3751,7577,1007,2137,6157500,11573100,0,0.0,8,0,0.0,0,0,0.0,0,-13529.0,0.0341695493300852,0.1363636363636363,78.0,90%,0.0134817451775809
dramakinglndx,6,2024,11,2024,3,20,3,19,False,False,1,20,8,16,90,294,0,0.0,0,0,0.0,0,0,0.0,4,3,1.0,16,0,0.0,0,0,0.0,7,0,0.0,2,198,337,302400,566526,4731,3144,5876,5541,1396,2013,24557500,11282300,0,0.0,8,0,0.0,0,0,0.0,3,-13390.0,0.0128027282907462,0.1304347826086956,78.0,90%,0.0134817451775809
dramakinglndx,8,2024,1,2025,4,15,4,15,False,False,4,14,13,20,129,296,0,0.0,0,0,0.0,0,1,0.25,2,3,0.75,13,0,0.0,0,0,0.0,7,0,0.0,0,333,300,266200,315974,4534,1921,5886,3467,1094,1249,28297000,7888300,0,0.0,4,0,0.0,0,0,0.0,2,-10396.0,0.0098142559281902,0.2105263157894736,78.0,90%,0.3598906584264321
conkien01,1,2024,6,2024,48,83,26,47,False,True,34,76,238,438,395,909,1,0.0208333333333333,0,4,0.0833333333333333,15,21,0.4375,28,19,0.3958333333333333,34,3,0.0625,6,13,0.2708333333333333,23,16,0.3333333333333333,34,3200,4466,499855,368078,12894,5585,48010,18017,6522,4878,61442600,10128278,0,0.0,0,0,0.0,0,6,0.125,12,27500.0,0.0092326984860666,0.366412213740458,89.0,96%,0.0067449879974678
conkien01,2,2024,7,2024,50,76,28,41,False,True,35,65,246,396,406,739,1,0.02,0,5,0.1,16,23,0.46,27,18,0.36,26,3,0.06,7,14,0.28,21,17,0.34,24,3310,4180,573156,233032,16339,3916,59390,15244,8727,3463,70936900,6349180,0,0.0,0,0,0.0,0,4,0.08,11,26028.571428571428,0.0092703797318461,0.3968253968253968,89.0,96%,0.0059478167153275
conkien01,3,2024,8,2024,55,71,30,36,False,True,33,60,272,387,452,617,1,0.0181818181818181,0,5,0.0909090909090909,16,26,0.4727272727272727,26,19,0.3454545454545454,24,4,0.0727272727272727,5,13,0.2363636363636363,21,17,0.3090909090909091,17,3760,4066,572225,194679,17221,3680,57563,14338,13072,3265,81305200,5201141,0,0.0,0,0,0.0,0,5,0.0909090909090909,11,27957.14285714285,0.0081185582225983,0.4365079365079365,89.0,96%,0.0051775190171023
