text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
"combo son má cute của an ni râu trong hè bi laik
.
.
.
#annierose697 #reviewlamdep #goclamdep #trangdiem #makeup #maybellinepartner #sunkisser ",2025-06-13 21:34:07,13/06/2025,False,https://www.tiktok.com/@annie.rose697,nhạc nền - annie rose nè,7515442222028983057,https://www.tiktok.com/@annie.rose697/video/7515442197076938002,23,115,0,2607,1,12,"annierose697, reviewlamdep, goclamdep, trangdiem, makeup, maybellinepartner, sunkisser",False,False,annie.rose697,False,False,False,0,7,15,0,0,0,1,0,0
"skintint của wet n wild nha các mom, mướt lắm hihi
.
.
.
#annierose697 #reviewlamdep #goclamdep #trangdiem #makeup #kemnen #skintint #tintedserum #wetnwild ",2025-06-13 20:05:47,13/06/2025,False,https://www.tiktok.com/@annie.rose697,nhạc nền - annie rose nè,7515419455472651009,https://www.tiktok.com/@annie.rose697/video/7515419428784327943,17,1970,45,35900,244,122,"annierose697, reviewlamdep, goclamdep, trangdiem, makeup, kemnen, skintint, tintedserum, wetnwild",False,False,annie.rose697,False,False,False,0,9,14,0,0,0,1,0,0
"kem nền hay skintint loreal infallible tinted serum màu very light 0.5 - 2 nhé
.
.
.
#annierose697 #reviewlamdep #goclamdep #trangdiem #makeup #kemnen #skintint #tintedserum #loreal #foundation ",2025-06-12 21:31:09,12/06/2025,False,https://www.tiktok.com/@annie.rose697,sonido original,7461925061181639430,https://www.tiktok.com/@annie.rose697/video/7515070338749844743,27,564,19,12300,44,53,"annierose697, reviewlamdep, goclamdep, trangdiem, makeup, kemnen, skintint, tintedserum, loreal, foundation",False,False,annie.rose697,False,False,False,0,10,18,0,0,0,1,0,0
"da ít khuyết điểm + thích nền thật da thì skintint cũng cũng ha
.
.
.
#annierose697 #reviewlamdep #goclamdep #trangdiem #makeup #kemnen #skintint #foundation ",2025-06-12 19:24:42,12/06/2025,False,https://www.tiktok.com/@annie.rose697,original sound,7461320966674271008,https://www.tiktok.com/@annie.rose697/video/7515037753151737095,15,4495,58,65100,351,66,"annierose697, reviewlamdep, goclamdep, trangdiem, makeup, kemnen, skintint, foundation",False,False,annie.rose697,False,False,False,0,8,17,0,0,0,1,0,0
"ôi khối veecci ơi.... chà muốn bay hết miếng phấn
.
.
.
#annierose697 #reviewlamdep #goclamdep #trangdiem #makeup #taokhoi #contour #veecci ",2025-06-12 16:12:17,12/06/2025,False,https://www.tiktok.com/@annie.rose697,nhạc nền - Hái Tiều,7393282174209854225,https://www.tiktok.com/@annie.rose697/video/7514988171982048530,15,942,20,19500,22,56,"annierose697, reviewlamdep, goclamdep, trangdiem, makeup, taokhoi, contour, veecci",False,False,annie.rose697,False,False,False,0,8,13,0,0,1,0,0,0
"kem nền mistine bản xanh nha các mom, màu nền sẽ sáng hơn màu cushion bên cushion mình dùng lf100 thì này mình dùng lf120 hơ hêhhehe 
.
.
.
#annierose697 #reviewlamdep #goclamdep #trangdiem #makeup #kemnen #foundation #mistine #foundationmistine #kemnenmistine #drugstoremakeup ",2025-06-12 15:57:06,12/06/2025,True,https://www.tiktok.com/@annie.rose697,nhạc nền - annie rose nè,7514984286588717825,https://www.tiktok.com/@annie.rose697/video/7514984258801290504,46,481,8,7481,22,39,"annierose697, reviewlamdep, goclamdep, trangdiem, makeup, kemnen, foundation, mistine, foundationmistine, kemnenmistine, drugstoremakeup",False,False,annie.rose697,False,False,False,0,11,30,0,0,1,0,0,0
"mút art3n1s artemis đen bản quai đen chữ tím nha
.
.
.
.
#annierose697 #reviewlamdep #goclamdep #trangdiem #makeup #mutdanhnen #art3m1s #makeupsponge  ",2025-06-11 21:04:19,11/06/2025,False,https://www.tiktok.com/@annie.rose697,nhạc nền - út khờ,7429599660701960977,https://www.tiktok.com/@annie.rose697/video/7514692348337474834,16,724,9,11300,66,39,"annierose697, reviewlamdep, goclamdep, trangdiem, makeup, mutdanhnen, art3m1s, makeupsponge",False,False,annie.rose697,False,False,False,0,8,14,0,0,0,1,0,0
"kem chống nắng hawaiian tropic nha các mom =)))) bôi 5 6 tiếng rồi mùi vẫn thoang thoảng nè
.
.
.
#annierose697 #reviewlamdep #goclamdep #trangdiem #kemchongnang #hawaiiantropic #suncream #sunscreen ",2025-06-11 18:07:04,11/06/2025,False,https://www.tiktok.com/@annie.rose697,original sound,7269930286236896043,https://www.tiktok.com/@annie.rose697/video/7514646665161346311,27,1986,70,28200,399,55,"annierose697, reviewlamdep, goclamdep, trangdiem, kemchongnang, hawaiiantropic, suncream, sunscreen",False,False,annie.rose697,False,False,False,0,8,22,0,0,0,1,0,0
"review một ổ keo gắn mi mình đã dùng...
.
.
.
.
#annierose697 #reviewlamdep #goclamdep #trangdiem #eyemakeup #migia #keoganmi ",2025-06-11 13:49:13,11/06/2025,False,https://www.tiktok.com/@annie.rose697,nhạc nền - annie rose nè,7514580252216085264,https://www.tiktok.com/@annie.rose697/video/7514580213762755858,126,4951,148,61200,784,101,"annierose697, reviewlamdep, goclamdep, trangdiem, eyemakeup, migia, keoganmi",False,False,annie.rose697,False,False,False,0,7,13,0,0,1,0,0,0
"bảng mắt cheeeyep hay qianyan 07 nha, ùm xèo vô cùng tận
.
.
.
#annierose697 #reviewlamdep #goclamdep #cheeryep #cheeryepvn #trangdiem #eyemakeup #phanmat #bangmat ",2025-06-11 08:59:21,11/06/2025,False,https://www.tiktok.com/@annie.rose697,Confident,7022360943023737606,https://www.tiktok.com/@annie.rose697/video/7514505513816624391,69,272,1,5927,25,21,"annierose697, reviewlamdep, goclamdep, cheeryep, cheeryepvn, trangdiem, eyemakeup, phanmat, bangmat",False,False,annie.rose697,False,False,False,0,9,15,0,1,0,0,0,0
