text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Routine chăm da chuẩn spa tại nhà nha các bác#LearnOnTikTok #reviewlamdep #goclamdep #xuhuong #usolabvietnam #usolab ,2025-06-13 12:59:54,13/06/2025,True,https://www.tiktok.com/@beautytips4.0,nhạc nền - Kiều Lan Beauty,7515309721226677009,https://www.tiktok.com/@beautytips4.0/video/7515309677899451666,136,17,1,9497,3,2,"learnontiktok, reviewlamdep, goclamdep, xuhuong, usolabvietnam, usolab",False,False,beautytips4.0,False,False,False,0,6,10,0,0,1,0,0,0
Cùng trở nên tự tin hơn với Dove trong mùa hè này nha ❤️ #LearnOnTikTok #reviewlamdep #goclamdep #xuhuong #dovenganmui #doveserum #hoptaccungUnilever,2025-06-12 20:25:21,12/06/2025,True,https://www.tiktok.com/@beautytips4.0,nhạc nền - Kiều Lan Beauty,7515053422362610449,https://www.tiktok.com/@beautytips4.0/video/7515053391068941576,76,42,0,27600,13,7,"learnontiktok, reviewlamdep, goclamdep, xuhuong, dovenganmui, doveserum, hoptaccungunilever",False,False,beautytips4.0,False,False,False,1,7,14,0,0,0,1,0,0
Retinol còn có nhiều công dụng tuyệt vời hơn cho da nếu như các bác biết tận dụng đấy nhé 😚😚 #LearnOnTikTok #reviewlamdep #goclamdep #xuhuong #fusionretinol #retinolfusion #retinolchodamun ,2025-06-11 20:54:10,11/06/2025,True,https://www.tiktok.com/@beautytips4.0,nhạc nền - Kiều Lan Beauty,7514689809081436945,https://www.tiktok.com/@beautytips4.0/video/7514689729464454407,124,965,156,10100,152,61,"learnontiktok, reviewlamdep, goclamdep, xuhuong, fusionretinol, retinolfusion, retinolchodamun",False,False,beautytips4.0,False,False,False,1,7,20,0,0,0,1,0,0
"Kem chống nắng on top các bảng xếp hạng Hàn thì có gì đặc biệt 💁🏻‍♀️ @Round Lab Việt Nam #LearnOnTikTok #reviewlamdep #goclamdep #xuhuong #roundlab #roundlabglobal #kbeauty #koreanskincare #sunscreen
#k-sunscreen #reviewsunscreen #skincareroutine #spf #moisturizing",2025-06-10 20:19:52,10/06/2025,True,https://www.tiktok.com/@beautytips4.0,nhạc nền - Kiều Lan Beauty,7514309866849389328,https://www.tiktok.com/@beautytips4.0/video/7514309807713635592,116,52,4,19000,6,2,", learnontiktok, reviewlamdep, goclamdep, xuhuong, roundlab, roundlabglobal, kbeauty, koreanskincare, sunscreen, k, reviewsunscreen, skincareroutine, spf, moisturizing",False,False,beautytips4.0,False,False,False,2,14,21,0,0,0,1,0,0
Các bác dễ bị fomo lưu ý nhá 🤧 #LearnOnTikTok #reviewlamdep #goclamdep #xuhuong #retinol #chinhphucretinol ,2025-06-10 12:54:29,10/06/2025,False,https://www.tiktok.com/@beautytips4.0,nhạc nền - Kiều Lan Beauty,7514195059030444801,https://www.tiktok.com/@beautytips4.0/video/7514195023651491090,94,737,57,8267,54,22,"learnontiktok, reviewlamdep, goclamdep, xuhuong, retinol, chinhphucretinol",False,False,beautytips4.0,False,False,False,1,6,8,0,0,1,0,0,0
"Bắt đầu quá trình ngừa lão hoá tui mới thấy chống nắng quan trọng cỡ nào, thế nên đừng chủ quan kể cả khi ở nhà nha #LearnOnTikTok #reviewlamdep #goclamdep #xuhuong #Avene #UltraFluid #Invisible #Suncare",2025-06-09 21:58:51,09/06/2025,True,https://www.tiktok.com/@beautytips4.0,nhạc nền - Kiều Lan Beauty,7513964263615073040,https://www.tiktok.com/@beautytips4.0/video/7513964226466057480,103,113,7,24700,7,6,"learnontiktok, reviewlamdep, goclamdep, xuhuong, avene, ultrafluid, invisible, suncare",False,False,beautytips4.0,False,False,False,0,8,27,0,0,0,1,0,0
"Trong tầm giá bình dân thì đây là 2 sản phẩm dưỡng sáng, mờ thâm mình đánh giá rất đáng tiền và hiệu quả thật sự trên da nha😚😚 #LearnOnTikTok #reviewlamdep #goclamdep #xuhuong #duongsang #trangda #motham #serummelasylhong #skincare #lorealparispartner",2025-06-08 20:13:37,08/06/2025,True,https://www.tiktok.com/@beautytips4.0,nhạc nền - Kiều Lan Beauty,7513566196240403217,https://www.tiktok.com/@beautytips4.0/video/7513566022868258056,136,54,2,26000,11,8,"learnontiktok, reviewlamdep, goclamdep, xuhuong, duongsang, trangda, motham, serummelasylhong, skincare, lorealparispartner",False,False,beautytips4.0,False,False,False,1,10,29,0,0,0,1,0,1
"Bí kíp tự tin diện đồ ngày hè là vì có Purité đồng hành cùng #LearnOnTikTok #reviewlamdep #goclamdep #xuhuong 
#Purité #duongsang #huongnuochoa ",2025-06-07 19:42:33,07/06/2025,True,https://www.tiktok.com/@beautytips4.0,nhạc nền - Kiều Lan Beauty,7513186964661717777,https://www.tiktok.com/@beautytips4.0/video/7513186934475279623,71,34,3,17700,6,4,"learnontiktok, reviewlamdep, goclamdep, xuhuong, purité, duongsang, huongnuochoa",False,False,beautytips4.0,False,False,False,0,7,15,0,0,0,1,0,1
"Bác nào fan của những lớp nền căng bóng, mịn mướt thì phải thử liền em này nha
#kemnenserum #lorealparispartner #makeup #LearnOnTikTok #reviewlamdep #goclamdep #xuhuong  ",2025-06-06 20:19:54,06/06/2025,True,https://www.tiktok.com/@beautytips4.0,nhạc nền - Kiều Lan Beauty,7512825510141938449,https://www.tiktok.com/@beautytips4.0/video/7512825470057008392,112,783,25,26800,45,13,"kemnenserum, lorealparispartner, makeup, learnontiktok, reviewlamdep, goclamdep, xuhuong",False,False,beautytips4.0,False,False,False,0,7,18,0,0,0,1,0,0
Chưa kịp dưỡng sáng da body thì có ngay em này cứu cánh nha các bác ưi 😚😚😚 #LearnOnTikTok #reviewlamdep #goclamdep #xuhuong #kcnnangtone #sunscreentoneup #kemchongnang,2025-06-06 13:11:31,06/06/2025,True,https://www.tiktok.com/@beautytips4.0,nhạc nền - Kiều Lan Beauty,7512715111145114369,https://www.tiktok.com/@beautytips4.0/video/7512715076227599623,110,1584,55,107000,154,14,"learnontiktok, reviewlamdep, goclamdep, xuhuong, kcnnangtone, sunscreentoneup, kemchongnang",False,False,beautytips4.0,False,False,False,1,7,17,0,0,1,0,0,0
