text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
makeup đi bỉn 🌺 #phanma #blush #phanuockiemdau #phannuoccangbong #makeupchuyennghiep #tagcushion #thuvienmakeup #tagblush #kbeauty #makeupinspo #buttaokhoi #taokhoi #tagcontourstick #fypシ゚ ,2025-05-28 19:43:38,28/05/2025,False,https://www.tiktok.com/@biveve131,original sound,7473473034767125294,https://www.tiktok.com/@biveve131/video/7509476358431493394,73,588,14,5414,28,19,"phanma, blush, phanuockiemdau, phannuoccangbong, makeupchuyennghiep, tagcushion, thuvienmakeup, tagblush, kbeauty, makeupinspo, buttaokhoi, taokhoi, tagcontourstick, fypシ゚",False,False,biveve131,False,False,False,1,14,4,0,0,0,1,0,0
tìm mãi mới được á #lilybyred #luvbeamcheekbalm #summer #neutral #makeupinspo #kbeauty #fypシ゚ ,2025-05-19 18:13:07,19/05/2025,False,https://www.tiktok.com/@biveve131,Look how pink so prettyyy,7392667423024941857,https://www.tiktok.com/@biveve131/video/7506113261465636104,8,799,33,6352,104,10,"lilybyred, luvbeamcheekbalm, summer, neutral, makeupinspo, kbeauty, fypシ゚",False,False,biveve131,False,False,False,0,7,6,0,0,0,1,0,0
hè rùi mấy you đã tìm ra kem chống nắng phù hợp chưa? #CELLFUSIONC #Kemchongnang #goclamdep #chongnang #reviewlamdep #fypツ ,2025-05-16 19:11:56,16/05/2025,True,https://www.tiktok.com/@biveve131,Relaxing chatting tea time,6987777363204163585,https://www.tiktok.com/@biveve131/video/7505015171975236882,44,63,1,3308,4,1,"cellfusionc, kemchongnang, goclamdep, chongnang, reviewlamdep, fypツ",False,False,biveve131,False,False,True,0,6,13,0,0,0,1,0,0
bước không thể thiếu trong skincare hihi #BANOBAGI #matnavienthuoc #vitagenicjellymask #benhviendalieu #koreanskincare #kbeauty #goclamdep ,2025-05-07 18:59:17,07/05/2025,True,https://www.tiktok.com/@biveve131,I'm So Hot,7186595723419322369,https://www.tiktok.com/@biveve131/video/7501672145915890951,56,60,4,11400,1,0,"banobagi, matnavienthuoc, vitagenicjellymask, benhviendalieu, koreanskincare, kbeauty, goclamdep",False,False,biveve131,False,False,False,0,7,7,0,0,0,1,0,0
cushion đám mây #etude #etudehouse #cushion #kbeauty #kbeautymakeup #fypシ゚ ,2025-05-05 20:58:07,05/05/2025,False,https://www.tiktok.com/@biveve131,Bubbles,7218997505206257666,https://www.tiktok.com/@biveve131/video/7500960591180270856,16,382,19,3949,15,14,"etude, etudehouse, cushion, kbeauty, kbeautymakeup, fypシ゚",False,False,biveve131,False,False,False,0,6,4,0,0,0,1,0,0
dạo này mê cái má kem lilybyred quá 🙂‍↕️✨ #theproductsvsthemakeup #kbeauty #tocobo #lilybyred #makeupinspo #heartpercent #romand #fypシ゚ ,2025-04-30 19:47:13,30/04/2025,False,https://www.tiktok.com/@biveve131,original sound - Hans,7401546956975196933,https://www.tiktok.com/@biveve131/video/7499086898552458504,0,1267,12,10400,69,23,"theproductsvsthemakeup, kbeauty, tocobo, lilybyred, makeupinspo, heartpercent, romand, fypシ゚",True,False,biveve131,False,False,False,2,8,10,0,0,0,1,0,0
kẻ môi iu thíc #heartpercent #lippies #kbeauty #makeupinspo #xuhuong #fypシ゚ ,2025-04-29 19:40:56,29/04/2025,False,https://www.tiktok.com/@biveve131,Omote,7447161243959969793,https://www.tiktok.com/@biveve131/video/7498714187657514247,33,496,10,5374,40,0,"heartpercent, lippies, kbeauty, makeupinspo, xuhuong, fypシ゚",False,False,biveve131,False,False,False,0,6,5,0,0,0,1,0,0
hết rồi lại mua 😔 #thesaem #potconcealer #kbeauty #thesaempotconcealer #fypシ゚ #goclamdep @The Saem Viet Nam ,2025-04-22 17:47:31,22/04/2025,False,https://www.tiktok.com/@biveve131,GO DO IT #jerseyclub,7420572787691030545,https://www.tiktok.com/@biveve131/video/7496087367984467207,23,207,7,3435,15,6,"thesaem, potconcealer, kbeauty, thesaempotconcealer, fypシ゚, goclamdep, ",False,False,biveve131,False,False,False,1,6,9,0,0,1,0,0,0
hãng chìa khoá bí mật! 🔑 #secretkey #kbeauty #skincare #glowskin #goclamdep #xuhuong #fypシ゚ #foryoupage ,2025-04-11 20:26:35,11/04/2025,False,https://www.tiktok.com/@biveve131,original sound,7479534915378301718,https://www.tiktok.com/@biveve131/video/7492046427703512328,30,127,8,2294,12,5,"secretkey, kbeauty, skincare, glowskin, goclamdep, xuhuong, fypシ゚, foryoupage",False,False,biveve131,False,False,False,1,8,6,0,0,0,1,0,0
chưa bao giờ biết mua đồ mắc là gì 😔 #shopping #haul #kbeauty #goclamdep #xuhuong #fypシ゚ #foryoupage ,2025-04-10 16:44:27,10/04/2025,False,https://www.tiktok.com/@biveve131,original sound,7456132864862210838,https://www.tiktok.com/@biveve131/video/7491618096415853832,42,1521,37,13300,93,9,"shopping, haul, kbeauty, goclamdep, xuhuong, fypシ゚, foryoupage",False,False,biveve131,False,False,False,1,7,10,0,0,1,0,0,0
