text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
GRWM đi xem show diễn cháy nhất của @FancìClub 💃🏻🔥 #fanciclub #fashionshow #grwm #getready #ChloeNguyen ,2025-06-12 22:14:58,12/06/2025,False,https://www.tiktok.com/@bychloenguyen,Girls Just Want to Have Fun,7334444203742710534,https://www.tiktok.com/@bychloenguyen/video/7515081637965778194,116,3192,23,50000,54,19,", fanciclub, fashionshow, grwm, getready, chloenguyen",False,False,bychloenguyen,False,False,False,1,5,9,0,0,0,0,1,0
Một chiếc fashion show mà phải liên tục thốt lên “omg đẹp quá”! @FancìClub ❤️‍🔥 #fanciclub #fanci #fashionshow #vietnamfashion #fashiontiktok #ChloeNguyen ,2025-06-11 00:35:26,10/06/2025,False,https://www.tiktok.com/@bychloenguyen,Fame is a Gun,7509609624719656976,https://www.tiktok.com/@bychloenguyen/video/7514375655253904658,20,3319,57,57700,33,16,", fanciclub, fanci, fashionshow, vietnamfashion, fashiontiktok, ChloeNguyen",False,False,bychloenguyen,False,False,False,2,6,15,1,0,0,0,0,0
"Nỗi lòng của một beauty blogger: lén trợ lý mua hàng online 🥹🛍️🧎🏻‍♀️
#TikTokShopMall #BaoHangChinhHang #onlineshopping #beautytalk #ChloeNguyen ",2025-06-07 22:05:52,07/06/2025,True,https://www.tiktok.com/@bychloenguyen,Similar Sensation (Instrumental),6776496785708812290,https://www.tiktok.com/@bychloenguyen/video/7513223868421623058,68,2996,41,586700,135,40,"tiktokshopmall, baohangchinhhang, onlineshopping, beautytalk, chloenguyen",False,False,bychloenguyen,False,False,True,3,5,13,0,0,0,0,1,1
Còn combo nào mọi người nghĩ có thể hợp để mix nữa hong? 😝🌸🫧 #perfume #fragrance #guerlain #liquidesimaginaires #beautyhacks #ChloeNguyen ,2025-06-06 12:34:41,06/06/2025,False,https://www.tiktok.com/@bychloenguyen,Summer and Brunch,7398417325009766416,https://www.tiktok.com/@bychloenguyen/video/7512705581921176850,92,1240,68,34100,272,39,"perfume, fragrance, guerlain, liquidesimaginaires, beautyhacks, chloenguyen",False,False,bychloenguyen,False,False,False,1,6,13,0,0,1,0,0,0
Tui mỗi khi thấy mấy mẫu túi seasonal: 🥹🫠💕 #chanel #seasonal #luxurybag #fashion #ChloeNguyen ,2025-06-04 22:00:23,04/06/2025,False,https://www.tiktok.com/@bychloenguyen,Lunch you make,7400969461970782225,https://www.tiktok.com/@bychloenguyen/video/7512109198369492242,136,3002,37,60800,79,28,"chanel, seasonal, luxurybag, fashion, chloenguyen",False,False,bychloenguyen,False,False,False,1,5,8,0,0,0,0,1,0
Một cuối tuần staycation quá là năng suất 🙈💖 #weekend #staycation #diary #event #ChloeNguyen ,2025-06-02 12:04:57,02/06/2025,False,https://www.tiktok.com/@bychloenguyen,sonido original,7456877250204453638,https://www.tiktok.com/@bychloenguyen/video/7511213580897799431,69,1450,13,28600,53,14,"weekend, staycation, diary, event, chloenguyen",False,False,bychloenguyen,False,False,False,1,5,8,0,0,1,0,0,0
Lần nào qua Singapore cũng không sợ thiếu chỗ chơi 💃🇸🇬 #VisitSingapore #singapore #traveltiktok #wicked #ChloeNguyen ,2025-05-30 18:54:45,30/05/2025,True,https://www.tiktok.com/@bychloenguyen,vanilla flavor,7405116643943761936,https://www.tiktok.com/@bychloenguyen/video/7510205936812772626,104,4517,240,168900,718,31,"visitsingapore, singapore, traveltiktok, wicked, chloenguyen",False,False,bychloenguyen,False,False,False,1,5,10,0,0,0,1,0,0
Chloe có nên làm thêm video về cách bảo quản trang sức không nhỉ 🤓✨ #jewelry #trangsuc #thoitrang #ChloeNguyen ,2025-05-29 21:41:57,29/05/2025,False,https://www.tiktok.com/@bychloenguyen,Morning Happy Melody,7389189135828813840,https://www.tiktok.com/@bychloenguyen/video/7509877924930030869,107,3649,70,76500,132,38,"jewelry, trangsuc, thoitrang, chloenguyen",False,False,bychloenguyen,False,False,False,1,4,14,0,0,0,1,0,0
Luôn thích cái tên của mình khi đi kèm mademoiselle 💕 #grwm #thoitrang #tiktokfashion #xuhuong #ChloeNguyen ,2025-05-27 20:46:25,27/05/2025,False,https://www.tiktok.com/@bychloenguyen,original sound - Chloe Nguyen,7509121486373505809,https://www.tiktok.com/@bychloenguyen/video/7509121434334055701,51,2044,19,42100,28,19,"grwm, thoitrang, tiktokfashion, xuhuong, chloenguyen",False,False,bychloenguyen,False,False,False,1,5,10,0,0,0,1,0,0
Lan tỏa tình iu trang sức Chanel đến mọi ngườiii 💞🧚🏻‍♀️  #trangsuc #phukienthoitrang #fashionjewelry #chanel #ChloeNguyen ,2025-05-26 19:53:18,26/05/2025,False,https://www.tiktok.com/@bychloenguyen,original sound - Chloe Nguyen,7508737354481224464,https://www.tiktok.com/@bychloenguyen/video/7508736658322230529,139,4993,51,98400,162,43,"trangsuc, phukienthoitrang, fashionjewelry, chanel, chloenguyen",False,False,bychloenguyen,False,False,False,2,5,11,0,0,0,1,0,0
Nếu mọi người thắc mắc làn da cô ấy sau 10 tiếng makeup mỗi ngày trông như thế nào… 🌞#chongnangahc #ahcvietnam #vlog #ChloeNguyen #hoptaccungunilever ,2025-05-20 21:00:05,20/05/2025,True,https://www.tiktok.com/@bychloenguyen,original sound - Chloe Nguyen,7506527973697243921,https://www.tiktok.com/@bychloenguyen/video/7506527352378166548,124,5301,115,2000000,398,47,"chongnangahc, ahcvietnam, vlog, chloenguyen, hoptaccungunilever",False,False,bychloenguyen,False,False,False,1,5,19,0,0,0,1,0,0
Đi dự sự kiện siêu xịn của Chanel và những điều Chloe chưa kể! 😚 #vlog #tiktokfashion #finejewelry #thoitrang #ChloeNguyen ,2025-05-16 21:33:43,16/05/2025,False,https://www.tiktok.com/@bychloenguyen,original sound - Chloe Nguyen,7505051746830469889,https://www.tiktok.com/@bychloenguyen/video/7505051700948929813,107,2124,34,47300,58,28,"vlog, tiktokfashion, finejewelry, thoitrang, chloenguyen",False,False,bychloenguyen,False,False,False,1,5,14,0,0,0,1,0,0
Get ready đi xem Gia Studios show cùng tuii~ 👯‍♀️🖤 #grwm #giastudios #fashion #getready #ChloeNguyen,2025-05-15 20:56:32,15/05/2025,False,https://www.tiktok.com/@bychloenguyen,suara asli - 𝓹𝓲𝓴𝓪𝓹𝓲𝓴,7327116115222711046,https://www.tiktok.com/@bychloenguyen/video/7504671042242137362,109,5082,30,118900,104,41,"grwm, giastudios, fashion, getready, chloenguyen",False,False,bychloenguyen,False,False,True,3,5,10,0,0,0,1,0,0
"Liệu trình này 0 điểm, 0 điểm nào để chê 🥹💙 #skincare #lancomepartner #review #lamdep #ChloeNguyen ",2025-05-12 14:54:51,12/05/2025,True,https://www.tiktok.com/@bychloenguyen,original sound - Chloe Nguyen,7503464607319673617,https://www.tiktok.com/@bychloenguyen/video/7503464550314937617,74,1345,26,135500,61,23,"skincare, lancomepartner, review, lamdep, chloenguyen",False,False,bychloenguyen,False,False,False,1,5,10,0,0,1,0,0,0
