text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Mặt mộc swatch full 5 màu Sugarplum Mistynow mới raaaa #chouchinchan,2025-06-12 18:03:21,12/06/2025,False,https://www.tiktok.com/@chouchinchan,original sound - Chou Lười Makeup,7515016869821860625,https://www.tiktok.com/@chouchinchan/video/7515016797960293650,379,4708,188,85300,562,154,,False,False,chouchinchan,True,True,False,0,1,10,0,0,0,1,0,0
"7 phút mukbang full 10 màu Merzy
#merzy #merzynewdew #merzydewtint #sonthach #sonlightstick",2025-06-11 19:39:38,11/06/2025,True,https://www.tiktok.com/@chouchinchan,original sound - Chou Lười Makeup,7514670549878246150,https://www.tiktok.com/@chouchinchan/video/7514670521380785414,405,58600,7326,831700,11700,659,,False,False,chouchinchan,True,True,False,0,5,7,0,0,0,1,0,0
Spam tới khi nào @fwee_makeup_vn có giỏ hàng dòng 3D Voluming Gloss màu Vanila 30%,2025-06-06 20:30:28,06/06/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7512828220627045121,https://www.tiktok.com/@chouchinchan/video/7512828193083116807,10,5365,77,113300,293,51,,False,False,chouchinchan,True,True,False,0,0,15,0,0,0,1,0,0
"7 Phút Mukbang 9 màu blush Lemonade trên hai undertone da 
#chouchinchan 
#lemonade #mirrormirrorblushcushion ",2025-06-06 18:02:50,06/06/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7512790230764751632,https://www.tiktok.com/@chouchinchan/video/7512790148325608722,421,4299,306,108100,664,68,"chouchinchan, lemonade, mirrormirrorblushcushion",False,False,chouchinchan,True,True,False,0,3,11,0,0,0,1,0,0
"Mukbang 4 màu mới nóng hổi
#chouchinchan #sunkisser ",2025-06-05 21:05:00,05/06/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7512466130188651265,https://www.tiktok.com/@chouchinchan/video/7512466016690146568,210,4783,95,67600,285,33,"chouchinchan, sunkisser",False,False,chouchinchan,True,True,False,0,2,6,0,0,0,1,0,0
"Hách nôi nhớ coi clip này nhen
#chouchinchan ",2025-06-05 18:15:51,05/06/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7512422467156839185,https://www.tiktok.com/@chouchinchan/video/7512422420259638546,181,34600,935,1300000,5487,251,chouchinchan,False,False,chouchinchan,True,True,False,0,1,7,0,0,0,1,0,0
"Da phải ổn thì cook nền mới ngon nha mấy nữ😎
#chouchinchan #kemlot  
 #codeglokolor ",2025-06-05 12:11:19,05/06/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7512328522602449681,https://www.tiktok.com/@chouchinchan/video/7512328470186298632,181,4364,57,71000,291,50,"chouchinchan, kemlot, codeglokolor",False,False,chouchinchan,True,True,False,1,3,11,0,0,1,0,0,0
"Êm như lời ru của mẹ, bự như bánh xe của ba, chà lăm ba đa cũng không thấy xốn
#chouchinchan #bongtaytrang ",2025-06-04 18:30:58,04/06/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7512055334979160833,https://www.tiktok.com/@chouchinchan/video/7512055225490951442,150,3611,75,86400,417,43,"chouchinchan, bongtaytrang",False,False,chouchinchan,True,True,False,0,2,20,0,0,0,1,0,0
"Chì mày hai đầu tiện rẻ nữa
#chouchinchan ",2025-06-03 18:40:07,03/06/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7511686622212229904,https://www.tiktok.com/@chouchinchan/video/7511686499637742856,215,4777,151,121500,694,42,chouchinchan,False,False,chouchinchan,True,True,False,0,1,7,0,0,0,1,0,0
"Nay makeup kể chuyện chill chill hen
#chouchinchan 
#shopeelive #socialelite ",2025-06-02 15:03:50,02/06/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7511259720456424208,https://www.tiktok.com/@chouchinchan/video/7511259678177889544,187,31100,950,286900,2645,318,"chouchinchan, shopeelive, socialelite",False,False,chouchinchan,True,True,False,0,3,7,0,0,1,0,0,0
Ghiền lại kiểu bóng bóng nì,2025-05-29 19:32:13,29/05/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7509845050587941633,https://www.tiktok.com/@chouchinchan/video/7509844502236957959,309,3521,33,84500,227,54,,False,False,chouchinchan,True,True,False,0,0,6,0,0,0,1,0,0
"Sự thật sẽ sáng tỏ
#chouchinchan ##3CEVN #glazyglow #3andchiem #3cepartner ",2025-05-29 12:04:23,29/05/2025,False,https://www.tiktok.com/@chouchinchan,som original,7398294515445140230,https://www.tiktok.com/@chouchinchan/video/7509729088655969543,61,24700,357,191300,470,100,"chouchinchan, 3cevn, glazyglow, 3andchiem, 3cepartner",False,False,chouchinchan,True,True,False,0,5,6,0,0,1,0,0,0
"Tôn hành giả giả hành tôn
#chouchinchan 
#Anessa #AnessaGoldMilk #Chongnangso1ChauA",2025-05-28 18:08:33,28/05/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7509451919153662737,https://www.tiktok.com/@chouchinchan/video/7509451858893638919,284,7871,86,110700,185,73,"chouchinchan, anessa, anessagoldmilk, chongnangso1chaua",False,False,chouchinchan,True,True,False,0,4,6,0,0,0,1,0,0
"Mấy nữ nhớ ăn ngủ điều độ nha. Set này ở giỏ hàng ngoài nhó😘
#chouchinchan #disneycushion #espoirvn ",2025-05-28 12:44:11,28/05/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7509368313261214481,https://www.tiktok.com/@chouchinchan/video/7509368264242269447,238,9755,138,117400,321,81,"chouchinchan, disneycushion, espoirvn",False,False,chouchinchan,True,True,False,1,3,15,0,0,1,0,0,0
"Tới lúc ẻm ra cái nắp nhấn tui mới lên clip review là sao ta
#chouchinchan 
#Nuoctaytrangquocdan #TaytrangBioderma",2025-05-27 21:36:38,27/05/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7509134439785483024,https://www.tiktok.com/@chouchinchan/video/7509134400139873543,146,14500,269,1100000,592,137,"chouchinchan, nuoctaytrangquocdan, taytrangbioderma",False,False,chouchinchan,True,True,False,0,3,15,0,0,0,1,0,0
Không nói là son mới của @RED CHAMBER VN đâu,2025-05-27 12:57:07,27/05/2025,False,https://www.tiktok.com/@chouchinchan,obito hà nội ft. vstra,7288439633637362434,https://www.tiktok.com/@chouchinchan/video/7509000513967426834,17,980,8,43500,40,19,,False,False,chouchinchan,True,True,False,0,0,10,0,0,1,0,0,0
"6 PHÚT MUKBANG FULL 10 MÀU SON 3CE GLAZY LIP GLOW DƯỠNG BÓNG IU
#chouchinchan #3cevn ",2025-05-27 12:42:32,27/05/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7508996825911708417,https://www.tiktok.com/@chouchinchan/video/7508996742747147538,351,9691,860,356500,1751,170,"chouchinchan, 3cevn",False,False,chouchinchan,True,True,False,0,2,14,0,0,1,0,0,0
"Mấy bà gu phấn nào
#chouchinchan 
#makeupforevervn
#mufevn
#HDSkinPerfectingPowder",2025-05-26 18:13:34,26/05/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7508711072182962960,https://www.tiktok.com/@chouchinchan/video/7508710978268187911,256,4025,121,86600,298,60,"chouchinchan, makeupforevervn, mufevn, hdskinperfectingpowder",False,False,chouchinchan,True,True,False,0,4,5,0,0,0,1,0,0
"Trả lời @Syan Cọ lẻ cho nữ nào cần nhen
#chouchinchan #comakeup ",2025-05-26 11:59:50,26/05/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7508614752969427713,https://www.tiktok.com/@chouchinchan/video/7508614666042658056,228,20400,424,327300,4819,104,", chouchinchan, comakeup",False,False,chouchinchan,True,True,False,0,2,10,0,1,0,0,0,0
"Dắt ba mẹ bạn bè đi chơi liền điiiii
#chouchinchan ",2025-05-25 18:29:14,25/05/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7508344043630611217,https://www.tiktok.com/@chouchinchan/video/7508343932623916296,208,15100,911,129600,1009,68,chouchinchan,False,False,chouchinchan,True,True,False,0,1,9,0,0,0,1,0,1
"Trả lời @wanqiaoxueshe Set này mặc đi biển đẹp vãi íiiiii
#chouchinchan ",2025-05-25 16:09:13,25/05/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7508307896015424257,https://www.tiktok.com/@chouchinchan/video/7508307847747226887,86,7411,499,177700,1216,47,", chouchinchan",False,False,chouchinchan,True,True,False,0,1,11,0,0,1,0,0,1
"Trả lời @ChauKa Đã tìm được mi idol rồi dui quá điiii
#chouchinchan #migia ",2025-05-24 17:39:38,24/05/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7507960126523935504,https://www.tiktok.com/@chouchinchan/video/7507960060249738514,40,13900,598,693900,3073,56,", chouchinchan, migia",False,False,chouchinchan,True,True,False,0,2,12,0,0,1,0,0,1
"Đi chơi với tôi không sợ thiếu phụ kiện😘😎
#chouchinchan 
#ready2white #duongthetrangda #cathydoll ",2025-05-24 16:12:37,24/05/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7507937779070913296,https://www.tiktok.com/@chouchinchan/video/7507937637735369992,65,61800,891,660900,4237,172,"chouchinchan, ready2white, duongthetrangda, cathydoll",False,False,chouchinchan,True,True,False,1,4,9,0,0,1,0,0,1
"Đính chính là toi ""cô lập"" hai đứa kia🤣 Ai có hai năng lượng giống tui cmt liền
#chouchinchan 
#maybelline #liftergloss #maybellinepartner ",2025-05-23 14:36:48,23/05/2025,False,https://www.tiktok.com/@chouchinchan,In The End,7322784962304919553,https://www.tiktok.com/@chouchinchan/video/7507541857530825991,229,43100,271,428600,1426,180,"chouchinchan, maybelline, liftergloss, maybellinepartner",False,False,chouchinchan,True,True,False,1,4,18,0,0,1,0,0,0
hốt liền cây che khuyết điểm cho hai #chouchinchan #lunavn #concealer ,2025-05-22 18:24:11,22/05/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7507229911519283969,https://www.tiktok.com/@chouchinchan/video/7507229379680816391,248,37900,813,473900,5364,207,"chouchinchan, lunavn, concealer",False,False,chouchinchan,True,True,False,0,3,8,0,0,0,1,0,0
"Tình bạn ba người.......
#chouchinchan 
#judydollvn #freshmattecushion ",2025-05-20 15:13:16,20/05/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7506438059996384001,https://www.tiktok.com/@chouchinchan/video/7506437984766512402,144,130000,2352,3500000,6428,318,"chouchinchan, judydollvn, freshmattecushion",False,False,chouchinchan,True,True,False,0,3,4,0,0,1,0,0,0
"Tóc thẳng hay tóc xoăn hợp hơn mấy nữ ơi
#chouchinchan #tocgia ",2025-05-19 18:04:18,19/05/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7506111057560079120,https://www.tiktok.com/@chouchinchan/video/7506110995073617159,297,8534,212,304900,578,72,"chouchinchan, tocgia",False,False,chouchinchan,True,True,False,0,2,10,0,0,0,1,0,0
