text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
"Không thiếu kem chống nắng nhưng mấy chị em phải lựa chọn thật kĩ kem chống nắng đạt chuẩn spf nha , bảo vệ da rồi thì còn cửa ải tẩy trang làm sạch da nữa đừng quen nha mấy bà , đang thời buổi kinh tế khó khăn nên Vi recommend 2 em này vừa rẻ vừa chất lượng nha #kemchongnang #chongnangvachdo #taytranglorealparis #lorealparisskin #lorealparispartner ",2025-06-12 16:22:36,12/06/2025,True,https://www.tiktok.com/@dangvbeauty179,Fashion Show,7230343954016176130,https://www.tiktok.com/@dangvbeauty179/video/7514990825500183826,112,304,17,2659,18,6,"kemchongnang, chongnangvachdo, taytranglorealparis, lorealparisskin, lorealparispartner",False,False,dangvbeauty179,False,False,False,0,5,61,0,0,1,0,0,0
"Vi tìm được loại nào Vi sẽ để ở tiktokshop nha, đây là cảm nhận vài loại định hình lông mày Vi đang dùng , thời gian giữ form cũng hên xui lúc giữ lâu lúc không à , nhưng nhìn chung mấy loại Vi có xài ổn hết á #makeup #dinhhinhchanmay #dinhhinhlongmay #dunglongmay #eyebrowgel #eyebrow ",2025-06-11 20:10:26,11/06/2025,False,https://www.tiktok.com/@dangvbeauty179,Pursue what you like,7400652005268817937,https://www.tiktok.com/@dangvbeauty179/video/7514678457763237128,382,1922,50,9505,75,8,"makeup, dinhhinhchanmay, dinhhinhlongmay, dunglongmay, eyebrowgel, eyebrow",False,False,dangvbeauty179,False,False,False,0,6,50,0,0,0,1,0,0
"Lần đầu tiên thử nền dạng serum như thế này và chỉ có mờ ê mê á , tui thích lớp nền mỏng nhẹ tự nhiên và có độ glowy , nhưng phải dễ tán, thoáng da , thoải mái không bị nặng mặt hay bí da , kiểu thoa kem nền mà như thoa kem chống nắng vậy á , thì em kem nền này quá zừa cái nươi tui nhen , mỏng mà không nhanh trôi, không bị xuống tông nhanh , thích ơi là thích #kemnen #kemnenserum #lorealparis #infallibletintedserum #lorealparis #lorealparishub #lorealparispartner",2025-06-05 12:13:26,05/06/2025,False,https://www.tiktok.com/@dangvbeauty179,Unboxing,7271143311834777602,https://www.tiktok.com/@dangvbeauty179/video/7512329022504766738,130,3164,238,237300,524,136,"kemnen, kemnenserum, lorealparis, infallibletintedserum, lorealparis, lorealparishub, lorealparispartner",False,False,dangvbeauty179,False,False,False,0,7,88,0,0,1,0,0,0
"Tưởng khó dùng ai dè dùng cái là thích luôn nha, phải đến khi cầm mấy em này trên tay Vi mới cảm nhận màu hè dí tới nơi rồi á , hè là phải chơi mấy màu má nổi bật lên nha , Vi cảm thấy so fresh á , bộ màu lần này Vi ấn tượng nhất là 2 màu 30 31 trời ơi , phải nói là wow luôn á, thấy vậy thôi chứ xinh lắm nha , thử i mấy bà #makem #beauty #thuvienmakeup #blush #makeup #maybelline #sunkisser #summerblush #maybellinepartner ",2025-06-02 23:19:17,02/06/2025,False,https://www.tiktok.com/@dangvbeauty179,Whisper of Peace,7432017920777226241,https://www.tiktok.com/@dangvbeauty179/video/7511387360341265671,246,2523,76,29700,142,24,"makem, beauty, thuvienmakeup, blush, makeup, maybelline, sunkisser, summerblush, maybellinepartner",False,False,dangvbeauty179,False,False,True,0,9,85,0,0,0,0,1,0
Trend biến hình thành nàng tiên cá lâu quá thôi để tui tự làm 😆😆😆😆 ,2025-05-30 11:15:51,30/05/2025,False,https://www.tiktok.com/@dangvbeauty179,Water,7260736046344882177,https://www.tiktok.com/@dangvbeauty179/video/7510087667946736904,18,191,3,6406,7,9,,False,False,dangvbeauty179,False,False,False,1,0,14,0,1,0,0,0,0
Review vài em khối kem mà Vi có cho mấy bà tham khảo nè #contour #reviewcontour #rarebeautycontour #fentycontour #review #rarebeauty #elf #fentybeauty #sunniesface #dreamerblusher #sheglam ,2025-05-28 20:05:06,28/05/2025,False,https://www.tiktok.com/@dangvbeauty179,Fashion Show,7230343954016176130,https://www.tiktok.com/@dangvbeauty179/video/7509481887518297362,176,6980,206,60300,975,62,"contour, reviewcontour, rarebeautycontour, fentycontour, review, rarebeauty, elf, fentybeauty, sunniesface, dreamerblusher, sheglam",False,False,dangvbeauty179,False,False,False,0,11,14,0,0,0,1,0,0
Về Nha Trang chơi đi mùa này đẹp lắm mấy bà ơi #makeup #beauty #summermakeup,2025-05-25 19:11:27,25/05/2025,False,https://www.tiktok.com/@dangvbeauty179,sonido original,7300639350754282246,https://www.tiktok.com/@dangvbeauty179/video/7508354806050835719,74,792,28,18600,112,32,"makeup, beauty, summermakeup",False,False,dangvbeauty179,False,False,False,0,3,12,0,0,0,1,0,1
"Cho bạn nào có lông mày thưa hoặc nhạt,  muốn có một đôi lông mày theo form , không cần phải kẻ tốn thời gian , tui làm lần thứ 2 rồi nên mấy nàng yên tâm nha @keoly.beautybar ",2025-05-23 19:58:01,23/05/2025,False,https://www.tiktok.com/@dangvbeauty179,Whisper of Peace,7432017920777226241,https://www.tiktok.com/@dangvbeauty179/video/7507624641905626376,149,211,9,4609,34,12,,False,False,dangvbeauty179,False,False,False,0,0,39,0,0,0,1,0,0
"Ê nha ê nha , chạm phát là Vi mê liền luôn , không nói điêu nha , dạo này thích mấy loại son nhiều dưỡng mà có màu như dòng này á , Vi swatch màu 32,34,35,36, 38,39 toàn mấy màu đẹp không à #swatchson #3ce #3CEVN #glazyglow #3andChịEm #3CEPartner #glzaylipglow ",2025-05-20 20:45:55,20/05/2025,True,https://www.tiktok.com/@dangvbeauty179,"It girl, Fashion, Glamour",7389312707449014273,https://www.tiktok.com/@dangvbeauty179/video/7506523719116901640,169,5397,105,39000,312,23,"swatchson, 3ce, 3cevn, glazyglow, 3andchịem, 3cepartner, glzaylipglow",False,False,dangvbeauty179,False,False,False,0,7,45,0,0,0,1,0,0
"Trước khi đặt phòng thì nên tìm hiểu kĩ trước nha , dành thời gian để hỏi mn xung quanh , post bài vào hội nhóm hỏi , nếu không chắc thì đặt qua mấy chỗ uy tín thì % lừa sẽ ít hơn , cảnh giác nha mn #luadaodatphong ",2025-05-16 15:01:05,16/05/2025,False,https://www.tiktok.com/@dangvbeauty179,Whisper of Peace,7432017920777226241,https://www.tiktok.com/@dangvbeauty179/video/7504950513369156882,135,396,27,7102,58,3,luadaodatphong,False,False,dangvbeauty179,False,False,False,0,1,49,0,0,1,0,0,0
