text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
"Khi thời trang lên tiếng, camera phải đủ tinh tế để lắng nghe. Samsung Galaxy S25 Edge - khi thời trang nằm trong ống kính.

#Samsung #TeamGalaxy #GalaxyAI #GalaxyS25 Edge",2025-05-30 18:57:31,30/05/2025,True,https://www.tiktok.com/@dramakinglndx,original sound - Linh Ngọc Đàm,7510206674067147521,https://www.tiktok.com/@dramakinglndx/video/7510206646358969618,31,147200,14,275600,559,14,"samsung, teamgalaxy, galaxyai, galaxys25",False,False,dramakinglndx,False,False,False,0,4,26,0,0,0,1,0,0
"Tóc bóng bắt sáng - Xứng đáng spotlight ⭐️

#Haircare #TRESemmevn #Hoptaccungunilever",2025-05-28 12:01:17,28/05/2025,True,https://www.tiktok.com/@dramakinglndx,original sound - Linh Ngọc Đàm,7509357237006093057,https://www.tiktok.com/@dramakinglndx/video/7509357205120945415,53,3531,29,145100,34,25,"haircare, tresemmevn, hoptaccungunilever",False,False,dramakinglndx,False,False,False,1,3,9,0,0,1,0,0,0
"Chỉ cần bản thân hạnh phúc, ai nói gì cũng không quan trọng. 

@TiPu MakeUp 🇻🇳 
@RainDinhquayphim.Official 
#chungthanhphong #chungthanhphongbridal ",2025-05-27 20:38:23,27/05/2025,False,https://www.tiktok.com/@dramakinglndx,som original,7487035183675394822,https://www.tiktok.com/@dramakinglndx/video/7509119381646003464,15,1842,13,45900,22,19,", , chungthanhphong, chungthanhphongbridal",False,False,dramakinglndx,False,False,False,1,2,16,0,0,0,1,0,0
"Bà nội kết hôn chẳng được bao lâu trước khi ông mình hy sinh trong chiến tranh. Hơn 90 tuổi, cuộc đời bà thời gian được ở cạnh chồng chắc chỉ đếm trên đầu ngón tay. Một mình nuôi 5 người con, dù vô cùng cực khổ, và ngay cả khi vẫn còn trẻ đẹp, bà chưa từng có ý định tái giá. Dù chẳng có một lời yêu, nhưng đối với mình đó là thứ tình yêu vĩ đại và thiêng liêng nhất. Tình yêu tổ quốc mãnh liệt tới nỗi dù mất đi người thương yêu nhất cũng không một lời trách than, oán hận. Tình yêu đôi lứa nồng nàn, sắc son đến độ dẫu tháng năm có chảy trôi như nước cũng chẳng thể phai mờ. Hoà bình ngày hôm nay được đổi bằng máu,tình yêu và nước mắt vì thế ta càng phải quyết tâm gìn giữ, bảo vệ bằng mọi giá. 

Thanks to my lovely girl @TiPu MakeUp 🇻🇳 🖤",2025-05-01 15:18:43,01/05/2025,False,https://www.tiktok.com/@dramakinglndx,original sound - Linh Ngọc Đàm,7499388880132426497,https://www.tiktok.com/@dramakinglndx/video/7499388795037469959,69,19300,200,281900,229,72,,False,False,dramakinglndx,False,False,False,2,0,164,0,0,1,0,0,0
Toxic lover ….,2025-04-17 21:05:35,17/04/2025,False,https://www.tiktok.com/@dramakinglndx,original sound - Linh Ngọc Đàm,7494283049937423105,https://www.tiktok.com/@dramakinglndx/video/7494282985475247368,23,9303,124,165100,90,52,,False,False,dramakinglndx,False,False,False,0,0,3,0,0,0,1,0,0
"Hương hoa lưu giữ ký ức ngọt ngào … Mùi hương như thế nào khiến bạn khó quên nhất?

#EnchanteurNaturelle #SangMinLuuHuong

Camera : @RainDinhquayphim.Official 
VFX : Phan Trần Tiến
SFX : Định Quang
Model : @Mộc Nhiên 
Stylising : Betty
Makeup : @TiPu MakeUp 🇻🇳 ",2025-03-23 20:39:44,23/03/2025,False,https://www.tiktok.com/@dramakinglndx,original sound - Linh Ngọc Đàm,7484999229515320065,https://www.tiktok.com/@dramakinglndx/video/7484999196756446472,74,58200,650,885200,602,361,"EnchanteurNaturelle, SangMinLuuHuong, , , ",False,False,dramakinglndx,False,False,False,1,2,42,0,0,0,1,0,1
Từ giờ quay video không cần phải thuê quần áo vì tôi đã có @ETS - Eye Of The Storm ,2025-03-17 19:11:35,17/03/2025,False,https://www.tiktok.com/@dramakinglndx,original sound - Linh Ngọc Đàm,7482749999063878401,https://www.tiktok.com/@dramakinglndx/video/7482749964523703559,6,11300,35,408200,92,41,,False,False,dramakinglndx,False,False,False,0,0,20,0,0,0,1,0,0
"Miss the good old days.

Hồi cấp 2 không có bồ mà mỗi lần nghe bài này đều như thất tình ngang :(

@TiPu MakeUp 🇻🇳 ",2025-03-10 20:29:47,10/03/2025,False,https://www.tiktok.com/@dramakinglndx,original sound - Linh Ngọc Đàm,7480172542067542800,https://www.tiktok.com/@dramakinglndx/video/7480172519744359687,24,19400,293,494400,574,162,,False,False,dramakinglndx,False,False,False,1,0,25,0,0,0,1,0,0
"When words mean nothing…

@TiPu MakeUp 🇻🇳 ",2025-03-07 23:18:58,07/03/2025,False,https://www.tiktok.com/@dramakinglndx,original sound - Linh Ngọc Đàm,7479102940532984577,https://www.tiktok.com/@dramakinglndx/video/7479102853315955975,18,6310,42,242300,81,60,,False,False,dramakinglndx,False,False,False,1,0,6,0,0,0,0,1,0
"Đi Metro cùng đồng đội mà làm cỡ đó 😩 

📸: @RainDinhquayphim.Official 

Sisters: @TiPu MakeUp 🇻🇳 @𝓗𝓸𝓷𝓰 𝓛𝓲𝓷𝓱 @Hoàng Diệp Anh @Sunnaaaaaaaaaa @NiCa 🌷 @Savequynk 🤍🇻🇳 @BennyNg  

#ChamtuonglaimetroHCM #HCMCMETRO #VikkiGO ",2025-02-14 15:32:46,14/02/2025,False,https://www.tiktok.com/@dramakinglndx,original sound - Linh Ngọc Đàm,7471189974730230529,https://www.tiktok.com/@dramakinglndx/video/7471189927917636872,21,39300,447,828700,233,134,", , , , , , , , chamtuonglaimetrohcm, hcmcmetro, vikkigo",False,False,dramakinglndx,False,False,False,5,3,23,0,0,1,0,0,0
