text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Dấu hiệu lão hoá sớm của gen z trũng tầng mặt giữa #bskhonghanhnguyen #beautytok ,2025-06-13 20:36:16,13/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7515427317683653377,https://www.tiktok.com/@drkhonghanhnguyen/video/7515427291002883335,28,752,60,36600,217,56,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,False,0,2,12,0,0,0,1,0,0
Kem chống nắng vượt mức SPF 50 và PA 4+#bskhonghanhnguyen #beautytok #skincare #casmara #kemchongnangcasmara,2025-06-10 20:36:40,10/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7514314169651464977,https://www.tiktok.com/@drkhonghanhnguyen/video/7514314135962782994,109,517,22,27400,104,46,"bskhonghanhnguyen, beautytok, skincare, casmara, kemchongnangcasmara",False,False,drkhonghanhnguyen,True,False,False,0,5,10,0,0,0,1,0,0
Bao nhiêu tuổi không quan trọng nhưng hệ điều hành luôn 18 tuổi #bskhonghanhnguyen #beautytok ,2025-06-09 21:40:12,09/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - Việt lyrics,7272193812264061698,https://www.tiktok.com/@drkhonghanhnguyen/video/7513959417130323208,8,1204,18,23100,45,10,"bskhonghanhnguyen, beautytok",False,False,drkhonghanhnguyen,True,False,False,0,2,13,0,0,0,1,0,0
Kiểm tra nước tẩy trang quốc dân có thực sự quốc dân #bskhonghanhnguyen #beautytok #skincare  #taytranglorealparis #lorealparis #lorealparisskin #lorealparispartner,2025-06-08 20:17:31,08/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7513567197566880529,https://www.tiktok.com/@drkhonghanhnguyen/video/7513567030595849490,91,112,5,6906,9,2,"bskhonghanhnguyen, beautytok, skincare, taytranglorealparis, lorealparis, lorealparisskin, lorealparispartner",False,False,drkhonghanhnguyen,True,False,False,0,7,12,0,0,0,1,0,1
Xử lý u hạt sau meso #bskhonghanhnguyen #beautytok #skincare ,2025-06-07 20:22:16,07/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7513197199145241345,https://www.tiktok.com/@drkhonghanhnguyen/video/7513197161761328402,65,246,11,14100,33,8,"bskhonghanhnguyen, beautytok, skincare",False,False,drkhonghanhnguyen,True,False,False,0,3,6,0,0,0,1,0,1
"Chấm điểm các dòng meso bác sĩ đã dùng, đều đặn 3 tháng 1 lần #bskhonghanhnguyen #beautytok #skincare ",2025-06-05 20:28:37,05/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7512456674448902929,https://www.tiktok.com/@drkhonghanhnguyen/video/7512456634623479047,93,838,78,35300,306,83,"bskhonghanhnguyen, beautytok, skincare",False,False,drkhonghanhnguyen,True,False,False,0,3,15,0,0,0,1,0,0
"Khi mình trẻ nhiệt huyết sục sôi, sức khoẻ có, thời gian có chỉ tiếc là không thể đi nhiều nơi hơn để học hỏi hơn thôi #bskhonghanhnguyen #beautytok ",2025-06-04 20:21:30,04/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,No Reason,7179600429985073153,https://www.tiktok.com/@drkhonghanhnguyen/video/7512083712662637832,0,774,15,23600,29,18,"bskhonghanhnguyen, beautytok",True,False,drkhonghanhnguyen,True,False,False,0,2,27,0,0,0,1,0,0
Mẹo làm đẹp miễn phí của bác sĩ #bskhonghanhnguyen #beautytok #skincare ,2025-06-03 20:47:13,03/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7511719284125534993,https://www.tiktok.com/@drkhonghanhnguyen/video/7511719259014302984,75,345,12,12100,30,20,"bskhonghanhnguyen, beautytok, skincare",False,False,drkhonghanhnguyen,True,False,False,0,3,8,0,0,0,1,0,0
Nám má sau sinh và nám má nội tiết xử lý như nào #bskhonghanhnguyen #beautytok #skincare #larocheposaypartner #MelaB3,2025-06-02 20:03:18,02/06/2025,False,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - Chuyện nhà Sữa,7380625653319879440,https://www.tiktok.com/@drkhonghanhnguyen/video/7511336854021623058,126,339,12,14300,68,20,"bskhonghanhnguyen, beautytok, skincare, larocheposaypartner, melab3",False,False,drkhonghanhnguyen,True,False,False,0,5,13,0,0,0,1,0,0
Top kem chống nắng đạt tiêu chuẩn âu- mỹ #bskhonghanhnguyen #beautytok #skincare ,2025-05-31 20:47:19,31/05/2025,True,https://www.tiktok.com/@drkhonghanhnguyen,nhạc nền - BSNT-BSCKI Khổng Hạnh Nguyên,7510606063046773520,https://www.tiktok.com/@drkhonghanhnguyen/video/7510606022663343378,65,14600,1055,420000,4841,404,"bskhonghanhnguyen, beautytok, skincare",False,False,drkhonghanhnguyen,True,False,False,0,3,9,0,0,0,1,0,1
