text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
cứ tưởng..  #lacoon #bodymistlacoon #lotionlacoon,2025-06-13 11:39:26,13/06/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7515288979168611089,https://www.tiktok.com/@eb06thg9/video/7515288950504787218,94,19000,117,253700,319,77,"lacoon, bodymistlacoon, lotionlacoon",False,False,eb06thg9,False,False,False,0,3,2,0,1,0,0,0,0
team Mentor be có hoa khôi rùi hẹ hẹ,2025-06-08 11:29:08,08/06/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7513430916862167825,https://www.tiktok.com/@eb06thg9/video/7513430855390481671,13,36900,383,320100,559,159,,False,False,eb06thg9,False,False,False,0,0,9,0,1,0,0,0,1
điệu hơn chữ điệu luôn rồi,2025-06-04 11:57:56,04/06/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7511953971754732289,https://www.tiktok.com/@eb06thg9/video/7511953939487591698,18,32300,366,350300,670,314,,False,False,eb06thg9,False,False,False,0,0,6,0,1,0,0,0,0
dịp gì cũm có quà hí hí #tuilolem #tuihatde #matemade ,2025-06-03 17:32:07,03/06/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7511669018755894032,https://www.tiktok.com/@eb06thg9/video/7511668980302499090,122,17100,232,229500,448,189,"tuilolem, tuihatde, matemade",False,False,eb06thg9,False,False,False,0,3,7,0,0,1,0,0,0
tưởng mạnh mồm lắm mà @Cường Cao #vucatuong #bido #vucattuongbido #hapas ,2025-06-02 19:02:32,02/06/2025,True,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7511321445591517953,https://www.tiktok.com/@eb06thg9/video/7511321188266806535,101,79800,7278,1600000,2831,509,", vucatuong, bido, vucattuongbido, hapas",False,False,eb06thg9,False,False,False,0,4,7,0,0,0,1,0,0
hậu chia tay  ,2025-05-17 18:18:25,17/05/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - ChanMieeee🐰,7504257721768676113,https://www.tiktok.com/@eb06thg9/video/7505372464516451602,22,140200,5709,1700000,5878,637,,False,False,eb06thg9,False,False,False,0,0,3,0,0,0,1,0,1
tuyển cao nhân ra ăn cùng,2025-05-11 21:40:36,11/05/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7503198073935039233,https://www.tiktok.com/@eb06thg9/video/7503198057631059208,14,15500,466,372100,339,77,,False,False,eb06thg9,False,False,False,0,0,6,0,0,0,1,0,1
ơ đã hơn 500 ngày rùi #matemade #tuilolem #tuihatde ,2025-05-10 20:02:55,10/05/2025,True,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7502801979907853073,https://www.tiktok.com/@eb06thg9/video/7502801796146990354,62,62700,1078,2700000,1734,371,"matemade, tuilolem, tuihatde",False,False,eb06thg9,False,False,False,0,3,6,0,0,0,1,0,1
hay hỏi thế nhỉ #go2joy #halago @LoyJoy Reviu ,2025-05-09 20:33:02,09/05/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7502438499300264721,https://www.tiktok.com/@eb06thg9/video/7502438466739850503,74,8638,130,176300,511,133,"go2joy, halago, ",False,False,eb06thg9,False,False,False,0,2,6,0,0,0,1,0,0
1 anh bồ thôi nhỉ @Cường Cao ,2025-05-07 13:09:55,07/05/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝐕𝐢𝐞 𝐂𝐨𝐧𝐟𝐢𝐝𝐞,7482455415704963856,https://www.tiktok.com/@eb06thg9/video/7501582109258026258,14,17100,85,309600,469,100,,False,False,eb06thg9,False,False,False,0,0,7,0,0,1,0,0,0
ngày kỉ niệm làm tí bé hàu @Cường Cao ,2025-05-06 11:09:48,06/05/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7501180241847667472,https://www.tiktok.com/@eb06thg9/video/7501180069948198152,30,30500,647,706000,790,146,,False,False,eb06thg9,False,False,False,0,0,9,0,1,0,0,0,0
được hôm cũng đáng iu phết nhỉ #hapas #kiniemtinhyeu #quatangngaythuong,2025-05-03 18:06:28,03/05/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7500174343088605968,https://www.tiktok.com/@eb06thg9/video/7500174192260746514,83,50200,643,574400,1587,227,"hapas, kiniemtinhyeu, quatangngaythuong",False,False,eb06thg9,False,False,False,0,3,7,0,0,0,1,0,1
im backkk,2025-05-03 12:09:56,03/05/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝐂 𝐡 𝐮 ố 𝐢 ?,7495362166829206289,https://www.tiktok.com/@eb06thg9/video/7500082306560904456,27,16200,115,251100,463,105,,False,False,eb06thg9,False,False,False,0,0,2,0,0,1,0,0,1
siêu nhân be tới đây #jumisovn #mundauden #tonerha ,2025-05-01 17:35:31,01/05/2025,True,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7499424287267293968,https://www.tiktok.com/@eb06thg9/video/7499424046883294472,98,4205,22,96600,189,59,"jumisovn, mundauden, tonerha",False,False,eb06thg9,False,False,False,0,3,5,0,0,1,0,0,0
chịu,2025-04-25 18:18:08,25/04/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - THANH PHONG REMIX,7493098789276846849,https://www.tiktok.com/@eb06thg9/video/7497208513769377031,15,29700,356,589900,416,108,,False,False,eb06thg9,False,False,False,0,0,1,0,0,0,1,0,0
tips sống còn cho các ông khi ny mùa dâu nè ,2025-04-23 17:41:22,23/04/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7496457057009191696,https://www.tiktok.com/@eb06thg9/video/7496456873739029768,67,24400,694,320300,716,112,,False,False,eb06thg9,False,False,False,0,0,11,0,0,1,0,0,0
dạo này off hơi lâu quá rùi,2025-04-23 13:30:26,23/04/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - cqwerthuiop,7494908943728020241,https://www.tiktok.com/@eb06thg9/video/7496392203518987528,29,9291,34,132500,288,72,,False,False,eb06thg9,False,False,False,0,0,7,0,0,1,0,0,0
Lần đầu săn kho báu và cái kết #CoinHuntVietnam #Vietnam #khobau #jagat #jagatv,2025-04-19 17:36:47,19/04/2025,True,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7494971617894746897,https://www.tiktok.com/@eb06thg9/video/7494971347789974791,107,18800,123,645600,506,95,"coinhuntvietnam, vietnam, khobau, jagat, jagatv",False,False,eb06thg9,False,False,True,0,5,8,0,0,1,0,0,1
đôi ta @Cường Cao ,2025-04-12 18:00:35,12/04/2025,False,https://www.tiktok.com/@eb06thg9,Die With A Smile,7403588534353528848,https://www.tiktok.com/@eb06thg9/video/7492379887274052872,0,125300,3400,1700000,4979,1008,,True,False,eb06thg9,False,False,False,0,0,4,0,0,0,1,0,1
sự khác biệt giữa con trai và đàn ông  #meitu #hellokitty,2025-04-11 17:38:41,11/04/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7492003362528463632,https://www.tiktok.com/@eb06thg9/video/7492003156327419143,75,32200,2607,461300,1181,188,"meitu, hellokitty",False,False,eb06thg9,False,False,False,0,2,9,0,0,1,0,0,0
nghe mng bảo Cường Cao thắng đời 1-0 hihi @Hoạ Thư Chụp Ảnh #hoathuchupanh ,2025-04-09 19:50:17,09/04/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7491294988060396289,https://www.tiktok.com/@eb06thg9/video/7491294904128146706,117,275000,2781,5700000,7603,748,", hoathuchupanh",False,False,eb06thg9,False,False,False,0,1,13,0,0,0,1,0,0
hông biết nói gì nữa cả nhà ơiii ,2025-04-02 17:43:47,02/04/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7488664701330852613,https://www.tiktok.com/@eb06thg9/video/7488664694383856902,19,221400,2595,2900000,5937,1186,,False,False,eb06thg9,False,False,False,0,0,8,0,0,1,0,0,0
chị makeup làm tóc đâu thấy cảnh này =))),2025-03-30 16:03:38,30/03/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - Trung Tù🪛,7415271609474288400,https://www.tiktok.com/@eb06thg9/video/7487525624056220934,15,107100,956,1800000,2256,348,,False,False,eb06thg9,False,False,False,0,0,9,0,0,1,0,0,1
anh không thể mà,2025-03-30 13:07:50,30/03/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝙏𝙏 𝙈𝙪𝙨𝙞𝙘,7486854615772465926,https://www.tiktok.com/@eb06thg9/video/7487480325073816838,17,9605,106,435100,212,98,,False,False,eb06thg9,False,False,False,0,0,4,0,0,1,0,0,1
bác Tuyết ơiii !! #ancungbatuyet,2025-03-21 15:05:29,21/03/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7484171094167259905,https://www.tiktok.com/@eb06thg9/video/7484170878616390919,77,24200,210,629600,821,194,ancungbatuyet,False,False,eb06thg9,False,False,False,0,1,4,0,0,1,0,0,0
thích thì chiều ,2025-03-19 23:10:44,19/03/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 🫧Min🪼,7479713118609132289,https://www.tiktok.com/@eb06thg9/video/7483553760539659527,14,37200,1531,592300,676,161,,False,False,eb06thg9,False,False,False,0,0,3,0,0,0,0,1,0
cuối cùng tôi cũng được unbox Lila hihi @Bunny Blind Box ,2025-03-18 16:57:23,18/03/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7483086742439283473,https://www.tiktok.com/@eb06thg9/video/7483086456710335752,107,24200,259,454600,1041,135,,False,False,eb06thg9,False,False,False,0,0,11,0,0,1,0,0,0
hóng được gì chưa người đẹp ,2025-03-15 17:47:00,15/03/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7481986342026234640,https://www.tiktok.com/@eb06thg9/video/7481986002567941384,139,13000,146,269000,392,123,,False,False,eb06thg9,False,False,False,0,0,6,0,0,1,0,0,1
trendy cỡ đó anh gánh nổi  #hoanghamobile #xiaomi,2025-03-14 18:56:14,14/03/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7481633036996659985,https://www.tiktok.com/@eb06thg9/video/7481632752656289042,108,5450,41,368900,174,89,"hoanghamobile, xiaomi",False,False,eb06thg9,False,False,False,0,2,6,0,0,0,1,0,0
Qua ngày rồi mới chịu up 😗 Các bbi iu nhớ cmt những câu chúc hay ho để nhận quà từ klinh nhaaa 👩🏻‍❤️‍💋‍👩🏻 #NIVEA # NIVEACreme #NutNeDangYeu #hoakemnhungdanang #CapCut ,2025-03-13 18:04:17,13/03/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7481248545276349201,https://www.tiktok.com/@eb06thg9/video/7481248282891652360,101,6389,68,323700,170,87,"nivea, nutnedangyeu, hoakemnhungdanang, capcut",False,False,eb06thg9,False,False,False,5,4,25,0,0,0,1,0,0
bất ngờ chưa ông zà  #Quatangbantrai #RhysMan #BoxYeu #Valentine,2025-03-10 18:03:16,10/03/2025,True,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7480134977825295120,https://www.tiktok.com/@eb06thg9/video/7480134756663889159,80,8829,77,186200,361,81,"quatangbantrai, rhysman, boxyeu, valentine",False,False,eb06thg9,False,False,True,0,4,5,0,0,0,1,0,0
"be thích hoa hồng, chàng liền tặng be bó bông hồng kẹo (candy). thế là be có 2 sự ngọt ngào hehe happi 444 days đồ",2025-03-10 13:06:23,10/03/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - Phuonqq Tramm,7473857626817923857,https://www.tiktok.com/@eb06thg9/video/7480058255960542471,21,10100,134,162000,295,182,,False,False,eb06thg9,False,False,False,0,0,26,0,0,1,0,0,0
sự nuông chiều tạo ra kẻ yêu anh hơn hihi  #catricecosmetics #lamthaocosmetics #blindbag #tuimucatrice ,2025-03-08 17:54:46,08/03/2025,True,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7479390788737125121,https://www.tiktok.com/@eb06thg9/video/7479390403326741768,152,383600,13200,5300000,16200,1196,"catricecosmetics, lamthaocosmetics, blindbag, tuimucatrice",False,False,eb06thg9,False,False,False,0,4,10,0,0,1,0,0,1
ê nhạc hay,2025-03-08 16:17:50,08/03/2025,False,https://www.tiktok.com/@eb06thg9,nhạc nền - 𝗯𝗲,7479365494672247553,https://www.tiktok.com/@eb06thg9/video/7479365413680237832,23,74400,1173,750400,1898,361,,False,False,eb06thg9,False,False,False,0,0,3,0,0,1,0,0,1
