text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Review serum Beplain #goccuaru #serum #beplain #pdrn ,2025-06-12 09:59:05,12/06/2025,False,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7514892036156623632,https://www.tiktok.com/@goc.cua.ru/video/7514891996616461576,66,7633,39,54400,281,61,"goccuaru, serum, beplain, pdrn",False,False,goc.cua.ru,False,False,False,0,4,3,0,1,0,0,0,0
Rư bị bóc phốt trên Threads city rồi mọi người ơi 🥺 #goccuaru #bocphot #taytrang ,2025-06-10 18:35:03,10/06/2025,False,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7514282832039463697,https://www.tiktok.com/@goc.cua.ru/video/7514282792541375751,116,54200,761,514800,1711,594,"goccuaru, bocphot, taytrang",False,False,goc.cua.ru,False,False,False,1,3,11,0,0,0,1,0,0
Skincare Newbie? Nên xem hết về mụn để khỏi đoán mò 😻 #goccuaru #skincareroutine #skincaretips #mụn ,2025-06-09 10:30:59,09/06/2025,False,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7513787164556118785,https://www.tiktok.com/@goc.cua.ru/video/7513786963414093074,321,37300,1126,359100,4512,187,"goccuaru, skincareroutine, skincaretips, mụn",False,False,goc.cua.ru,False,False,False,1,4,11,0,1,0,0,0,0
Review dung dịch làm mềm mụn đầu đen Jumiso #goccuaru #jumisovn #mundauden ,2025-06-07 09:56:43,07/06/2025,True,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7513035999308696337,https://www.tiktok.com/@goc.cua.ru/video/7513035965045361938,79,25500,176,442100,1109,70,"goccuaru, jumisovn, mundauden",False,False,goc.cua.ru,False,False,False,0,3,9,0,1,0,0,0,1
Review má hồng Lemonade  #goccuaru #lemonade  #mirrormirrorblushcushion ,2025-06-04 09:54:38,04/06/2025,True,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7511922194822269697,https://www.tiktok.com/@goc.cua.ru/video/7511922161301474578,85,28100,162,510300,792,60,"goccuaru, lemonade, mirrormirrorblushcushion",False,False,goc.cua.ru,False,False,False,0,3,4,0,1,0,0,0,0
Review serum DIV #goccuaru #serum #div ,2025-06-02 10:00:25,02/06/2025,True,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7511181512658651921,https://www.tiktok.com/@goc.cua.ru/video/7511181479620119816,53,25400,187,369100,1006,103,"goccuaru, serum, div",False,False,goc.cua.ru,False,False,False,0,3,3,0,1,0,0,0,0
Sự thật về áo chống nắng #goccuaru #aochongnang ,2025-05-29 09:59:58,29/05/2025,False,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7509697061441260304,https://www.tiktok.com/@goc.cua.ru/video/7509697027282881800,138,70700,1436,737100,3907,342,"goccuaru, aochongnang",False,False,goc.cua.ru,False,False,False,0,2,6,0,1,0,0,0,0
Review kem chống nắng Hyaestic #goccuaru #kemchongnang #hyaesticvietnam ,2025-05-26 09:48:24,26/05/2025,True,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7508580816834923280,https://www.tiktok.com/@goc.cua.ru/video/7508580792939990279,85,37200,202,520300,1507,227,"goccuaru, kemchongnang, hyaesticvietnam",False,False,goc.cua.ru,False,False,False,0,3,5,0,1,0,0,0,0
Review 🟢 chín tất tần tật Cushion phấn nước #goccuaru #cushion #phannuoc #reviewlamdep ,2025-05-24 10:00:32,24/05/2025,False,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7507842062209895184,https://www.tiktok.com/@goc.cua.ru/video/7507841753731353864,276,91900,3457,1600000,17900,926,"goccuaru, cushion, phannuoc, reviewlamdep",False,False,goc.cua.ru,False,False,False,0,4,9,0,1,0,0,0,1
Review serum oh!oh! #goccuaru #serum #ohoh ,2025-05-22 09:51:40,22/05/2025,True,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7507097325752847120,https://www.tiktok.com/@goc.cua.ru/video/7507097285868784904,72,17500,169,540300,1053,93,"goccuaru, serum, ohoh",False,False,goc.cua.ru,False,False,False,0,3,3,0,1,0,0,0,0
Review serum ELT #goccuaru #serum #ELT ,2025-05-20 10:09:08,20/05/2025,True,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7506359660119624465,https://www.tiktok.com/@goc.cua.ru/video/7506359631371865362,58,19500,49,335700,402,47,"goccuaru, serum, elt",False,False,goc.cua.ru,False,False,False,0,3,3,0,1,0,0,0,0
Review kem phục hồi B5 La Roche-Posay #goccuaru #larocheposay #larocheposayvn #kemphuchoi ,2025-05-17 09:56:12,17/05/2025,True,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7505243069374089985,https://www.tiktok.com/@goc.cua.ru/video/7505243045831511304,64,11500,97,419100,394,81,"goccuaru, larocheposay, larocheposayvn, kemphuchoi",False,False,goc.cua.ru,False,False,False,0,4,7,0,1,0,0,0,1
Review kem dưỡng Curel #goccuaru #kemduong #Curel ,2025-05-15 10:01:38,15/05/2025,True,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7504502291934382865,https://www.tiktok.com/@goc.cua.ru/video/7504502264682319112,79,30600,141,351800,730,59,"goccuaru, kemduong, curel",False,False,goc.cua.ru,False,False,False,0,3,4,0,1,0,0,0,0
Review kem chống nắng La Roche-Posay  #goccuaru #larocheposay #larocheposayvn #kemchongnang ,2025-05-13 10:12:18,13/05/2025,True,https://www.tiktok.com/@goc.cua.ru,nhạc nền - Góc Của Rư,7503762924017388289,https://www.tiktok.com/@goc.cua.ru/video/7503762847709531399,57,13900,123,396000,447,381,"goccuaru, larocheposay, larocheposayvn, kemchongnang",False,False,goc.cua.ru,False,False,False,0,4,6,0,1,0,0,0,0
