text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
#haleyph ,2025-06-13 21:44:06,13/06/2025,False,https://www.tiktok.com/@haleypham2002,nhạc nền - Haley Phạm,7515444809747335953,https://www.tiktok.com/@haleypham2002/video/7515444774766169362,270,10500,581,246300,768,105,haleyph,False,False,haleypham2002,False,False,False,0,1,0,0,0,0,1,0,0
Từ lúc làm răng xong là đi đâu cũng có em nó =)) #haleyph #flossieultra #tamnuocflossieultra #tamnuoc ,2025-06-11 20:31:25,11/06/2025,False,https://www.tiktok.com/@haleypham2002,Brunch (Lofi),7182260268951422978,https://www.tiktok.com/@haleypham2002/video/7514683868218314002,81,288,7,8696,8,0,"haleyph, flossieultra, tamnuocflossieultra, tamnuoc",False,False,haleypham2002,False,False,False,0,4,13,0,0,0,1,0,0
Các bác thấy tui tính hợp lý khum? =))) #haleyph ,2025-06-09 19:49:49,09/06/2025,False,https://www.tiktok.com/@haleypham2002,Yacht Club,6998997669163042818,https://www.tiktok.com/@haleypham2002/video/7513930974363766034,97,5609,154,105200,622,39,haleyph,False,False,haleypham2002,False,False,False,0,1,9,0,0,0,1,0,0
Bộ 3 giông tố 🙂‍↕️ #haleyph ,2025-06-08 20:06:43,08/06/2025,False,https://www.tiktok.com/@haleypham2002,nhạc nền - elm bum,7489094006250490630,https://www.tiktok.com/@haleypham2002/video/7513564237474663688,20,1770,55,42400,47,7,haleyph,False,False,haleypham2002,False,False,False,1,1,5,0,0,0,1,0,1
Lần đầu thử kích mí thành công phết hehe #haleyph #kichmimlendiary #mlendiary #mlendiarypartner ,2025-06-06 19:58:31,06/06/2025,False,https://www.tiktok.com/@haleypham2002,Stylish Lounge Cozy Electronic Lofi Upbeat Piano,7419997995468785681,https://www.tiktok.com/@haleypham2002/video/7512819961786830098,73,283,24,31600,53,4,"haleyph, kichmimlendiary, mlendiary, mlendiarypartner",False,False,haleypham2002,False,False,False,0,4,9,0,0,0,1,0,0
Mếch úp + chit chat trước khi đi tập pick 😗 #haleyph ,2025-06-05 19:33:11,05/06/2025,False,https://www.tiktok.com/@haleypham2002,Whisper of Peace,7432017920777226241,https://www.tiktok.com/@haleypham2002/video/7512442351491501320,167,2575,54,51800,156,30,haleyph,False,False,haleypham2002,False,False,False,1,1,10,0,0,0,1,0,0
Mang em mặt nạ này sang bên kia là như cái spa mini tại gia =)) #haleyph #redlighttherapyhalio #ledmaskhalio #matnaanhsanghalio #haliopartner ,2025-06-04 20:24:43,04/06/2025,True,https://www.tiktok.com/@haleypham2002,Chill Kitty (Lofi),7427542195022137361,https://www.tiktok.com/@haleypham2002/video/7512084538739264786,69,1066,18,49300,40,8,"haleyph, redlighttherapyhalio, ledmaskhalio, matnaanhsanghalio, haliopartner",False,False,haleypham2002,False,False,False,0,5,16,0,0,0,1,0,0
Rất rôm rả =)) #haleyph ,2025-06-02 19:45:54,02/06/2025,False,https://www.tiktok.com/@haleypham2002,Funny,6927016038370428930,https://www.tiktok.com/@haleypham2002/video/7511332365109644562,59,1989,99,61100,47,6,haleyph,False,False,haleypham2002,False,False,False,0,1,4,0,0,0,1,0,0
Những đôi tai “tài lộc” căng bóng đỏ au như mụn sắp vỡ nhân… 🥲 #haleyph ,2025-05-26 22:07:56,26/05/2025,False,https://www.tiktok.com/@haleypham2002,nhạc nền - Haley Phạm,7508771403522083601,https://www.tiktok.com/@haleypham2002/video/7508771373964152072,83,31300,301,955300,676,119,haleyph,False,False,haleypham2002,False,False,False,1,1,14,0,0,0,0,1,0
Đầu lòng 2 ả tố nga :)) #haleyph ,2025-05-24 20:42:08,24/05/2025,False,https://www.tiktok.com/@haleypham2002,nhoi nhoi,7359032455540853521,https://www.tiktok.com/@haleypham2002/video/7508007087071415560,19,1879,94,61200,37,2,haleyph,False,False,haleypham2002,False,False,False,0,1,7,0,0,0,1,0,1
