text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Tóm tắt nhanh về @Ctpham_  🤣 #abibvn #glutathiosome #exosome ,2025-06-13 21:01:22,13/06/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7515433916975647504,https://www.tiktok.com/@han.hang18/video/7515433756509900040,117,30600,585,552800,1056,127,", abibvn, glutathiosome, exosome",False,False,han.hang18,False,False,False,1,3,5,0,0,0,1,0,0
,2025-06-12 19:00:19,12/06/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - KORE - D,7510213758808017680,https://www.tiktok.com/@han.hang18/video/7515031477323582727,15,48800,1609,406000,994,41,,False,False,han.hang18,False,False,False,0,0,0,0,0,0,1,0,0
Đã ai thử workshop này chưa zạ😋 #larocheposaypartner #anthelios ,2025-06-10 19:55:53,10/06/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7514303660115839745,https://www.tiktok.com/@han.hang18/video/7514303624122502407,77,6681,268,129700,518,21,"larocheposaypartner, anthelios",False,False,han.hang18,False,False,False,1,2,7,0,0,0,1,0,0
"Chưa đi mấy chỗ này chưa phải ngừi zào 🤭 =)))) #Marvisvietnam, #kemdanhrangcaocap ",2025-06-08 19:56:03,08/06/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7513561547969432321,https://www.tiktok.com/@han.hang18/video/7513561501337144584,96,11800,163,235600,281,64,"marvisvietnam, kemdanhrangcaocap",False,False,han.hang18,False,False,False,1,2,11,0,0,0,1,0,1
Cô em gái của tôi ơiiii 😇,2025-06-05 20:32:09,05/06/2025,False,https://www.tiktok.com/@han.hang18,Cute Piano,7376164847701985299,https://www.tiktok.com/@han.hang18/video/7512457549250120968,69,15400,153,274300,251,21,,False,False,han.hang18,False,False,False,1,0,6,0,0,0,1,0,0
Trung bình một ngày đi làm của cổ 😋🤍 #SKIN1004 #Tonebrightening,2025-06-03 20:41:10,03/06/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7511717734061738768,https://www.tiktok.com/@han.hang18/video/7511717693226044679,67,2397,54,75600,34,15,"skin1004, tonebrightening",False,False,han.hang18,False,False,False,1,2,8,0,0,0,1,0,0
Quá khứ kia cũa anhhh =))) #belif #belifmask,2025-05-31 19:33:01,31/05/2025,False,https://www.tiktok.com/@han.hang18,Fresh and Fun,7274073304544299068,https://www.tiktok.com/@han.hang18/video/7510586884188343570,103,40700,848,649000,1311,148,"belif, belifmask",False,False,han.hang18,False,False,False,0,2,6,0,0,0,1,0,1
Hnay kẻ con mắt hơi lố tay xíu xiuu 🥹 #KyungLab #CushionKyungLab ,2025-05-28 19:26:11,28/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7509471894840675073,https://www.tiktok.com/@han.hang18/video/7509471860992593170,70,34400,751,664000,4213,138,"kyunglab, cushionkyunglab",False,False,han.hang18,False,False,False,1,2,9,0,0,0,1,0,0
"Tôi yêu biển, biển hãy đến với tôiii 🌊☀️❤️ #kemchongnang #chongnangvachdo #lorealparisskin#lorealparispartner ",2025-05-23 21:03:14,23/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7507641525103430401,https://www.tiktok.com/@han.hang18/video/7507641448305659144,80,49500,1541,823900,1026,100,"kemchongnang, chongnangvachdo, lorealparisskin, lorealparispartner",False,False,han.hang18,False,False,False,2,4,9,0,0,0,1,0,0
🎀 #3CEVN #glazyglow #3andChịEm #3CEPartner ,2025-05-20 19:58:50,20/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7506511825320594177,https://www.tiktok.com/@han.hang18/video/7506511594168290568,45,3457,52,282500,95,13,"3cevn, glazyglow, 3andchịem, 3cepartner",False,False,han.hang18,False,False,False,1,4,0,0,0,0,1,0,0
"Chuẩn bị tóc đẹp đi cafe với tui náaa🤍 

#daugoinauloreal #fullresist #lorealparishair #lorealparispartner",2025-05-19 19:43:16,19/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7506136531099929360,https://www.tiktok.com/@han.hang18/video/7506136491282795783,77,4689,199,314800,395,34,"daugoinauloreal, fullresist, lorealparishair, lorealparispartner",False,False,han.hang18,False,False,False,1,4,9,0,0,0,1,0,0
,2025-05-16 20:43:15,16/05/2025,False,https://www.tiktok.com/@han.hang18,NOKIA,7470876675554183169,https://www.tiktok.com/@han.hang18/video/7505038700812799239,12,30300,941,390200,586,36,,False,False,han.hang18,False,False,False,0,0,0,0,0,0,1,0,0
Giờ mới hiểu tại sao em này hot rần rần 🥹 #Maybelline #makeup #MaybellinePartner,2025-05-15 19:34:15,15/05/2025,True,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7504649864429898513,https://www.tiktok.com/@han.hang18/video/7504649835941924103,67,5506,52,344700,164,15,"maybelline, makeup, maybellinepartner",False,False,han.hang18,False,False,False,1,3,10,0,0,0,1,0,0
Phanh gấp liềnnn 🐷 #ctpharma#kombuchact ,2025-05-13 21:54:48,13/05/2025,False,https://www.tiktok.com/@han.hang18,Fresh and Fun,7274073304544299068,https://www.tiktok.com/@han.hang18/video/7503943891960319240,62,32000,859,553500,953,71,"ctpharma, kombuchact",False,False,han.hang18,False,False,False,1,2,3,0,0,0,1,0,0
Khéo tay hay làm 😝 #taytranglorealparis #lorealparisskin #lorealparispartner ,2025-05-12 20:06:59,12/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7503545184559680257,https://www.tiktok.com/@han.hang18/video/7503545015453437202,71,16900,127,248800,237,42,"taytranglorealparis, lorealparisskin, lorealparispartner",False,False,han.hang18,False,False,False,1,3,4,0,0,0,1,0,0
"Ghét nắng nhưng ghiền hè, ghiền lun bài nàyy🫰🏻🌤️

#GhetMaGhien #GhetHe #GhienHe #SUMMERISCALLING#CapCut ",2025-05-11 20:29:21,11/05/2025,False,https://www.tiktok.com/@han.hang18,Ghét mà Ghiền (#1),7501628533329430544,https://www.tiktok.com/@han.hang18/video/7503179690551643410,18,3476,173,177500,359,20,"ghetmaghien, ghethe, ghienhe, summeriscalling, capcut",False,False,han.hang18,False,False,True,1,5,9,0,0,0,1,0,1
,2025-05-09 18:25:58,09/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - TezDepTraiii,7500956356192602881,https://www.tiktok.com/@han.hang18/video/7502405719224864008,17,96900,2285,1100000,2368,102,,False,False,han.hang18,False,False,False,0,0,0,0,0,0,1,0,0
Rất ít khi thích một chiếc máy nào nhưng em này là ngoại lệ 🥹🫶🏻 #Ulike #UlikeAir3 #IPL @Ulike Việt Nam Store ,2025-05-04 19:37:03,04/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7500568782092765953,https://www.tiktok.com/@han.hang18/video/7500568618229370130,61,72500,3461,1700000,6166,336,"ulike, ulikeair3, ipl, ",False,False,han.hang18,False,False,False,1,3,18,0,0,0,1,0,1
Đi Nhật shopping được toàn đồ chất lượng thuiii 😚🫶🏻🌸,2025-05-02 19:28:55,02/05/2025,True,https://www.tiktok.com/@han.hang18,Best for video background music Chill Trap Hip Hop(837066),6850120546382776322,https://www.tiktok.com/@han.hang18/video/7499824353157139720,63,68100,389,2400000,916,139,,False,False,han.hang18,False,False,False,1,0,9,0,0,0,1,0,0
