text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
"Làm sạch da, dưỡng ẩm và chống nắng bí quyết cho làn da khoẻ đẹp các bà lựa kĩ nha #xuhuong #fyp #hienlamdep ",2025-06-13 21:01:21,13/06/2025,False,https://www.tiktok.com/@hienlamdep90,nhạc nền - 𝙏𝙝𝙚 𝙌𝙪𝙤𝙘,7475312342566390544,https://www.tiktok.com/@hienlamdep90/video/7515433751350906120,7,0,0,154,0,0,"xuhuong, fyp, hienlamdep",False,False,hienlamdep90,False,False,False,0,3,20,0,0,0,1,0,0
Kem dưỡng phục hồi da bibala #fyp #xuhuong #hienlamdep #hientran ,2025-06-13 11:37:57,13/06/2025,False,https://www.tiktok.com/@hienlamdep90,nhạc nền - Kem Bạch Cốt Thái,7496742452527680273,https://www.tiktok.com/@hienlamdep90/video/7515288559788625170,12,2,0,142,0,0,"fyp, xuhuong, hienlamdep, hientran",False,False,hienlamdep90,False,False,False,0,4,6,0,1,0,0,0,0
Trả lời @Mẫn Mẫn Kem dưỡng Bibala Việt Nam an toàn cho làn da  #fyp #xuhuong #hienlamdep #hientran #bibala ,2025-06-12 23:20:52,12/06/2025,False,https://www.tiktok.com/@hienlamdep90,Very cute melody by marimba tone(39813),6849968592285337602,https://www.tiktok.com/@hienlamdep90/video/7515098621247802642,101,2,0,270,0,3,", fyp, xuhuong, hienlamdep, hientran, bibala",False,False,hienlamdep90,False,False,False,0,5,14,0,0,0,0,1,0
Trả lời @Ngọc Bond Giỏ hàng bị xoá cho mẹ xem là đủ hiểu em nha! #fyp #xuhuong #hienlamdep #hientran ,2025-06-12 11:44:56,12/06/2025,False,https://www.tiktok.com/@hienlamdep90,Very cute melody by marimba tone(39813),6849968592285337602,https://www.tiktok.com/@hienlamdep90/video/7514919277435112711,36,1,0,222,0,6,", fyp, xuhuong, hienlamdep, hientran",False,False,hienlamdep90,False,False,False,0,4,16,0,1,0,0,0,0
Trend mới ngành mỹ phẩm làm đẹp mang tên:Xoá giỏ hàng #fyp #xuhuong #hienlamdep #hientran #reviewlamdep ,2025-06-12 11:16:57,12/06/2025,False,https://www.tiktok.com/@hienlamdep90,nhạc nền - LenaWC,7269057989660084998,https://www.tiktok.com/@hienlamdep90/video/7514912061286026514,5,9,0,333,0,0,"fyp, xuhuong, hienlamdep, hientran, reviewlamdep",False,False,hienlamdep90,False,False,False,0,5,11,0,1,0,0,0,0
Muốn thức khuya mà da vẫn đẹp #fyp #xuhuong #hienlamdep ,2025-06-12 00:29:19,11/06/2025,False,https://www.tiktok.com/@hienlamdep90,original sound - cat lover,7201352723965430574,https://www.tiktok.com/@hienlamdep90/video/7514745164615732498,17,6,0,214,0,2,"fyp, xuhuong, hienlamdep",False,False,hienlamdep90,False,False,False,0,3,7,1,0,0,0,0,0
Trả lời @Mẹ Táo Dừa 45 hãng mỹ phẩm... #fyp #xuhuong #hienlamdep #hientran #reviewlamdep ,2025-06-11 16:47:19,11/06/2025,False,https://www.tiktok.com/@hienlamdep90,Very cute melody by marimba tone(39813),6849968592285337602,https://www.tiktok.com/@hienlamdep90/video/7514626117479697672,58,8,0,516,1,4,", fyp, xuhuong, hienlamdep, hientran, reviewlamdep",False,False,hienlamdep90,False,False,False,0,5,9,0,0,1,0,0,0
Làm sạch da gì chưa người đẹp 😄 #fyp #xuhuong #hienlamdep ,2025-06-11 12:16:32,11/06/2025,False,https://www.tiktok.com/@hienlamdep90,nhạc nền - 10D MUSIC🎧,7496004005362289430,https://www.tiktok.com/@hienlamdep90/video/7514556332511464722,16,4,1,395,0,3,"fyp, xuhuong, hienlamdep",False,False,hienlamdep90,False,False,False,1,3,7,0,0,1,0,0,0
"7MẸO GIÚP THU NHỎ LỖ CHÂN LÔNG HƠN MỖI NGÀY                        1. Đừng rửa mặt kiểu “chà xoáy”, cứ nhẹ nhàng thôi
Rửa 2 lần/ngày với loại dịu nhẹ là đủ.
Càng chà mạnh, càng làm da mất nước → tiết dầu → lỗ chân lông càng rõ!
👉 Mẹo nhỏ: có thể rửa 30 giây với nước ấm, sau đó rửa lại bằng nước mát.
2. Toner là “trợ lý” đắc lực
Chọn toner có niacinamide hoặc BHA nhẹ giúp làm sạch sâu.
Da đỡ dầu, nhìn láng mịn hẳn ra.
🚫 Không chọn loại có cồn mạnh nhé, da nhạy cảm dễ kích ứng lắm 

3. Tẩy tế bào chết đều đặn – nhưng phải “từ tốn” 1–2 lần/tuần với AHA hoặc BHA là đủ.
Không cần bong lột da như rắn đâu, chỉ cần làm đều đặn thì da tự “đẹp lên” dần.

4. Mặt nạ đất sét – bạn thân của làn da dầu
Tuần 1–2 lần thôi, giúp hút sạch dầu thừa trong lỗ chân lông.
🧖‍♀️ Loại mình hay dùng là đất sét Beplain – dễ rửa, không khô căng da.

5. Dưỡng ẩm đều đặn – nghe ngược nhưng đúng
Da đủ ẩm → không tiết dầu quá → lỗ chân lông không bị giãn to.
Hè này bạn dùng gel dưỡng mỏng nhẹ, da mướt mà không bị bí.

6. Kem chống nắng là “áo giáp” bảo vệ collagen
Collagen giúp da căng → lỗ chân lông khó mà to.
Vậy nên nhớ: chống nắng mỗi sáng, dù mưa hay nắng!

7. Trang điểm nhẹ – da cảm ơn bạn lắm đó
Makeup dày là “ác mộng” với lỗ chân lông.
Trang điểm kiểu “nhẹ nhàng” và tẩy trang sạch cuối ngày là combo cứu cánh giúp da được khoẻ đẹp 

⸻

📝 Tóm lại chị em nhớ là: 
	•	Nhẹ tay với da
	•	Dưỡng đều đặn
	•	Chống nắng kỹ
	•	Đắp đất sét đúng lúc
→ Da khỏe, lỗ chân lông cũng “se khít” hơn mỗi ngày!
Chị em đã áp dụng được mấy bước trong đây rồi? Để lại bình luận mình gợi ý thêm sản phẩm phù hợp theo từng loại da nha! #fyp #xuhuong #hienlamdep #reviewlamdep 
#LàmĐẹpTạiNhà #ChămDaĐúngCách #LCLNhỏĐiMỗiNgày",2025-06-10 10:56:11,10/06/2025,False,https://www.tiktok.com/@hienlamdep90,nhạc nền - Thân Thu Trang,7242528293476059910,https://www.tiktok.com/@hienlamdep90/video/7514164541698231570,6,8,0,351,1,0,"fyp, xuhuong, hienlamdep, reviewlamdep, làmđẹptạinhà, chămdađúngcách, lclnhỏđimỗingày",False,False,hienlamdep90,False,False,False,5,7,362,0,1,0,0,0,0
Trả lời @Hương Phạm ... #fyp #xuhuong #hienlamdep ,2025-06-10 08:15:15,10/06/2025,False,https://www.tiktok.com/@hienlamdep90,nhạc nền - Tứng Quần Rách - Măng Đen Land,7403929972031916817,https://www.tiktok.com/@hienlamdep90/video/7514123048920960274,15,8,0,296,0,0,", fyp, xuhuong, hienlamdep",False,False,hienlamdep90,False,False,False,0,3,5,0,1,0,0,0,0
