text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Tại sao dưỡng da mãi mà da không đẹp? có phải vì cơ bản việc tẩy trang làm sạch hay chống nắng bị lược bỏ hay không kĩ càng? 🥹 #huongwitch #skincaretips #kemchongnang #chongnangvachdo #taytranglorealparis #lorealparisskin #lorealparispartner ,2025-06-12 19:53:10,12/06/2025,True,https://www.tiktok.com/@hwitch99,Morning Routine,7408039355241695249,https://www.tiktok.com/@hwitch99/video/7515045094899191047,82,1355,0,7882,12,3,"huongwitch, skincaretips, kemchongnang, chongnangvachdo, taytranglorealparis, lorealparisskin, lorealparispartner",False,False,hwitch99,False,False,False,1,7,29,0,0,0,1,0,0
"Mụn đầu đen, sợi bã nhờn, mụn cám ai mà không có? Cách tôi làm sạch đơn giản lắm luôn 👏🏻  #huongwitch #blackheads #mundauden #skincaretips #jumisovn #umunjumiso #tonerha ",2025-06-11 19:03:24,11/06/2025,True,https://www.tiktok.com/@hwitch99,Life is Beautiful,7394451688570193921,https://www.tiktok.com/@hwitch99/video/7514661181437611282,90,967,10,35100,81,5,"huongwitch, blackheads, mundauden, skincaretips, jumisovn, umunjumiso, tonerha",False,False,hwitch99,False,False,False,1,7,20,0,0,0,1,0,0
“Lucky Vicky”👏🏻 với lại châm ngôn sống của mình xưa nay là “Đường đến đầu cầu ắt sẽ thẳng” 👌🏻💕 #huongwitch#huongwvevibes#posckyvicky ,2025-06-10 16:30:29,10/06/2025,False,https://www.tiktok.com/@hwitch99,Every Breath you take,6726537325574113281,https://www.tiktok.com/@hwitch99/video/7514250690210958600,20,198,0,3750,5,19,"huongwitch, huongw, pos",False,False,hwitch99,False,False,False,2,3,19,0,0,1,0,0,0
Same same but different Thailand 🤣 #huongwitch #thailand #thailandtravel #bangkok ,2025-06-04 15:29:47,04/06/2025,False,https://www.tiktok.com/@hwitch99,original sound,7314343088007596802,https://www.tiktok.com/@hwitch99/video/7512008532544294151,8,1172,7,21600,27,7,"huongwitch, thailand, thailandtravel, bangkok",False,False,hwitch99,False,False,False,1,4,5,0,0,1,0,0,0
Dấu hiệu anh ấy thích bạn rồi 🤣🤭 #huongwitch #crush ,2025-05-30 22:41:20,30/05/2025,False,https://www.tiktok.com/@hwitch99,New Flame (but I promise you) (feat. Usher & Rick Ross),7289503994026805250,https://www.tiktok.com/@hwitch99/video/7510264322178714898,6,9992,84,181000,331,68,"huongwitch, crush",False,False,hwitch99,False,False,False,1,2,7,0,0,0,0,1,0
Người rất rất quan ngại rãnh cười 😂 ny tôi bảo “tối ngày vào Olive Young” 🙂‍↔️ #huongwitch #dulichtiktok #oliveyoung #dewycel #nangcomat #koreanskincare #kemmat ,2025-05-30 21:46:43,30/05/2025,False,https://www.tiktok.com/@hwitch99,Similar Sensation (Instrumental),6776496785708812290,https://www.tiktok.com/@hwitch99/video/7510250235000605968,79,1516,4,13500,25,12,"huongwitch, dulichtiktok, oliveyoung, dewycel, nangcomat, koreanskincare, kemmat",False,False,hwitch99,False,False,False,2,7,16,0,0,0,1,0,0
"Trời đất cái filter AI mermaid này chất lượng dữ nha, tôi ngụp lặn hẳn xuống nước rồi mới biến thành người cá, trông thật dễ sợ quả cho ngụp xuống nước 🫣 #huongwitch #Aifilter #aimermaid ",2025-05-25 15:03:27,25/05/2025,False,https://www.tiktok.com/@hwitch99,night vibe,7116550626791655426,https://www.tiktok.com/@hwitch99/video/7508290897386294535,5,682,4,41400,17,12,"huongwitch, aifilter, aimermaid",False,False,hwitch99,False,False,True,1,3,32,0,0,1,0,0,1
Omgggg 😱 trend Ai mermaid filter #huongwitch ,2025-05-24 21:45:45,24/05/2025,False,https://www.tiktok.com/@hwitch99,オリジナル楽曲 - hitomi🇯🇵Japanese•ᴗ•ꕤ*woman🤗,7314339375813626626,https://www.tiktok.com/@hwitch99/video/7508023465576811797,5,701,9,32500,18,24,huongwitch,False,False,hwitch99,False,False,True,1,1,5,0,0,0,1,0,1
"Replying to @Thao Nguyen Thach  👌🏻 đâyyyy săn đc son Dinto 203,204 màu mớiiiu 💕 #huongwitch #unboxingvideo #oliveyoung #koreanmakeup #glassskinmakeup ",2025-05-20 15:51:07,20/05/2025,False,https://www.tiktok.com/@hwitch99,sonido original,7394239873410484997,https://www.tiktok.com/@hwitch99/video/7506447754365865234,93,2451,11,19000,51,10,", huongwitch, unboxingvideo, oliveyoung, koreanmakeup, glassskinmakeup",False,False,hwitch99,False,False,False,2,5,13,0,0,1,0,0,0
"Trời ơiiii the cutes cushion 🫶🏻💕 nhìn thấy 1 cái quyết tâm mua bằng đc, em đã xinh lại còn màu xanh baby blue 🥺 tone 17 sold out liên tục ở các store Olive Young nên là… thử xem ẻm có xứng đáng đc tôi săn #huongwitch #unboxingvideo #oliveyoung #cushionviral #etudehouse #glassskinmakeup #koreanmakeup ",2025-05-19 19:15:43,19/05/2025,False,https://www.tiktok.com/@hwitch99,Enjoy the Moment,7364793832645707792,https://www.tiktok.com/@hwitch99/video/7506129400212098311,142,170,1,5186,10,8,"huongwitch, unboxingvideo, oliveyoung, cushionviral, etudehouse, glassskinmakeup, koreanmakeup",False,False,hwitch99,False,False,False,2,7,45,0,0,0,1,0,0
"Thật ra mình xạo đó, mình mãi mãi 21t nhé 😂🥹🤭🙂‍↔️ #huongwitch #glassskin #skingoals #pov #tuoi30 ",2025-05-15 19:35:29,15/05/2025,False,https://www.tiktok.com/@hwitch99,original sound - Hans,7401546956975196933,https://www.tiktok.com/@hwitch99/video/7504650155581377800,11,669,7,15300,12,18,"huongwitch, glassskin, skingoals, pov, tuoi30",False,False,hwitch99,False,False,False,1,5,11,0,0,0,1,0,0
