text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Một trong những phương án cho da dầu hè này. #luongdo #beautytok #reviewlamdep #goclamdep #KemPhanCurel #Kemphanduongda #Kemduong #CeramideCarePowder ,2025-06-06 15:17:12,06/06/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7512747502626458385,https://www.tiktok.com/@im.lukedo/video/7512747461337828616,75,1963,45,76700,293,63,"luongdo, beautytok, reviewlamdep, goclamdep, kemphancurel, kemphanduongda, kemduong, ceramidecarepowder",False,False,im.lukedo,False,False,False,0,8,10,0,0,1,0,0,0
Daily vlog #luongdo ,2025-05-30 16:16:45,30/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7510165385955248912,https://www.tiktok.com/@im.lukedo/video/7510165216663997703,84,592,3,30800,15,19,luongdo,False,False,im.lukedo,False,False,False,0,1,2,0,0,1,0,0,0
Sáp khử mùi Romano  #Sapkhumui72hRomano #domohoikhongdophongdo #luongdo ,2025-05-30 14:24:30,30/05/2025,True,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7510136316064647952,https://www.tiktok.com/@im.lukedo/video/7510136285521087751,53,707,40,164600,65,17,"sapkhumui72hromano, domohoikhongdophongdo, luongdo",False,True,im.lukedo,False,False,False,0,3,4,0,0,1,0,0,0
Một lý do khiến bạn mụn hoài không hết #luongdo #beautytok #reviewlamdep #goclamdep ,2025-05-28 14:13:47,28/05/2025,False,https://www.tiktok.com/@im.lukedo,She Share Story (for Vlog),6722656094272883458,https://www.tiktok.com/@im.lukedo/video/7509391360496012562,46,493,15,32700,28,28,"luongdo, beautytok, reviewlamdep, goclamdep",False,False,im.lukedo,False,False,False,0,4,9,0,0,1,0,0,0
Kcn kiềm dầu nâng tông nhà LRP đã trở lại với phiên bản cải tiến hơn. Mọi người còn nhớ em nó chứ? #luongdo #beautytok #reviewlamdep #goclamdep #larocheposay #larocheposayvn #larocheposaypartner #anthelios ,2025-05-15 20:19:14,15/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7504661472849578768,https://www.tiktok.com/@im.lukedo/video/7504661425957211410,78,3453,234,166700,565,698,"luongdo, beautytok, reviewlamdep, goclamdep, larocheposay, larocheposayvn, larocheposaypartner, anthelios",False,False,im.lukedo,False,False,False,0,8,23,0,0,0,1,0,0
"Nếu xử lí thâm mụn thì nên kết hợp đa hoạt chất nhé. Hợp thâm đen còn thâm đỏ mình chưa thấy hiệu quả mấy.  #luongdo #beautytok #reviewlamdep #serummelasylhong
#GlycolicMelasyl #lorealparis #lorealparispartner #lorealparisskin ",2025-05-13 20:01:27,13/05/2025,True,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7503914788926999297,https://www.tiktok.com/@im.lukedo/video/7503914675323587847,52,2592,77,324400,356,111,"luongdo, beautytok, reviewlamdep, serummelasylhong, glycolicmelasyl, lorealparis, lorealparispartner, lorealparisskin",False,True,im.lukedo,False,False,False,0,8,25,0,0,0,1,0,0
"Đánh giá dựa trên mắt thường ngoài thực tế
Top bảo vệ da trắng nhất
1 Innoskin xám
2 Biore aqua watery
 #luongdo #kemchongnang #beautytok #reviewlamdep ",2025-05-09 13:10:31,09/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - HD Remix,7415915165379119873,https://www.tiktok.com/@im.lukedo/video/7502324429033131271,0,6475,427,564900,1227,631,"luongdo, kemchongnang, beautytok, reviewlamdep",True,False,im.lukedo,False,False,False,0,4,22,0,0,1,0,0,0
"Thử nghiệm kem chống nắng được ưa chuộng hiện nay. Không khuyến khích cá nhân làm theo, kết quả mang tính chất tham khảo #luongdo #skincare #kemchongnang #beautytok #reviewlamdep ",2025-05-08 16:57:40,08/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7502011939334933265,https://www.tiktok.com/@im.lukedo/video/7502011881880669458,59,152800,16100,7800000,32500,3244,"luongdo, skincare, kemchongnang, beautytok, reviewlamdep",False,False,im.lukedo,False,False,False,0,5,24,0,0,1,0,0,0
"Mình nền da hỗn hợp thiên dầu, dễ lên mụn. Mọi review dựa trên trải nghiệm cá nhân, chỉ mang tính chất tham khảo. Các video review chi tiết từng kcn đã có sẵn trên kênh mn có thể xem kỹ hơn nhé #luongdo #skincare #kemchongnang ",2025-05-06 21:42:22,06/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7501343139329493777,https://www.tiktok.com/@im.lukedo/video/7501343076531670290,76,33300,1174,1700000,5126,1042,"luongdo, skincare, kemchongnang",False,False,im.lukedo,False,False,False,0,3,43,0,0,0,1,0,0
"Mình tóc dầu, dễ gàu, ngứa, hay vuốt sáp xịt keo và chơi thể thao. Đã dùng tới chai thứ 2, dù hơi đắt nhưng có hiệu quả với mình. Dù vẫn khô nhưng ít khô hơn những loại mình từng dùng . Review trên trải nghiệm cá nhân , chỉ mang tính chất tham khảo. #luongdo #vichyvn #haircare #mevsdandruff  ",2025-05-04 12:51:37,04/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7500464364302977793,https://www.tiktok.com/@im.lukedo/video/7500464136053214471,82,1543,128,186800,338,55,"luongdo, vichyvn, haircare, mevsdandruff",False,False,im.lukedo,False,False,False,0,4,56,0,0,1,0,0,1
"Chống nắng cho anh em hè này. Ưu điểm: chống nắng mạnh, bám tốt, không lộ. Nhược điểm: bôi nhiều bị dính , cuối ngày hơi xỉn màu. Đi biển bôi con này bao yên tâm luôn. Chống nắng vạch đỏ Loreal #luongdo #skincare #kemchongnang #chongnangvachdo #lorealparis #lorealparispartner ",2025-05-02 15:27:25,02/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7499762255777532673,https://www.tiktok.com/@im.lukedo/video/7499762122918759687,58,18600,1075,929800,3346,491,"luongdo, skincare, kemchongnang, chongnangvachdo, lorealparis, lorealparispartner",False,True,im.lukedo,False,False,True,0,6,42,0,0,1,0,0,0
Nền da hỗn hợp thiên dầu. Chấm điểm dựa trên trải nghiệm cá nhân chỉ mang tính chất tham khảo. #luongdo #skincare #kemchongnang ,2025-04-28 21:14:23,28/04/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7498367299322858257,https://www.tiktok.com/@im.lukedo/video/7498367194212896007,51,19700,762,1000000,3013,827,"luongdo, skincare, kemchongnang",False,False,im.lukedo,False,False,False,0,3,20,0,0,0,1,0,0
"Đáp ứng tốt nhu cầu cơ bản cho da dầu và hỗn hợp, nếu cần làm sạch mạnh hơn có thể tìm màu xanh đậm. Mọi người có sản phẩm nào đã dùng trên 5 chai rồi không?  #luongdo #skincare #taytranglorealparis #lorealparisskin #lorealparispartner #lorealparis",2025-04-27 19:54:50,27/04/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7497975767020751633,https://www.tiktok.com/@im.lukedo/video/7497975604747291912,77,5403,85,248500,436,200,"luongdo, skincare, taytranglorealparis, lorealparisskin, lorealparispartner, lorealparis",False,True,im.lukedo,False,False,False,0,6,38,0,0,0,1,0,1
Chấm điểm kcn theo trải nghiệm cá nhân. Chỉ mang tính chất tham khảo. Mình nền da hỗn hợp thiên dầu. Phần 1 #luongdo #skincare #kemchongnang ,2025-04-25 11:36:00,25/04/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7497105395865930513,https://www.tiktok.com/@im.lukedo/video/7497104884278299911,111,110200,4736,4900000,21700,1894,"luongdo, skincare, kemchongnang",False,False,im.lukedo,False,False,False,0,3,23,0,1,0,0,0,0
"Mình là da hỗn hợp thiên dầu. Những trải nghiệm hoàn toàn mang tính cá nhân nên chỉ có tính tham khảo. Các sản phẩm tích luỹ trong 7 năm skincare từ 2018 tới nay, nếu mọi người muốn xem clip chi tiết từng sản phẩm đã có sẵn trên kênh nhé #luongdo #skincare ",2025-04-22 17:13:34,22/04/2025,False,https://www.tiktok.com/@im.lukedo,Cute,7136445672693172225,https://www.tiktok.com/@im.lukedo/video/7496078617919671559,60,4560,134,286400,477,219,"luongdo, skincare",False,False,im.lukedo,False,False,False,0,2,52,0,0,1,0,0,0
"Sự kiện Vichy Dercos #luongdo #vichyvn #haircare #mevsdandruff
#VichyPartner ",2025-04-20 09:38:36,20/04/2025,True,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7495219253138819857,https://www.tiktok.com/@im.lukedo/video/7495219206514904328,54,569,23,236200,37,39,"luongdo, vichyvn, haircare, mevsdandruff, vichypartner",False,True,im.lukedo,False,False,False,0,5,4,0,1,0,0,0,1
"Những nỗi khổ của nam giới khi skincare. Suy cho cùng skincare cũng chỉ là một phần nhỏ trong cuộc sống hiện đại, như thói quen tập thể dục hàng ngày. Hãy nghĩ nó đơn giản và thử thôi #luongdo #skincare #skincarechonam #menskincare ",2025-04-17 18:56:13,17/04/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7494249889388448529,https://www.tiktok.com/@im.lukedo/video/7494249640196459784,114,5063,287,129300,369,161,"luongdo, skincare, skincarechonam, menskincare",False,False,im.lukedo,False,False,False,0,4,39,0,0,0,1,0,0
Sự kiện ra mắt Chống Nắng Garnier Super UV Anti-Acne Serum Sunscreen. Clip review chi tiết sẽ có sau nhé mọi người. #garniervn #garniersummercamp #luongdo #skincare ,2025-04-16 20:37:30,16/04/2025,True,https://www.tiktok.com/@im.lukedo,Cute,7136445672676411393,https://www.tiktok.com/@im.lukedo/video/7493904664308485394,71,1274,30,195600,80,148,"garniervn, garniersummercamp, luongdo, skincare",False,True,im.lukedo,False,False,True,0,4,22,0,0,0,1,0,0
Một ngày làm nhà sáng tạo nội dung tiktok #luongdo ,2025-04-14 18:58:16,14/04/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7493137323555572496,https://www.tiktok.com/@im.lukedo/video/7493136921577753864,75,1822,12,79100,68,27,luongdo,False,False,im.lukedo,False,False,False,0,1,9,0,0,0,1,0,0
"Chấm điểm nhanh toner da dầu da dầu mụn phần 1. Đây là tổng hợp trải nghiệm của 7 năm skincare từ làn da hỗn hợp thiên dầu dễ lên mụn của mình. Chỉ mang tính chất tham khảo, có thể không đúng với tất cả mọi người. Các clip review riêng lẻ mình đã làm trên kênh mn có thể xem lại nếu muốn nhé #luongdo #skincare #toner #tonerdadaumun ",2025-04-13 19:41:33,13/04/2025,True,https://www.tiktok.com/@im.lukedo,Very cute melody by marimba tone(39813),6849968592285337602,https://www.tiktok.com/@im.lukedo/video/7492776989107965192,85,21300,561,1000000,3811,449,"luongdo, skincare, toner, tonerdadaumun",False,False,im.lukedo,False,False,False,0,4,66,0,0,0,1,0,1
"Sự kiện kỉ niệm 50 năm Laroche Posay.
Ngày 12/4 có anh Khoai Lang Thang và ngày 13/4 sẽ có anh Isaac và Ninh Dương Story mọi người nhé #larocheposay #larocheposayvn #LRP50 #larocheposaypartner #luongdo #skincare ",2025-04-12 18:35:21,12/04/2025,True,https://www.tiktok.com/@im.lukedo,She Share Story (for Vlog),6722656094272883458,https://www.tiktok.com/@im.lukedo/video/7492388838950620424,56,1701,127,475400,111,141,"larocheposay, larocheposayvn, lrp50, larocheposaypartner, luongdo, skincare",False,True,im.lukedo,False,False,True,0,6,29,0,0,0,1,0,1
Mùa hè lại tới #luongdo ,2025-04-10 12:42:53,10/04/2025,False,https://www.tiktok.com/@im.lukedo,suara asli - superland_cikampek,7467492878081231633,https://www.tiktok.com/@im.lukedo/video/7491555834678234376,20,645,8,49000,21,25,luongdo,False,False,im.lukedo,False,False,False,0,1,4,0,0,1,0,0,0
Lý do tại sao mà bôi kcn nào cũng vẫn bị lên mụn #luongdo #skincare ,2025-04-04 13:42:41,04/04/2025,False,https://www.tiktok.com/@im.lukedo,Cute,7136445672693172225,https://www.tiktok.com/@im.lukedo/video/7489344701569502469,84,22400,802,693900,3004,410,"luongdo, skincare",False,False,im.lukedo,False,False,False,0,2,13,0,0,1,0,0,0
Rất xin lỗi mọi người do thông tin nhầm lẫn từ nhãn hàng nên clip trước mình đã đưa sai hình quà tặng. Ngay khi đọc được cmt phản ánh sai mình đã ngay lập tức kiểm tra lại với nhãn hàng. Phần quà sẽ không phải full size mà là minisize. Loreal và mình sẽ tài trợ thêm quà trong video này đặc biệt gửi tới những bạn đã tới sự kiện thông qua video của mình. Mình sẽ làm lại quy trình làm việc để lỗi sai này không lặp lại trong tương lai làm ảnh hưởng tới trải nghiệm của mọi người.  #amazingsunrace #chongnachvachdo #lorealparis ,2025-03-30 16:05:23,30/03/2025,True,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7487526089296808710,https://www.tiktok.com/@im.lukedo/video/7487526080270568709,55,990,54,180300,43,112,"amazingsunrace, chongnachvachdo, lorealparis",False,True,im.lukedo,False,False,False,0,3,105,0,0,1,0,0,1
Đi Vạn Hạnh Mall nhớ lấy quà nha mn  #diveintorriden #torridenvn #popup #luongdo #skincare ,2025-03-29 11:48:12,29/03/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7487088722032659205,https://www.tiktok.com/@im.lukedo/video/7487088701365882118,50,12900,5641,480200,953,954,"diveintorriden, torridenvn, popup, luongdo, skincare",False,True,im.lukedo,False,False,False,0,5,9,0,1,0,0,0,1
Mình cũng là nạn nhân #luongdo ,2025-03-27 19:52:51,27/03/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7486471523546286849,https://www.tiktok.com/@im.lukedo/video/7486471454557523218,51,21200,1019,419500,825,337,luongdo,False,False,im.lukedo,False,False,False,0,1,5,0,0,0,1,0,0
Sự kiện ra mắt Kem phấn dưỡng da Curél #fyp #skincare #chamsocda #KemPhanCurel #Kemphanduongda #Kemduong #CeramideCarePowder,2025-03-26 22:03:58,26/03/2025,True,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7486134295073950480,https://www.tiktok.com/@im.lukedo/video/7486134148634119431,55,5503,44,337000,162,101,"fyp, skincare, chamsocda, kemphancurel, kemphanduongda, kemduong, ceramidecarepowder",False,True,im.lukedo,False,False,False,0,7,9,0,0,0,0,1,0
