text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
,2025-06-13 18:48:06,13/06/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - 🫧Siu đẹp gái🫧,7462987132157184784,https://www.tiktok.com/@jjhahehi/video/7515399411300666632,15,1406,1,9648,28,40,,False,False,jjhahehi,False,False,False,0,0,0,0,0,0,1,0,0
🎠,2025-06-12 18:20:21,12/06/2025,False,https://www.tiktok.com/@jjhahehi,sonido original,7284473472046746373,https://www.tiktok.com/@jjhahehi/video/7515021179954990343,17,10200,121,95700,227,74,,False,False,jjhahehi,False,False,False,1,0,0,0,0,0,1,0,0
Mê chiếc trend này,2025-06-11 18:10:05,11/06/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Quất Tử 橘子,7512842351078542096,https://www.tiktok.com/@jjhahehi/video/7514647450657754376,8,259500,4512,2800000,8513,816,,False,False,jjhahehi,False,False,False,0,0,4,0,0,0,1,0,0
,2025-06-10 09:21:52,10/06/2025,False,https://www.tiktok.com/@jjhahehi,Tuấn music,7358677003488201473,https://www.tiktok.com/@jjhahehi/video/7514140226831371527,20,8059,47,125100,206,58,,False,False,jjhahehi,False,False,False,0,0,0,0,1,0,0,0,0
Khối nghỉ hè,2025-06-09 16:46:22,09/06/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - nhatdz,7435494822603311873,https://www.tiktok.com/@jjhahehi/video/7513883694407404807,14,296600,18900,3700000,14900,1440,,False,False,jjhahehi,False,False,True,0,0,3,0,0,1,0,0,0
,2025-06-07 18:17:50,07/06/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Tama,7513165140422953745,https://www.tiktok.com/@jjhahehi/video/7513165101034196231,19,3395,16,81400,66,25,,False,False,jjhahehi,False,False,False,0,0,0,0,0,0,1,0,1
Tắm nắng ☀️,2025-06-05 11:50:55,05/06/2025,False,https://www.tiktok.com/@jjhahehi,original sound,7399755528731233066,https://www.tiktok.com/@jjhahehi/video/7512323206485789960,14,35300,2603,526700,3039,150,,False,False,jjhahehi,False,False,False,1,0,3,0,1,0,0,0,0
Lục đục tại một gia đình nọ,2025-06-04 15:42:14,04/06/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Nguyễn Văn Giàu ,7022573187170978586,https://www.tiktok.com/@jjhahehi/video/7512011742713597202,14,20600,723,235200,806,139,,False,False,jjhahehi,False,False,False,0,0,7,0,0,1,0,0,0
Haha,2025-06-03 22:02:05,03/06/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Yubisaki,7167896871627754267,https://www.tiktok.com/@jjhahehi/video/7511738547792121096,17,6194,44,89400,231,77,,False,False,jjhahehi,False,False,False,0,0,1,0,0,0,0,1,0
,2025-06-02 11:11:18,02/06/2025,False,https://www.tiktok.com/@jjhahehi,original sound - Mai Vân Trang,7320671767000419074,https://www.tiktok.com/@jjhahehi/video/7511199752327892232,26,2432,9,63400,64,30,,False,False,jjhahehi,False,False,False,0,0,0,0,1,0,0,0,0
