text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
"Nhà nuôi tận 2 bé mèo nhưng mà giờ chúng nó lớn hết rồi nên tui phải mua thêm 1 cái chuồng mèo để lắp thêm vào nè. Cái chuồng này bạn có thể mua và lắp ghép lại với nhau rất dễ dàng lun. Đã thế chủ shop còn kèm mấy cái đồ đi kèm cho tui nên là tiện cực kỳ lun. Bạn nào mà mình đang tìm chuồng cho hoàng thượng thì nên thử em này nha, giá vừa túi tiền mà chất lượng ok phết #lepthelittlekid #dichlep #tiktokmentor #learnontiktok #chuongmeo #chuonglapghep #tulapghep #cat #chomeo #thucung #pet #chuongcho #chuongchomeo #animal #cuteanimals ",2025-06-13 17:39:18,13/06/2025,False,https://www.tiktok.com/@lepthelittlekid,nhạc nền - Lép The Little Kid,7515381760633801489,https://www.tiktok.com/@lepthelittlekid/video/7515381684129352968,59,22,0,685,1,0,"lepthelittlekid, dichlep, tiktokmentor, learnontiktok, chuongmeo, chuonglapghep, tulapghep, cat, chomeo, thucung, pet, chuongcho, chuongchomeo, animal, cuteanimals",False,False,lepthelittlekid,False,False,False,0,15,89,0,0,1,0,0,0
"Có bạn nào từng thắc mắc là nếu AI vượt qua trí thông minh con người, thế giới sẽ ra sao hong nhỉ? Nếu có thì mình nghĩ cuốn Life 3.0 này sẽ cho bạn cái nhìn toàn diện và đầy bất ngờ về tương lai đó á. Không chỉ là sách công nghệ khô khan mà tác giả còn kể câu chuyện hấp dẫn về nhóm khoa học Omega và AI Prometheus. Từ đó đặt ra những câu hỏi nhức nhói và gợi mở cách định hình tương lai AI theo hướng tích cực. Cuốn này dành cho bất cứ ai đang sống trong thời đại số này, bạn nào thấy thích thì mình tham khảo nhen #lepthelittlekid #dichlep #tiktokmentor #learnontiktok #alphabooks #life #artificelintelligence #booktok #sachhay #AI #congnghe #doisong #digital ",2025-06-13 14:45:27,13/06/2025,True,https://www.tiktok.com/@lepthelittlekid,nhạc nền - Lép The Little Kid,7515336941530581761,https://www.tiktok.com/@lepthelittlekid/video/7515336882545249544,82,41,1,9458,11,1,"lepthelittlekid, dichlep, tiktokmentor, learnontiktok, alphabooks, life, artificelintelligence, booktok, sachhay, ai, congnghe, doisong, digital",False,False,lepthelittlekid,False,False,False,0,13,118,0,0,1,0,0,0
"Có bạn nào ở đây mình đang tìm cân hong? Nếu có thì giới thiệu 1 em cân quốc dân giá ổn trong khoảng 4xx nè. Em Ajido này có 1 cái design rất là sang, đo được chỉ số cân nặng rất chuẩn mà còn có app để lưu lịch sử và tracking data mỗi lần đo nữa ấy. Ngoài đo được thêm chỉ số BMI thì mình thấy em này đo mấy chỉ số khác chưa ổn lắm nên là bạn nào có ít nhu cầu thì mình sắm em này là okie rùi nha #lepthelittlekid #dichlep #tiktokmentor #LearnOnTikTok #reviewcanajido #reviewcansuckhoe #ajido #canajido #suckhoe #canthongminh #healthy #bmi ",2025-06-13 11:40:48,13/06/2025,True,https://www.tiktok.com/@lepthelittlekid,nhạc nền - Lép The Little Kid,7515289369184307985,https://www.tiktok.com/@lepthelittlekid/video/7515289294601227528,95,57,1,2313,7,1,"lepthelittlekid, dichlep, tiktokmentor, learnontiktok, reviewcanajido, reviewcansuckhoe, ajido, canajido, suckhoe, canthongminh, healthy, bmi",False,False,lepthelittlekid,False,False,False,0,12,97,0,1,0,0,0,0
Có bạn nam nào đang phân vân giữa 3 phiên bản Versace Eros không? Nếu có thì ngồi xem tui kể một vài thông tin thú vị về 3 anh em nhà này cho các bạn dễ phân biệt để mua nhé #lepthelittlekid #dichlep #tiktokmentor #LearnOnTikTok #blancperfume #blancperfumevn #nuochoablanc #perfumetiktok #perfumetok #perfumes #versace #versaceeros #eaudetoilette #eaudeparfum #parfum #edp #edt #namtinh #manhme #tiectung ,2025-06-12 23:17:34,12/06/2025,True,https://www.tiktok.com/@lepthelittlekid,nhạc nền - Lép The Little Kid,7515097853010660113,https://www.tiktok.com/@lepthelittlekid/video/7515097766691966226,70,42,1,2282,5,1,"lepthelittlekid, dichlep, tiktokmentor, learnontiktok, blancperfume, blancperfumevn, nuochoablanc, perfumetiktok, perfumetok, perfumes, versace, versaceeros, eaudetoilette, eaudeparfum, parfum, edp, edt, namtinh, manhme, tiectung",False,False,lepthelittlekid,False,False,False,0,20,42,0,0,0,0,1,0
"Gửi đến những bạn đang vật lộn với những ngày u ám một cuốn sách đầu tay của cô bé Opheliav này nha. “Cảm ơn bạn vì đã sống tiếp” là một quyển sách mình thấy rất phù hợp nếu bạn đang gặp phải vấn đề tâm lý. Mỗi trang sách sẽ là một cái ôm, một lời động viên các bạn đã cố gắng, một cách nhìn nhận rõ ràng hơn cho những trái tim thầm lặng #lepthelittlekid #dichlep #tiktokmentor #LearnOnTikTok #skybooks #opheliav #camonbanvidasongtiep #booktok #sachhay ",2025-06-10 17:09:47,10/06/2025,True,https://www.tiktok.com/@lepthelittlekid,nhạc nền - Lép The Little Kid,7514260890704366337,https://www.tiktok.com/@lepthelittlekid/video/7514260811980868872,99,239,8,13600,52,6,"lepthelittlekid, dichlep, tiktokmentor, learnontiktok, skybooks, opheliav, camonbanvidasongtiep, booktok, sachhay",False,False,lepthelittlekid,False,False,False,0,9,78,0,0,1,0,0,0
"Tui mới tậu em máy hút bụi giường nệm siêu xịn xò này nè mọi người ơi. Công năng của em này là vừa hút bụi, vừa diệt khuẩn bằng đèn UV, và còn sấy ấm luôn chăn gối nữa chứ. Từ ngày có nó là tui siêng hút bụi nệm và giường các thứ hơn hẳn, thấy giường cũng sạch nên yên tâm hẳn. Bạn nào mà hay bị hắt hơi hoặc có vấn đề gì liên quan đến sức khoẻ thì cũng nên cân nhắc em này nha, tiện lắm á #lepthelittlekid #dichlep #tiktokmentor #LearnOnTikTok #DeermaVietnam #HutbuigiuongnemDeerma #CM980",2025-06-08 15:04:08,08/06/2025,True,https://www.tiktok.com/@lepthelittlekid,nhạc nền - Lép The Little Kid,7513486362285804289,https://www.tiktok.com/@lepthelittlekid/video/7513486261240335634,139,87,3,22500,12,6,"lepthelittlekid, dichlep, tiktokmentor, learnontiktok, deermavietnam, hutbuigiuongnemdeerma, cm980",False,False,lepthelittlekid,False,False,False,0,7,93,0,0,1,0,0,1
"Mùa hè du lịch đến rồi nè mọi người ơi, ở đây có bạn nào mình hay phân vân là không biết nên vua loại vali nào và size bao nhiêu thì nên xem clip này của tui nha. Đây là em vali khung nhôm 9066 của nhà Bamozo, có 2 phân khúc bản thường và bản nâng cấp cùng với 2 size 20 và 24. Mọi người cùng xem qua review nếu thấy hợp thì chốt nghen, nay ngày camp nên giá tốt lắm phải tranh thủ nè #lepthelittlekid #dichlep #tiktokmentor #LearnOnTikTok #valibamozo #validulich #bamozo #validulichgiare #valiviet #dulich #reviewvali #valikhungnhom",2025-06-06 21:33:08,06/06/2025,True,https://www.tiktok.com/@lepthelittlekid,nhạc nền - Lép The Little Kid,7512844445902048001,https://www.tiktok.com/@lepthelittlekid/video/7512844347956661522,168,133,13,14500,19,11,"lepthelittlekid, dichlep, tiktokmentor, learnontiktok, valibamozo, validulich, bamozo, validulichgiare, valiviet, dulich, reviewvali, valikhungnhom",False,False,lepthelittlekid,False,False,True,0,12,89,0,0,0,1,0,0
"Tiếp tục giới thiệu tiếp cho các bạn nào mà mình muốn săn deal ngon của nhà Moaw Moaws ngày camp nha. Mua 1 chai Body Oil được 2 món là Scrub tẩy body và cả nước hoa mini luôn, mà giá chỉ ngang ngửa khi bạn mua 1 chai dầu dưỡng lẻ thôi á. Công dụng của Body Oil thì khỏi bàn rùi ha, vừa giúp dưỡng ẩm mà còn hỗ trợ dưỡng sáng nữa. Bạn nào mà mình đang có nhu cầu thì bấm vào link tui để nè, giá tốt lắm á #lepthelittlekid #dichlep #tiktokmentor #LearnOnTikTok #moawmoaws #moawmoawsvietnam #bodyoil #scrub #taytebaochet #perfume #nuochoa #dauduong #huongdansandeal #lamdep #tiplamdep #goclamdep #dealhot ",2025-06-06 20:08:59,06/06/2025,True,https://www.tiktok.com/@lepthelittlekid,nhạc nền - Lép The Little Kid,7512822715033242384,https://www.tiktok.com/@lepthelittlekid/video/7512822662377295112,51,35,1,10700,7,9,"lepthelittlekid, dichlep, tiktokmentor, learnontiktok, moawmoaws, moawmoawsvietnam, bodyoil, scrub, taytebaochet, perfume, nuochoa, dauduong, huongdansandeal, lamdep, tiplamdep, goclamdep, dealhot",False,False,lepthelittlekid,False,False,False,0,17,95,0,0,0,1,0,0
"Mùa du lịch đến rồi mấy bạn ơi, tiện hôm nay ngày camp nên là tui tranh thủ giới thiệu em Larita Rena của nhà MIA nè. Em này được mệnh danh một trong những chiến thần bền bỉ nhất của MIA, bất chấp giẫm đạp quăng ném các kiểu luôn mà vẫn không hư. Nhờ vào chất liệu nhựa PP đàn hồi cực cao nên em này mới bền như vậy đó, bạn nào mình đang có nhu cầu thì tranh thủ săn nhen, deal hời lắm á #lepthelittlekid #dichlep #tiktokmentor #LearnOnTikTok #miavn #vali #laritarena #larita #mia #valimia #validulich",2025-06-06 17:04:20,06/06/2025,True,https://www.tiktok.com/@lepthelittlekid,nhạc nền - Lép The Little Kid,7512775184869313296,https://www.tiktok.com/@lepthelittlekid/video/7512775071803411720,141,33,4,6571,9,8,"lepthelittlekid, dichlep, tiktokmentor, LearnOnTikTok, miavn, vali, laritarena, larita, mia, valimia, validulich",False,False,lepthelittlekid,False,False,False,0,11,89,0,0,1,0,0,0
"Hôm nay là ngày camp nên tui phải lên lại clip để nhắc cho các bạn nhớ là phải ấn mua 3 món theo hướng dẫn của tui bao gồm Body Oil, Body Scrub và Perfume của nhà Moaw Moaws để được giá siêu tốt nha. Sau khi thêm vào giỏ hàng như tui thì giá sẽ được như khi mua lẻ 1 chai nha. Bạn nào săn được thì comment bên dưới cho tui nắm với nè #lepthelittlekid #dichlep #tiktokmentor #LearnOnTikTok #moawmoaws #moawmoawsvietnam #bodyoil #scrub #taytebaochet #perfume #nuochoa #dauduong #huongdansandeal #lamdep #tiplamdep #goclamdep",2025-06-06 13:55:13,06/06/2025,True,https://www.tiktok.com/@lepthelittlekid,nhạc nền - Lép The Little Kid,7512726529550387985,https://www.tiktok.com/@lepthelittlekid/video/7512726344275365127,62,38,0,8087,8,7,"lepthelittlekid, dichlep, tiktokmentor, learnontiktok, moawmoaws, moawmoawsvietnam, bodyoil, scrub, taytebaochet, perfume, nuochoa, dauduong, huongdansandeal, lamdep, tiplamdep, goclamdep",False,False,lepthelittlekid,False,False,False,0,16,78,0,0,1,0,0,0
