text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Đầu bếp cho gì ăn nấy 🫨 #lethikhanhhuyen #yuzuomakase #omakase ,2025-06-11 20:09:10,11/06/2025,False,https://www.tiktok.com/@lethikhanhhuyen2004,nhạc nền - Lê Thị Khánh Huyền,7514678197025737473,https://www.tiktok.com/@lethikhanhhuyen2004/video/7514678130242489608,147,186200,5246,2500000,3271,324,"lethikhanhhuyen, yuzuomakase, omakase",False,False,lethikhanhhuyen2004,False,False,False,1,3,6,0,0,0,1,0,0
Mukbang kẹo dẻo mới mua cho ẻm 💕 @Sam Sam #lethikhanhhuyen #baoanhsam ,2025-06-10 17:32:03,10/06/2025,False,https://www.tiktok.com/@lethikhanhhuyen2004,nhạc nền - Lê Thị Khánh Huyền,7514266602754329361,https://www.tiktok.com/@lethikhanhhuyen2004/video/7514266552267590920,54,142600,4359,2000000,922,241,", lethikhanhhuyen, baoanhsam",False,False,lethikhanhhuyen2004,False,False,False,1,2,9,0,0,1,0,0,0
Cùng Huyền chọn màu son đi hẹn hò nháa 🤎 #lethikhanhuyen ,2025-06-09 20:43:30,09/06/2025,False,https://www.tiktok.com/@lethikhanhhuyen2004,nhạc nền - Lê Thị Khánh Huyền,7513944844751293201,https://www.tiktok.com/@lethikhanhhuyen2004/video/7513944810105867527,93,129900,956,2500000,2779,351,lethikhanhuyen,False,False,lethikhanhhuyen2004,False,False,False,1,1,9,0,0,0,1,0,0
Grwm chở em Sam đi học cùng Huyền nha 💛 #lethikhanhhuyen #skincare #dalbavn ,2025-06-05 19:14:19,05/06/2025,False,https://www.tiktok.com/@lethikhanhhuyen2004,Comfort Lounge,7376181351689881650,https://www.tiktok.com/@lethikhanhhuyen2004/video/7512437484299570440,86,80600,782,1200000,1912,146,"lethikhanhhuyen, skincare, dalbavn",False,False,lethikhanhhuyen2004,False,False,False,1,3,9,0,0,0,1,0,0
"Unbox túi make up @ETOILE US 
#lethikhanhhuyen #MakeupBag
#WhatsInMyBag
#MakeupEssentials
#BeautyBag
#MakeupLover",2025-06-02 18:02:53,02/06/2025,False,https://www.tiktok.com/@lethikhanhhuyen2004,nhạc nền - Lê Thị Khánh Huyền,7511305850343607056,https://www.tiktok.com/@lethikhanhhuyen2004/video/7511305816159292679,39,30500,1511,622600,1237,102,", lethikhanhhuyen, MakeupBag, WhatsInMyBag, MakeupEssentials, BeautyBag, MakeupLover",False,False,lethikhanhhuyen2004,False,False,False,0,6,6,0,0,0,1,0,0
Làm spa tại gia cho chồng 🤭 #lethikhanhhuyen #skincareroutine #caryophy ,2025-06-01 20:16:50,01/06/2025,False,https://www.tiktok.com/@lethikhanhhuyen2004,"Relax, calm, chill out / loop(1283612)",7133323097477744641,https://www.tiktok.com/@lethikhanhhuyen2004/video/7510969255068781832,130,237900,5419,3500000,4545,399,"lethikhanhhuyen, skincareroutine, caryophy",False,False,lethikhanhhuyen2004,False,False,False,1,3,6,0,0,0,1,0,1
Đúng rồi trường song ngữ thì phải song song Tiếng Việt nữa là đúng rồi 😆@Sam Sam #lethikhanhhuyen #baoanhsam,2025-05-30 20:53:17,30/05/2025,False,https://www.tiktok.com/@lethikhanhhuyen2004,Funny lazy donkey (hilarious song)(937200),6906958480403105793,https://www.tiktok.com/@lethikhanhhuyen2004/video/7510236478337715463,95,577400,53900,8800000,8152,3193,", lethikhanhhuyen, baoanhsam",False,False,lethikhanhhuyen2004,False,False,False,1,2,17,0,0,0,1,0,0
Học đánh cuối sân khó quá mọi người 🥹        #lethikhanhhuyen #tennis #KiehlsPartner,2025-05-29 18:49:39,29/05/2025,False,https://www.tiktok.com/@lethikhanhhuyen2004,Beautiful Background7662,7378289560662509580,https://www.tiktok.com/@lethikhanhhuyen2004/video/7509833533981003015,96,45600,258,1000000,652,133,"lethikhanhhuyen, tennis, kiehlspartner",False,False,lethikhanhhuyen2004,False,False,False,1,3,8,0,0,0,1,0,0
#lethikhanhhuyen ,2025-05-27 18:20:47,27/05/2025,False,https://www.tiktok.com/@lethikhanhhuyen2004,Originalton,7372017228440488736,https://www.tiktok.com/@lethikhanhhuyen2004/video/7509083919132691730,9,33300,361,544900,787,57,lethikhanhhuyen,False,False,lethikhanhhuyen2004,False,False,False,0,1,0,0,0,0,1,0,0
Skincare cùng với @Diorbeauty 🤍#lethikhanhhuyen #diorbeauty ,2025-05-25 18:49:13,25/05/2025,False,https://www.tiktok.com/@lethikhanhhuyen2004,escapism by raye,7195511642566478619,https://www.tiktok.com/@lethikhanhhuyen2004/video/7508349081882725640,31,34900,626,782900,513,91,", lethikhanhhuyen, diorbeauty",False,False,lethikhanhhuyen2004,False,False,False,1,2,4,0,0,0,1,0,1
