text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
đừng để toai phải makeup,2025-06-10 18:46:55,10/06/2025,False,https://www.tiktok.com/@linhtruong.ld,오리지널 사운드 - 메론에이드 - 자작곡 업로드,7314665459394054913,https://www.tiktok.com/@linhtruong.ld/video/7514285850570591496,15,11500,272,159200,358,109,,False,False,linhtruong.ld,False,False,False,0,0,5,0,0,0,1,0,0
"i love monday, cuz iu lómm",2025-06-09 11:50:49,09/06/2025,False,https://www.tiktok.com/@linhtruong.ld,Under the influence Chrisbees cover,7137266814815357701,https://www.tiktok.com/@linhtruong.ld/video/7513807538068966674,0,7202,209,141100,253,88,,True,False,linhtruong.ld,False,False,False,0,0,6,0,1,0,0,0,0
nhớ chưa các zợ,2025-06-07 18:53:34,07/06/2025,False,https://www.tiktok.com/@linhtruong.ld,Gladdest Done with your ex,7485956774128093958,https://www.tiktok.com/@linhtruong.ld/video/7513174310408719634,15,46300,1010,580600,1412,258,,False,False,linhtruong.ld,False,False,False,0,0,4,0,0,0,1,0,1
young dumb,2025-06-05 12:40:10,05/06/2025,False,https://www.tiktok.com/@linhtruong.ld,som original,7384928440942021382,https://www.tiktok.com/@linhtruong.ld/video/7512335917219056914,37,23100,722,364500,623,151,,False,False,linhtruong.ld,False,False,False,0,0,2,0,0,1,0,0,0
take it 🤩🤩🤩,2025-06-02 21:51:06,02/06/2025,False,https://www.tiktok.com/@linhtruong.ld,Pop It Off,7457759029362198545,https://www.tiktok.com/@linhtruong.ld/video/7511364635073727762,29,9353,205,318500,395,129,,False,False,linhtruong.ld,False,False,False,1,0,2,0,0,0,1,0,0
,2025-06-01 18:27:40,01/06/2025,False,https://www.tiktok.com/@linhtruong.ld,original sound,7508767393025084177,https://www.tiktok.com/@linhtruong.ld/video/7510941123112848648,22,8418,235,273800,228,61,,False,False,linhtruong.ld,False,False,False,0,0,0,0,0,0,1,0,1
Mô tả mùa hè của tôi ,2025-05-30 19:14:13,30/05/2025,False,https://www.tiktok.com/@linhtruong.ld,When I'm With You (feat. Tyla),7475511760829548545,https://www.tiktok.com/@linhtruong.ld/video/7510210947143781650,29,9456,287,252200,257,98,,False,False,linhtruong.ld,False,False,False,0,0,6,0,0,0,1,0,0
có thể rất là xàm xí,2025-05-26 17:45:54,26/05/2025,False,https://www.tiktok.com/@linhtruong.ld,nhạc nền - K.Huyền,7464239827395889921,https://www.tiktok.com/@linhtruong.ld/video/7508703848593132808,0,22600,999,492900,724,200,,True,False,linhtruong.ld,False,False,False,0,0,6,0,0,1,0,0,0
Tín hiệu vụ trụ party với bạn thân 😙,2025-05-24 19:08:54,24/05/2025,False,https://www.tiktok.com/@linhtruong.ld,escapism by raye,7195511642566478619,https://www.tiktok.com/@linhtruong.ld/video/7507983066699255058,25,13200,411,318600,438,130,,False,False,linhtruong.ld,False,False,False,1,0,8,0,0,0,1,0,1
skincare routine vào buổi sáng của Linh ,2025-05-20 19:04:12,20/05/2025,False,https://www.tiktok.com/@linhtruong.ld,Daylight by Taylor Swift sped up,7120352101695310635,https://www.tiktok.com/@linhtruong.ld/video/7506497504834325767,118,12800,317,346400,680,121,,False,False,linhtruong.ld,False,False,False,0,0,7,0,0,0,1,0,0
"cái gì xin được mình cứ xin 😆
#linhtruongskincare #skincare ",2025-05-19 20:14:55,19/05/2025,False,https://www.tiktok.com/@linhtruong.ld,nhạc nền - Linhtruong.ld,7506144808981875457,https://www.tiktok.com/@linhtruong.ld/video/7506144657118743816,142,1124,14,118000,50,30,"linhtruongskincare, skincare",False,False,linhtruong.ld,False,False,False,1,2,7,0,0,0,1,0,0
"Nắm giữ thời gian của bạn và ngắm nhìn con đường của chính mình
#linhtruong ",2025-05-18 17:04:40,18/05/2025,False,https://www.tiktok.com/@linhtruong.ld,nhạc nền - 𝑭𝒂𝒍𝒍 𝑰𝒏 𝑳𝒖𝒗,7284997358906739458,https://www.tiktok.com/@linhtruong.ld/video/7505724538089475336,29,3473,88,133000,136,67,linhtruong,False,False,linhtruong.ld,False,False,False,0,1,14,0,0,1,0,0,1
thật là biểu cảm,2025-05-17 18:03:34,17/05/2025,False,https://www.tiktok.com/@linhtruong.ld,No Way,7340356619318594337,https://www.tiktok.com/@linhtruong.ld/video/7505368636954086664,0,4261,124,126000,178,43,,True,False,linhtruong.ld,False,False,False,0,0,4,0,0,0,1,0,1
well,2025-05-16 18:26:21,16/05/2025,False,https://www.tiktok.com/@linhtruong.ld,escapism by raye,7195511642566478619,https://www.tiktok.com/@linhtruong.ld/video/7505003424472288519,28,3371,51,127100,73,42,,False,False,linhtruong.ld,False,False,False,0,0,1,0,0,0,1,0,0
