text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Makeup 5’ bằng kcn mà đẹp cỡ đó 🧏🏻‍♀️ #thuchienne #fyp #makeup #tocobo #VitaToneUp #KCNtoneup,2025-06-14 13:07:33,14/06/2025,False,https://www.tiktok.com/@luongthuchien6868,Fix Me,6872335461465982978,https://www.tiktok.com/@luongthuchien6868/video/7515682735269186823,53,571,13,17700,90,19,"thuchienne, fyp, makeup, tocobo, vitatoneup, kcntoneup",False,False,luongthuchien6868,False,False,False,2,6,9,0,0,1,0,0,1
Tầm này chưa có son màu Mocha là một thiếu sót 😌 #thuchienne #fyp #makeup #entropyvietnam #charmtintentropy,2025-06-13 20:51:52,13/06/2025,False,https://www.tiktok.com/@luongthuchien6868,nhạc nền - Tizh 🎶,7504267579772455681,https://www.tiktok.com/@luongthuchien6868/video/7515431307175038226,55,242,25,8906,50,7,"thuchienne, fyp, makeup, entropyvietnam, charmtintentropy",False,False,luongthuchien6868,False,False,False,1,5,11,0,0,0,1,0,0
Combo son vừa bóng vừa lì 💁🏻‍♀️ #thuchienne #fyp #makeup  #3CEVN #3andChịEm #3CEPartner,2025-06-12 13:27:00,12/06/2025,False,https://www.tiktok.com/@luongthuchien6868,LUNCH,7369368914393925648,https://www.tiktok.com/@luongthuchien6868/video/7514945575544966418,28,462,15,17200,105,13,"thuchienne, fyp, makeup, 3cevn, 3andchịem, 3cepartner",False,False,luongthuchien6868,False,False,False,2,6,7,0,0,1,0,0,0
Dành cho team sâu róm nè 💁🏻‍♀️ #thuchienne #fyp #makeup #makeup #mascarachanmay #rocksweet ,2025-06-11 13:17:18,11/06/2025,False,https://www.tiktok.com/@luongthuchien6868,nhạc nền - Thục Hiền nè 🤍,7514572024263510801,https://www.tiktok.com/@luongthuchien6868/video/7514571991408479506,47,165,10,16600,53,7,"thuchienne, fyp, makeup, makeup, mascarachanmay, rocksweet",False,True,luongthuchien6868,False,False,False,2,6,7,0,0,1,0,0,0
+1 KCN dùng trước makeup không bị vón kem nền 🧏🏻‍♀️ #thuchienne #fyp #makeup #skincare #chongnang ,2025-06-10 12:10:55,10/06/2025,True,https://www.tiktok.com/@luongthuchien6868,Every night (inst),6870958983394363394,https://www.tiktok.com/@luongthuchien6868/video/7514183797785595144,54,1073,74,30800,94,30,"thuchienne, fyp, makeup, skincare, chongnang",False,False,luongthuchien6868,False,False,False,2,5,11,0,0,1,0,0,0
Video dành cho ai muốn đi biển nhưng kb makeup 💁🏻‍♀️ #thuchienne #fyp #makeup #dibien ,2025-06-09 12:23:59,09/06/2025,False,https://www.tiktok.com/@luongthuchien6868,party 4 u,7179117961804843781,https://www.tiktok.com/@luongthuchien6868/video/7513816075847339271,160,11400,939,158900,3954,69,"thuchienne, fyp, makeup, dibien",False,False,luongthuchien6868,False,False,False,2,4,11,0,0,1,0,0,0
Má hồng da ngăm da trắng cân được hết lun 🥺 #thuchienne #fyp #makeup #dearmay #dearmayvn #lostribboncheekbalm #mahong #mahongkem ,2025-06-08 13:36:54,08/06/2025,True,https://www.tiktok.com/@luongthuchien6868,Shake It To The Max (FLY) (Remix),7468711641658525713,https://www.tiktok.com/@luongthuchien6868/video/7513463788897668360,33,1304,63,106800,285,29,"thuchienne, fyp, makeup, dearmay, dearmayvn, lostribboncheekbalm, mahong, mahongkem",False,False,luongthuchien6868,False,False,False,1,8,10,0,0,1,0,0,1
Son bạn đẹp hơn son mình và.. 🤡#thuchienne #fyp #makeup #a#athevnathe,2025-06-07 20:28:44,07/06/2025,True,https://www.tiktok.com/@luongthuchien6868,Want You All The Time,7352337138731600682,https://www.tiktok.com/@luongthuchien6868/video/7513198834495851783,33,1064,11,68500,95,12,"thuchienne, fyp, makeup, athevn",False,False,luongthuchien6868,False,False,False,1,5,7,0,0,0,1,0,1
Serum lười cho mấy bà nè 🧏🏻‍♀️ #thuchienne #fyp #skincare #embryolisse #serumha #CoEmbLaEm #duongam,2025-06-06 21:15:56,06/06/2025,True,https://www.tiktok.com/@luongthuchien6868,オリジナル楽曲 - 龍神Japan🐉🐲🇯🇵❤️男子バレーボール日本代表,7223815741546449665,https://www.tiktok.com/@luongthuchien6868/video/7512839906603977991,49,74,0,6234,10,1,"thuchienne, fyp, skincare, embryolisse, serumha, coemblaem, duongam",False,False,luongthuchien6868,False,False,False,2,7,7,0,0,0,1,0,0
Khi cuộc đời cho bạn thỏi son và má hồng 🧏🏻‍♀️ #thuchienne #fyp #makeup #sugarplum #ofelia ,2025-06-05 13:43:38,05/06/2025,False,https://www.tiktok.com/@luongthuchien6868,오리지널 사운드 - Jun S,7494965344784681729,https://www.tiktok.com/@luongthuchien6868/video/7512352271347240199,55,409,3,15500,37,16,"thuchienne, fyp, makeup, sugarplum, ofelia",False,False,luongthuchien6868,False,False,False,2,5,11,0,0,1,0,0,0
