text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Phần 2 kcn tốt mà e Trinh đánh giá cao. 1 cái vid đăng lại 3 lần. 🥲 #kemchongnang #maitrinh #kemchongnangnangtone ,2025-06-13 10:03:55,13/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7515264360420248321,https://www.tiktok.com/@mai.trinh.h/video/7515264324139633927,128,52,0,1509,3,3,"kemchongnang, maitrinh, kemchongnangnangtone",False,False,mai.trinh.h,False,False,False,1,3,17,0,1,0,0,0,0
"Part 1: Top Kem chống nắng nâng tone bảo vệ tốt hot bằng thực lực ! Tất nhiên ko có cái nào là ko có nhược điểm nhưng mình sẽ cân đối trên hệ quy chiếu chung là kcn trước tiên phải bảo vệ và bám tốt, sau đó là finish và cuối cùng là trải nghiệm thực sự thoải mái trên da#maitrinh #kemchongnang #kemchongnangtot #kemchongnang #larocheposay #hyaestic #heliocare360 #laraitrinh #kemchongnang #kemchongnangnangtone #kemchongnangtot",2025-06-12 20:33:56,12/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7515055673370364689,https://www.tiktok.com/@mai.trinh.h/video/7515055605686537479,240,410,15,14400,65,56,"maitrinh, kemchongnang, kemchongnangtot, kemchongnang, larocheposay, hyaestic, heliocare360, lar, kemchongnang, kemchongnangnangtone, kemchongnangtot",False,False,mai.trinh.h,False,False,False,0,11,63,0,0,0,1,0,0
Cũng được. Kiểu mỏng nhẹ tự nhiên nên k thể đòi hỏi che phủ nha. Hợp da đẹp ít dầu và k quá trắng ạ #maitrinh #kemnen #loreal #kemnenserum #infallibletintedserum #lorealparis #lorealparishub #lorealparispartner,2025-06-12 10:33:13,12/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7514900851874351888,https://www.tiktok.com/@mai.trinh.h/video/7514900781582077202,177,257,7,7239,11,9,"maitrinh, kemnen, loreal, kemnenserum, infallibletintedserum, lorealparis, lorealparishub, lorealparispartner",False,False,mai.trinh.h,False,False,False,0,8,25,0,1,0,0,0,0
Lần đầu hoảng vậy luôn. Nó nóng mà đau lên điện thoại không rõ. Slugging e nghe nhiều r nhưng đây là lần đầu tiên e phải áp dụng. Không rcm dùng hàng ngày vì rất dễ bí lên mụn đó ạ nhưng phục hồi thì e ko bàn cãi nữa. Được này mất kia nhé ạ #maitrinh #kichung #retinol #skincare #reviewlamdep #Cicaplast #larocheposaypartner,2025-06-10 18:55:23,10/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7514288211355765521,https://www.tiktok.com/@mai.trinh.h/video/7514288034859240722,148,467,5,13800,27,18,"maitrinh, kichung, retinol, skincare, reviewlamdep, cicaplast, larocheposaypartner",False,False,mai.trinh.h,False,False,False,0,7,57,0,0,0,1,0,0
"LƯU Ý: THANG ĐIỂM DỰA TRÊN HỆ QUY CHIẾU GIÁ THÀNH. Không thể so sánh với các sản phẩm cao cấp hoặc chuyên về xử lý sắc tố nám , tàn nhang #maitrinh #serumtrangda ",2025-06-08 10:22:09,08/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7513413651563383569,https://www.tiktok.com/@mai.trinh.h/video/7513413603601419527,230,2061,59,38300,353,61,"maitrinh, serumtrangda",False,False,mai.trinh.h,False,False,False,0,2,32,0,1,0,0,0,1
"Trả lời @Mai Trinh Hồ HỌC MAKEUP TỪ A-Z : CÁCH ĐÁNH NỀN MỎNG, LÂU TRÔI #maitrinh #hocmakeup #danhnen #danhnenkhongbimoc #danhnendep #beautytips #makeuptips ",2025-06-06 15:43:37,06/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7512754315791731472,https://www.tiktok.com/@mai.trinh.h/video/7512754273944341778,175,523,9,13000,101,13,", maitrinh, hocmakeup, danhnen, danhnenkhongbimoc, danhnendep, beautytips, makeuptips",False,False,mai.trinh.h,False,False,False,0,7,16,0,0,1,0,0,0
TẠI SAO DƯỠNG KỸ NHƯNG KHÔNG TRẮNG ??? #maitrinhho #trangda #serumtrangda #duongtrang #duongnhungkhongtrang  #SKIN1004 #Tonebrightening #Duongsangda,2025-06-06 11:45:37,06/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7512692980927531792,https://www.tiktok.com/@mai.trinh.h/video/7512692946567826706,224,695,6,16400,48,13,"maitrinhho, trangda, serumtrangda, duongtrang, duongnhungkhongtrang, SKIN1004, Tonebrightening, Duongsangda",False,False,mai.trinh.h,False,False,False,0,8,8,0,1,0,0,0,0
Ta nói fomo theo bác sĩ ko bổ ngang cũng bổ dọc nhá. #maitrinhho #muntrungca #kemduongdadaumun ,2025-06-05 19:58:20,05/06/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7512448986045778705,https://www.tiktok.com/@mai.trinh.h/video/7512448835071872274,204,1033,38,31300,259,20,"maitrinhho, muntrungca, kemduongdadaumun",False,False,mai.trinh.h,False,False,False,0,3,13,0,0,0,1,0,0
Lâu lâu thấy được vài món viral bằng thực lực #maitrinhho #glint #2light #cuúhionglint #reviewlamdep #reviewmakeup ,2025-06-04 15:16:49,04/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7512005240137960209,https://www.tiktok.com/@mai.trinh.h/video/7512005195748887815,143,2868,66,59900,451,43,"maitrinhho, glint, 2light, cuúhionglint, reviewlamdep, reviewmakeup",False,False,mai.trinh.h,False,False,False,0,6,10,0,0,1,0,0,0
"Cộng 1 điểm vùng! 
Để nói finish đẹp thì ko hẳn nhưng màng lọc bảo vệ tốt, ổn định và bám tốt hơn hết ko cay mắt và tạo vệt thì bản vuông là lý tưởng #maitrinh #kemchongnang #kemchongnangquansu #kemchongnangdibien ",2025-05-29 15:14:46,29/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7509779116737563409,https://www.tiktok.com/@mai.trinh.h/video/7509778149262232850,142,1929,49,35900,86,68,"maitrinh, kemchongnang, kemchongnangquansu, kemchongnangdibien",False,False,mai.trinh.h,False,False,False,0,4,36,0,0,1,0,0,0
Phần 1. Chấm điểm mask đất sét ! #maitrinh #maskdatset #skincare ,2025-05-28 15:35:16,28/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7509412381856959249,https://www.tiktok.com/@mai.trinh.h/video/7509412353620937992,60,2519,105,49300,322,59,"maitrinh, maskdatset, skincare",False,False,mai.trinh.h,False,False,False,0,3,8,0,0,1,0,0,0
Nó đúng gu tui #maitrinh #studio ,2025-05-27 21:04:49,27/05/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Nhung,7370700585525332753,https://www.tiktok.com/@mai.trinh.h/video/7509126196420971794,22,1598,22,23900,47,23,"maitrinh, studio",False,False,mai.trinh.h,False,False,False,0,2,4,0,0,0,1,0,0
Clip hơi dài nhưng tips thực tế mn có thể áp dụng nhó. Tóc mình ko đẹp nhưng luôn cố để đẹp nhất có thể thôi. #maitrinh #chamsoctoc #haircare #tochuton ,2025-05-27 17:45:05,27/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7509074941329885968,https://www.tiktok.com/@mai.trinh.h/video/7509074728821230855,266,3509,94,377400,576,40,"maitrinh, chamsoctoc, haircare, tochuton",False,False,mai.trinh.h,False,False,False,0,4,26,0,0,1,0,0,0
"Nó mỏng nhẹ thật mọi người ạ. Hợp da ít khuyết điểm và ko quá nhiều dầu nha. Chống nước hay mồ hôi e chỉ đánh giá trên hệ quy chiếu cho da khô hay thường thui vì đa phần có gốc oil nhiều nhưng bạn này ổn áp! #maitrinh #kemnen #kemnenbinhdan 
#BECOMINGVietnam
 #BetterMeChallenge
 ",2025-05-26 19:56:54,26/05/2025,True,https://www.tiktok.com/@mai.trinh.h,original sound - Mai Trinh Hồ,7508737640951859985,https://www.tiktok.com/@mai.trinh.h/video/7508737600283282696,147,2432,101,132000,349,52,"maitrinh, kemnen, kemnenbinhdan, becomingvietnam, bettermechallenge",False,False,mai.trinh.h,False,False,False,0,5,49,0,0,0,1,0,0
Mụn chân tóc ! Vấn đề muôn thuở khi vào hè #maitrinh #munchantoc ##CeraVePartner #cerave #ceravevietnam #chamsocda,2025-05-26 10:29:08,26/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7508591366457264897,https://www.tiktok.com/@mai.trinh.h/video/7508591288858479879,186,280,7,8592,28,7,"maitrinh, munchantoc, ceravepartner, cerave, ceravevietnam, chamsocda",False,False,mai.trinh.h,False,False,True,0,6,12,0,1,0,0,0,0
Í 🤦🏻,2025-05-26 07:51:43,26/05/2025,False,https://www.tiktok.com/@mai.trinh.h,Messy (From F1® The Movie),7500687135617697809,https://www.tiktok.com/@mai.trinh.h/video/7508550710624062728,5,832,3,29200,6,16,,False,False,mai.trinh.h,False,False,False,1,0,1,0,1,0,0,0,0
SAI LẦM KHI DÙNG DẦU TẨY TRANG KHIẾN MỤN ẨN MÃI KHÔNG HẾT ! #maitrinh #dautaytrang #munan #soibanhon #cachnhuhoa #cachdungdautaytrang,2025-05-25 20:07:39,25/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7508369413230365441,https://www.tiktok.com/@mai.trinh.h/video/7508369290878405896,210,1331,43,59700,230,56,"maitrinh, dautaytrang, munan, soibanhon, cachnhuhoa, cachdungdautaytrang",False,False,mai.trinh.h,False,False,False,0,6,14,0,0,0,1,0,1
PART 1: CHẤM ĐIỂM NƯỚC TẨY TRANG #maitrinh #nuoctaytrang #taytranglorealparis #lorealparis #lorealparisskin #lorealparispartner ,2025-05-25 19:08:57,25/05/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7508354244307733264,https://www.tiktok.com/@mai.trinh.h/video/7508354163181489416,129,957,24,31700,84,49,"maitrinh, nuoctaytrang, taytranglorealparis, lorealparis, lorealparisskin, lorealparispartner",False,False,mai.trinh.h,False,False,False,0,6,7,0,0,0,1,0,1
"BÀI HỌC SKINCARE: CÁCH XỬ LÝ SỢI BÃ NHỜN, MỤN ĐẦU ĐEN NHANH QUAY TRỞ LẠI #maitrinh #soibanhon #mundauden #skincareroutine #lochanlongto ",2025-05-23 19:12:44,23/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7507613281859865345,https://www.tiktok.com/@mai.trinh.h/video/7507612966901124359,223,1481,27,158000,243,59,"maitrinh, soibanhon, mundauden, skincareroutine, lochanlongto",False,False,mai.trinh.h,False,False,False,0,5,16,0,0,0,1,0,0
"HỌC MAKEUP CÁ NHÂN A-Z TẠI NHÀ 
Buổi 7: Học đánh son siêu bền ##maitrinh #hocmakeupcanhanh #cachdanhson #meodanhson  #3CEVN #glazyglow #3andChịEm #3CEPartner",2025-05-22 20:56:16,22/05/2025,False,https://www.tiktok.com/@mai.trinh.h,jungkook ㅡ still with you,6904599421783444226,https://www.tiktok.com/@mai.trinh.h/video/7507268568682155282,209,700,37,17900,299,32,"maitrinh, hocmakeupcanhanh, cachdanhson, meodanhson, 3CEVN, glazyglow, 3andChịEm, 3CEPartner",False,False,mai.trinh.h,False,False,False,0,8,15,0,0,0,1,0,0
"Quá tuổi làm idol thì ta book makeup như Idol cũng gọi là trải nghiệm với đời 🤣.               #maitrinh 
#CeraVePartner #cerave #ceravevietnam #chamsocda",2025-05-21 15:37:31,21/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Những Bản Nhạc Nghe Là Nghiện,6907413557688765186,https://www.tiktok.com/@mai.trinh.h/video/7506815337506065671,89,6617,44,85900,193,55,"maitrinh, ceravepartner, cerave, ceravevietnam, chamsocda",False,False,mai.trinh.h,False,False,False,1,5,18,0,0,1,0,0,0
"Nó cũng dalba mà cũng rất hourglass. E ko nhận booking hãng này nhó, thích nên share cho mn thui 🤣 #maitrinh #tirtir",2025-05-21 10:07:07,21/05/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7506730231252650753,https://www.tiktok.com/@mai.trinh.h/video/7506730188152130823,63,759,15,18300,72,11,"maitrinh, tirtir",False,False,mai.trinh.h,False,False,False,1,2,20,0,1,0,0,0,0
Chiếc serum lợi khuẩn made in VIỆT NAM nhưng chất lượng quốc tế #maitrinh #mdcare #serumloikhuan,2025-05-20 20:02:25,20/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7506512605675899664,https://www.tiktok.com/@mai.trinh.h/video/7506512513639451912,131,1530,36,229300,190,53,"maitrinh, mdcare, serumloikhuan",False,False,mai.trinh.h,False,False,False,0,3,13,0,0,0,1,0,0
Retinol Candid và trải nghiệm sau gần 6 tháng #maitrinh #retinol#mairdid #candidskincare #retinolcandid #dưỡngda #b5cica,2025-05-19 19:57:58,19/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7506140678773213968,https://www.tiktok.com/@mai.trinh.h/video/7506140281159437576,203,1769,92,1200000,175,70,"maitrinh, retinol, mair, candidskincare, retinolcandid, dưỡngda, b5cica",False,False,mai.trinh.h,False,False,False,0,7,9,0,0,0,1,0,0
Top 3 KCN Hàn Quốc đỉnh ! #maitrinh #kemchongnang #kemchongnangchodatreatment #kemchongnangtot ,2025-05-18 19:43:48,18/05/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7505765764890462977,https://www.tiktok.com/@mai.trinh.h/video/7505765547196353800,105,2257,85,57600,466,62,"maitrinh, kemchongnang, kemchongnangchodatreatment, kemchongnangtot",False,False,mai.trinh.h,False,False,False,0,4,7,0,0,0,1,0,1
Nói chung là vừa đẹp vừa yên tâm #maitrinh #reviewchanthuc #myphamnhatban #makeupbinhdan ,2025-05-17 09:08:33,17/05/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7505230790553275152,https://www.tiktok.com/@mai.trinh.h/video/7505230749759524103,186,9950,363,157700,1783,141,"maitrinh, reviewchanthuc, myphamnhatban, makeupbinhdan",False,False,mai.trinh.h,False,False,False,0,4,8,0,1,0,0,0,1
"Cảm ơn em bé @flora, cô bé nói chậm  , siêu idol luôn. Trần đời chưa thấy ca makeup nào dặm từ thang máy ra sảnh khách sạn 🌸 ",2025-05-16 22:51:49,16/05/2025,False,https://www.tiktok.com/@mai.trinh.h,SHEESH,7350506967536502786,https://www.tiktok.com/@mai.trinh.h/video/7505071833541053704,0,1085,7,20200,7,23,,True,False,mai.trinh.h,False,False,False,1,0,28,0,0,0,0,1,0
Phần 2: KEM CHỐNG NẮNG DƯỚI 200k. Finish ko phải lợi thế nhưng khả năng bảo vệ tầm giá này khá ổn áp. Dùng đc trước makeup nhé . Tuy nhiên da có mụn hay quá nhạy cảm cân nhắc nha #maitrinh #kemchongnangbinhdan #chongnangduoi200k #garnier,2025-05-16 20:03:29,16/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7505028575092787969,https://www.tiktok.com/@mai.trinh.h/video/7505028458326609160,183,960,20,46000,54,24,"maitrinh, kemchongnangbinhdan, chongnangduoi200k, garnier",False,False,mai.trinh.h,False,False,False,0,4,41,0,0,0,1,0,0
BUỔI 5 TỰ HỌC MAKEUP A-Z TRIỆT SẮC DA MỤN ĐỎ  #maitrinh #hocmakeuptainha #trietsac #chekhuyetdiemdamun #dalba#dalbavn#dalbavietnam,2025-05-15 22:37:35,15/05/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7504697122722188033,https://www.tiktok.com/@mai.trinh.h/video/7504697077176208647,197,658,15,14700,99,18,"maitrinh, hocmakeuptainha, trietsac, chekhuyetdiemdamun, dalba, dalbavn, dalbavietnam",False,False,mai.trinh.h,False,False,False,0,7,11,0,0,0,0,1,0
"Mỹ phẩm sẽ có người hợp người không, hợp nhất cho thâm mới, sáng đều màu da còn nám tàn nhang sau 6 tháng thì vẫn chưa thấy rõ rệt. Tốt nhất nên lazer tàn nhang sau đó duy trì bằng serum và chống nắng kỹ #maitrinh #serummotham #serumtrangda #larocheposay #larocheposayvn #MelaB3 #larocheposaypartner",2025-05-14 22:19:57,14/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7504321484785978129,https://www.tiktok.com/@mai.trinh.h/video/7504321446911544584,101,882,11,49700,99,15,"maitrinh, serummotham, serumtrangda, larocheposay, larocheposayvn, MelaB3, larocheposaypartner",False,False,mai.trinh.h,False,False,False,0,7,46,0,0,0,0,1,0
"DƯỠNG SÁNG DA HẠT DẺ CHO BẠN NÀO CHƯA TREATMENT ! Mình nghĩ da học sinh sinh viên sẽ rất hợp, treatment rồi thì ko l wow ! #maitrinh #duongsangda ",2025-05-14 17:48:32,14/05/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7504251820643896080,https://www.tiktok.com/@mai.trinh.h/video/7504251502093946120,160,3279,92,63700,516,61,"maitrinh, duongsangda",False,False,mai.trinh.h,False,False,False,0,2,28,0,0,1,0,0,0
BUỔI 4: HỌC MAKEUP A-Z : che khuyết điểm cơ bản #maitrinh #tuhocmakeuptainha  ,2025-05-13 16:12:25,13/05/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7503855690474081040,https://www.tiktok.com/@mai.trinh.h/video/7503855647201529096,146,2458,64,47200,672,24,"maitrinh, tuhocmakeuptainha",False,False,mai.trinh.h,False,False,False,0,2,11,0,0,1,0,0,0
BUỔI 3 : TỰ HỌC MAKEUP TẠI NHÀ : Chọn và thao tác kem chống nắng ,2025-05-10 21:03:36,10/05/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7502817592296131329,https://www.tiktok.com/@mai.trinh.h/video/7502817432709500167,207,2427,43,62100,388,49,,False,False,mai.trinh.h,False,False,False,0,0,16,0,0,0,1,0,1
Mặt hơi cọc nhưng tâm thật 😂,2025-05-10 15:41:38,10/05/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7502734524858518289,https://www.tiktok.com/@mai.trinh.h/video/7502734455736438023,41,8508,197,135500,1384,79,,False,False,mai.trinh.h,False,False,False,1,0,6,0,0,1,0,0,1
Khen hay C.hê phụ thuộc vào da của bạn. Tính năng setting powder thì nó làm tốt nhiệm vụ. Ưu và nhược đều chia sẻ mọi người nhớ đối chiếu với nền da để quyết định có nên fomo không nhé ! #maitrinh #phanphuthuytinh #settingpowder #funnyelves ,2025-05-09 20:21:56,09/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7502436128151735056,https://www.tiktok.com/@mai.trinh.h/video/7502435605025000711,116,1748,44,36700,99,34,"maitrinh, phanphuthuytinh, settingpowder, funnyelves",False,False,mai.trinh.h,False,False,False,0,4,42,0,0,0,1,0,0
"Trả lời @Mai Trinh Hồ BUỎI 2: HỌC MAKEUP CÁ NHAN A-Z Cử lý da bong tróc, da peel hay treatment để đánh nền mướt mịn #maitrinh #hocmakeupcanhan #makeupcanhan #xulydabongtroc #maitrinhdaymakeup ",2025-05-08 19:58:05,08/05/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7502058577289382672,https://www.tiktok.com/@mai.trinh.h/video/7502058387278941447,173,4312,167,105000,1428,51,", maitrinh, hocmakeupcanhan, makeupcanhan, xulydabongtroc, maitrinhdaymakeup",False,False,mai.trinh.h,False,False,False,0,5,26,0,0,0,1,0,0
