text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Có chắc là dám mời hong =))))),2025-06-09 15:53:29,09/06/2025,False,https://www.tiktok.com/@maivantrang_,nhạc nền - xafm,7509031126917843728,https://www.tiktok.com/@maivantrang_/video/7513870075917700370,14,6993,103,157500,165,34,,False,False,maivantrang_,False,False,False,0,0,7,0,0,1,0,0,0
"Lần đầu châm cứu chữa dứt điểm đau cổ vai gáy ở Đà Nẵng. Mình làm ở @BỆNH VIỆN YHCT ĐÀ NẴNG trong 5 ngày liên tục, khuyên ai chữa dứt điểm thì nên làm ít nhất 1 tuần nha! Nếu các bạn du lịch Đà Nẵng có thể thử qua khám và trải nghiệm nè. Mình đã làm từ 2 tháng trước, đến nay vẫn không hề bị tái đau lại nên tự tin review để các bạn tham khảo nha! #maivantrang #reviewlamdep #covaigay #chamcuubamhuyet #hoalongcuu #LearnOnTikTok ",2025-06-08 17:52:51,08/06/2025,False,https://www.tiktok.com/@maivantrang_,Best for video background music Chill Trap Hip Hop(837066),6850120546382776322,https://www.tiktok.com/@maivantrang_/video/7513529751202532616,90,27900,8712,487100,11000,527,", maivantrang, reviewlamdep, covaigay, chamcuubamhuyet, hoalongcuu, LearnOnTikTok",False,False,maivantrang_,False,False,False,0,6,82,0,0,1,0,0,1
🌸💕🎀🦩,2025-06-04 20:38:17,04/06/2025,False,https://www.tiktok.com/@maivantrang_,feel this moment,6940283462192597766,https://www.tiktok.com/@maivantrang_/video/7512088035073264914,15,899,4,34400,22,25,,False,False,maivantrang_,False,False,False,1,0,0,0,0,0,1,0,0
thu hoạch khế siêu to khổng lồ ban công nhà trồng ⭐️ #maivantrang ,2025-06-03 18:30:57,03/06/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7511684172218403601,https://www.tiktok.com/@maivantrang_/video/7511684145379052807,107,1273,17,39500,27,20,maivantrang,False,False,maivantrang_,False,False,False,1,1,12,0,0,0,1,0,0
Asian core 😆😆 khi sản phẩm bạn quá thích hết: bộ đôi làm sạch must have cho mùa hè này gọi tên Kiehl's toner và sữa rửa mặt hoa cúc 🏵️ ,2025-05-31 20:55:07,31/05/2025,True,https://www.tiktok.com/@maivantrang_,lucky girl syndrome,7369757975542352645,https://www.tiktok.com/@maivantrang_/video/7510608035581037842,46,1168,44,1300000,107,14,,False,False,maivantrang_,False,False,False,2,0,30,0,0,0,1,0,1
chị @NancyBeautyLab hoạ layout cho em như tiên cá AI 🧜🏻‍♀️ 🤣,2025-05-29 21:07:40,29/05/2025,False,https://www.tiktok.com/@maivantrang_,original sound,7471485640040172318,https://www.tiktok.com/@maivantrang_/video/7509869104124251400,28,542,11,17500,18,10,,False,False,maivantrang_,False,False,False,3,0,11,0,0,0,1,0,0
Mesmerizing mermaid 🧜🏻‍♀️ transformation #maivantrang #mermaidtiktok ,2025-05-22 06:49:12,21/05/2025,False,https://www.tiktok.com/@maivantrang_,Messy (From F1® The Movie),7500687135617697809,https://www.tiktok.com/@maivantrang_/video/7507050266554928391,5,18600,557,1600000,1371,187,"maivantrang, mermaidtiktok",False,False,maivantrang_,False,False,False,2,2,4,0,1,0,0,0,0
A girl just wanna have fun 💕 with skincare and fashion #laprairie #selfportrait #ootd ,2025-05-21 21:56:36,21/05/2025,False,https://www.tiktok.com/@maivantrang_,Tần số chung MiiNa,7506491962544605969,https://www.tiktok.com/@maivantrang_/video/7506913032891583752,0,1241,6,41700,48,21,"laprairie, selfportrait, ootd",True,False,maivantrang_,False,False,False,1,3,10,0,0,0,1,0,0
Mi giả này siêu siêu thích 👍🏻 ,2025-05-21 20:13:09,21/05/2025,False,https://www.tiktok.com/@maivantrang_,original sound,6886303003133922049,https://www.tiktok.com/@maivantrang_/video/7506886371810823442,14,594,3,26700,36,7,,False,False,maivantrang_,False,False,False,1,0,6,0,0,0,1,0,0
"Dạo này nóng quá, khui toong teng mới hình quạt cho mát mẻ 👉🏻👈🏻 #maivantrang #grwm #moingaymotoutfit #summerdress #bvlgari #chaumet #selfportrait ",2025-05-21 18:18:54,21/05/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7506857108550191873,https://www.tiktok.com/@maivantrang_/video/7506856932200910087,79,5489,148,157400,222,81,"maivantrang, grwm, moingaymotoutfit, summerdress, bvlgari, chaumet, selfportrait",False,False,maivantrang_,False,False,True,1,7,13,0,0,0,1,0,0
"Skincare trước và sau khi nặn mụn ✔️ Từ ngày ngưng sờ tay tự nặn mụn, Trang gom mụn 1 tháng 1 lần đi ra OLV xử lý, mặt trộm vía đỡ thâm hẳn. Đây là routine trị thâm ngừa mụn giúp khô cồi được Trang chuyên sử dụng cho mục đích trị thâm và kiểm soát bùng mụn hơn 1 năm qua, hy vọng sẽ giúp ích cho các bạn nha! #maivantrang #trimuntritham #skincareroutine #learnontiktok #larocheposay #larocheposayvn #MelaB3 #arocheposaypartner",2025-05-17 18:49:35,17/05/2025,False,https://www.tiktok.com/@maivantrang_,Idyllic jazz bossa nova with piano and guitar(1298871),7146290607604893697,https://www.tiktok.com/@maivantrang_/video/7505380491512630535,100,9337,495,175800,3728,112,"maivantrang, trimuntritham, skincareroutine, learnontiktok, larocheposay, larocheposayvn, melab3, arocheposaypartner",False,False,maivantrang_,False,False,False,1,8,72,0,0,0,1,0,1
lần đầu mua được bông hoa nở to hơn mặt em…   #maivantrang ,2025-05-14 11:21:23,14/05/2025,False,https://www.tiktok.com/@maivantrang_,flowers (sped up),7189754119534413825,https://www.tiktok.com/@maivantrang_/video/7504151735368224007,14,835,15,29300,21,11,maivantrang,False,False,maivantrang_,False,False,False,0,1,11,0,1,0,0,0,0
