text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Hôm nay cổ khui tuýp mới nữa rùi 😘 quá mê #xuhuongtiktok #reviewlamdep #skincare #fyp #xuhuong #viral #reviewmypham #345reliefcream ,2025-06-14 07:56:58,14/06/2025,False,https://www.tiktok.com/@michanne1011,nhạc nền - Trang Xinh Music,7503487645608839952,https://www.tiktok.com/@michanne1011/video/7515602683848379655,46,17,1,502,2,3,"xuhuongtiktok, reviewlamdep, skincare, fyp, xuhuong, viral, reviewmypham, 345reliefcream",False,False,michanne1011,True,False,False,1,8,10,0,1,0,0,0,1
Có những thứ k viral xài lại xịn lên xịn xuống :) còn những thứ quá hot để fomo theo thì về xài da như tả què 🤣 #xuhuongtiktok #reviewlamdep #skincare #fyp #xuhuong #viral #reviewmypham #345reliefcream ,2025-06-13 07:59:38,13/06/2025,False,https://www.tiktok.com/@michanne1011,nhạc nền - con bố hoàng,7489057273474583301,https://www.tiktok.com/@michanne1011/video/7515232285604596999,0,623,28,37000,251,47,"xuhuongtiktok, reviewlamdep, skincare, fyp, xuhuong, viral, reviewmypham, 345reliefcream",True,False,michanne1011,True,False,False,1,8,27,0,1,0,0,0,0
Yêu đến mấy cũng chỉ là ngừ lạ thoáng qua #xuhuongtiktok ,2025-06-10 10:55:00,10/06/2025,False,https://www.tiktok.com/@michanne1011,nhạc nền - Mi Channn,7514164264706378497,https://www.tiktok.com/@michanne1011/video/7514164239024573704,29,40,0,1672,2,4,xuhuongtiktok,False,False,michanne1011,True,False,False,0,1,10,0,1,0,0,0,0
"Thử liền đi bay ơi :)) chân ái cmnl ấy chứ , t dùng 3-4 lần r , thích quá phải quay vội cho chị em đó #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #carslan ",2025-06-06 19:47:16,06/06/2025,False,https://www.tiktok.com/@michanne1011,nhạc nền - si iu,7510194425721670401,https://www.tiktok.com/@michanne1011/video/7512817064986529032,13,22,0,1900,3,4,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, carslan",False,False,michanne1011,True,False,False,0,8,27,0,0,0,1,0,0
"Bà nào còn nghĩ skincare là chỉ bôi bôi quẹt quẹt thì t xin gửi lời chia buồn =)) Muốn da đẹp, thì phải làm sạch sâu, tẩy tế bào chết, cấp ẩm đàng hoàng nha",2025-06-05 09:10:29,05/06/2025,True,https://www.tiktok.com/@michanne1011,nhạc nền - Quả Dâu Tây,7338729759343397633,https://www.tiktok.com/@michanne1011/video/7512281868629282056,42,34,1,3137,2,1,,False,False,michanne1011,True,False,False,0,0,36,0,1,0,0,0,0
,2025-06-03 09:23:11,03/06/2025,False,https://www.tiktok.com/@michanne1011,nhạc nền - con bố hoàng,7489057273474583301,https://www.tiktok.com/@michanne1011/video/7511542972173798663,0,67,1,3453,4,12,,True,False,michanne1011,True,False,False,0,0,0,0,1,0,0,0,0
"thành công của t là khi đổi toner keo ong cnp sang dùng drpepti =))
Dùng drpepti đi, mấy bà sẽ biết da sáng lên từng ngày mà còn căng bóng là như thế nài nài #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #drpepti ",2025-06-01 11:07:15,01/06/2025,False,https://www.tiktok.com/@michanne1011,nhạc nền - INOVA MUSIC,7467532716867635985,https://www.tiktok.com/@michanne1011/video/7510827629855984914,57,29,1,2529,3,3,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, drpepti",False,False,michanne1011,True,False,False,0,8,36,0,1,0,0,0,1
Trả lời @Hoa Bỉ Ngạn giỏ hàng chiết cho bà nào cần nha #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #345reliefcream ,2025-05-31 13:49:54,31/05/2025,False,https://www.tiktok.com/@michanne1011,nhạc nền - K.Huyền,7464239827395889921,https://www.tiktok.com/@michanne1011/video/7510498454192327954,17,144,4,10600,30,40,", reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, 345reliefcream",False,False,michanne1011,True,False,False,0,8,13,0,0,1,0,0,1
+1 kem dưỡng dành cho da dầu mụn đỉnk của chốp #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #345reliefcream ,2025-05-31 08:29:23,31/05/2025,False,https://www.tiktok.com/@michanne1011,nhạc nền - 𝐕𝐮𝐀𝐧𝐡 𝐌𝐮𝐬𝐢𝐜 🎶,7494918672008416016,https://www.tiktok.com/@michanne1011/video/7510415843491122439,37,1062,22,61700,167,112,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, 345reliefcream",False,False,michanne1011,True,False,False,0,8,11,0,1,0,0,0,1
Ê thơm nhaaa #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #bodymist #colorkey #reviewmypham ,2025-05-29 16:24:45,29/05/2025,True,https://www.tiktok.com/@michanne1011,nhạc nền,7500407978492070657,https://www.tiktok.com/@michanne1011/video/7509796193241713938,15,25,1,2374,1,0,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, bodymist, colorkey, reviewmypham",False,False,michanne1011,True,False,False,0,9,3,0,0,1,0,0,0
Dự là hũ này chắc t xài cả năm mới hết nổi =))) #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham ,2025-05-29 09:09:14,29/05/2025,False,https://www.tiktok.com/@michanne1011,lucky girl syndrome,7369757975542352645,https://www.tiktok.com/@michanne1011/video/7509683947392044306,73,34,0,3896,3,4,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham",False,False,michanne1011,True,False,False,0,7,13,0,1,0,0,0,0
#reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #fyp #xuhuong #viral ,2025-05-27 20:50:45,27/05/2025,False,https://www.tiktok.com/@michanne1011,nhạc nền - cùng với duỹnh,7503374846273866497,https://www.tiktok.com/@michanne1011/video/7509122571682516242,0,48,7,3703,17,4,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, fyp, xuhuong, viral",True,False,michanne1011,True,False,False,0,9,0,0,0,0,1,0,0
#reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #3ce #reviewmypham ,2025-05-27 13:15:25,27/05/2025,False,https://www.tiktok.com/@michanne1011,nhạc nền - 𝘼𝙧𝙞𝙨 𝙈𝙪𝙨𝙞𝙘,7501865638739118849,https://www.tiktok.com/@michanne1011/video/7509005225030716680,0,26,1,2733,8,0,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, 3ce, reviewmypham",True,False,michanne1011,True,False,False,0,8,0,0,0,1,0,0,0
