text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
#viral #minzystory #skincare #fyb #trending #lamdepkhongkho #lamdep #peelnach #baresoul #nachtham ,2025-06-13 20:13:21,13/06/2025,False,https://www.tiktok.com/@minzy.in.kr,nhạc nền - Minzy Story 🇻🇳🇰🇷,7515421531846658833,https://www.tiktok.com/@minzy.in.kr/video/7515421385171225863,92,54,0,1711,17,0,"viral, minzystory, skincare, fyb, trending, lamdepkhongkho, lamdep, peelnach, baresoul, nachtham",False,False,minzy.in.kr,False,False,False,0,10,0,0,0,0,1,0,0
#viral #minzystory #skincare #fyb #trending #lamdepkhongkho #lamdep #kemchongnang #makepremvn ,2025-06-11 19:42:15,11/06/2025,False,https://www.tiktok.com/@minzy.in.kr,nhạc nền - Minzy Story 🇻🇳🇰🇷,7514671222030928641,https://www.tiktok.com/@minzy.in.kr/video/7514671192272555271,69,334,19,22300,47,21,"viral, minzystory, skincare, fyb, trending, lamdepkhongkho, lamdep, kemchongnang, makepremvn",False,False,minzy.in.kr,False,False,False,0,9,0,0,0,0,1,0,0
#viral #minzystory #skincare #fyb #trending #lamdepkhongkho #lamdep #lamdep #duongtoc #HIMALAYAPINKSALT #LiệuphápmuốihồngHimalaya ,2025-06-10 20:12:44,10/06/2025,False,https://www.tiktok.com/@minzy.in.kr,nhạc nền - Minzy Story 🇻🇳🇰🇷,7514307996563213057,https://www.tiktok.com/@minzy.in.kr/video/7514307969211747602,66,3553,167,89400,946,37,"viral, minzystory, skincare, fyb, trending, lamdepkhongkho, lamdep, lamdep, duongtoc, himalayapinksalt, liệuphápmuốihồnghimalaya",False,False,minzy.in.kr,False,False,False,0,11,0,0,0,0,1,0,0
#viral #minzystory #skincare #fyb #trending #thuvienmakeup #lamdepkhongkho #tipskincare #lamdep #duongtoc #dauduongtoc #seedbee ,2025-06-06 11:59:46,06/06/2025,True,https://www.tiktok.com/@minzy.in.kr,nhạc nền - Minzy Story 🇻🇳🇰🇷,7512696650025683729,https://www.tiktok.com/@minzy.in.kr/video/7512696589886967048,68,535,167,36400,115,12,"viral, minzystory, skincare, fyb, trending, thuvienmakeup, lamdepkhongkho, tipskincare, lamdep, duongtoc, dauduongtoc, seedbee",False,False,minzy.in.kr,False,False,False,0,12,0,0,1,0,0,0,0
Sản phẩm đã được test khoảng gần 1 tháng nha mn ơiii . dùng thích nhaaaa#viral #minzystory #skincare #fyb #trending #thuvienmakeup #lamdepkhongkho #tipskincare #lamdep #moctoc #beplain #PDRN #halago ,2025-06-05 19:41:59,05/06/2025,False,https://www.tiktok.com/@minzy.in.kr,nhạc nền - Minzy Story 🇻🇳🇰🇷,7512444651308731152,https://www.tiktok.com/@minzy.in.kr/video/7512444619590847751,87,861,82,48200,229,42,"viral, minzystory, skincare, fyb, trending, thuvienmakeup, lamdepkhongkho, tipskincare, lamdep, moctoc, beplain, pdrn, halago",False,False,minzy.in.kr,False,False,False,0,13,16,0,0,0,1,0,0
#viral #minzystory #skincare #trending #fyb #thuvienmakeup #lamdepkhongkho #tipskincare #lamdep #tiam #tiamsnail ,2025-06-02 19:52:39,02/06/2025,True,https://www.tiktok.com/@minzy.in.kr,nhạc nền - Minzy Story 🇻🇳🇰🇷,7511334147860876048,https://www.tiktok.com/@minzy.in.kr/video/7511334100347800840,60,492,11,34700,72,15,"viral, minzystory, skincare, trending, fyb, thuvienmakeup, lamdepkhongkho, tipskincare, lamdep, tiam, tiamsnail",False,False,minzy.in.kr,False,False,False,0,11,0,0,0,0,1,0,0
#viral #trending #fyb #minzystory #makeuptutorial #makeup #tiplamdep #lamdeptainha #xuhuong #longmay ,2025-06-01 20:30:57,01/06/2025,False,https://www.tiktok.com/@minzy.in.kr,nhạc nền - Minzy Story 🇻🇳🇰🇷,7510972933632756481,https://www.tiktok.com/@minzy.in.kr/video/7510972895632346375,52,345,9,77400,73,3,"viral, trending, fyb, minzystory, makeuptutorial, makeup, tiplamdep, lamdeptainha, xuhuong, longmay",False,False,minzy.in.kr,False,False,False,0,10,0,0,0,0,1,0,1
#viral #minzystory #skincare #trending #fyb #thuvienmakeup #lamdepkhongkho #tipskincare #lamdep #sonmoi #sonmoidep ,2025-05-30 20:27:25,30/05/2025,False,https://www.tiktok.com/@minzy.in.kr,nhạc nền - Minzy Story 🇻🇳🇰🇷,7510229980996881153,https://www.tiktok.com/@minzy.in.kr/video/7510229811692965127,57,915,21,55500,293,7,"viral, minzystory, skincare, trending, fyb, thuvienmakeup, lamdepkhongkho, tipskincare, lamdep, sonmoi, sonmoidep",False,False,minzy.in.kr,False,False,False,0,11,0,0,0,0,1,0,0
#viral #minzystory #skincare #fyb #trending #thuvienmakeup #lamdepkhongkho #tipskincare #lamdep #makeup ,2025-05-26 20:58:20,26/05/2025,False,https://www.tiktok.com/@minzy.in.kr,nhạc nền - Minzy Story 🇻🇳🇰🇷,7508753531432733457,https://www.tiktok.com/@minzy.in.kr/video/7508753438122069266,53,3200,121,66600,452,22,"viral, minzystory, skincare, fyb, trending, thuvienmakeup, lamdepkhongkho, tipskincare, lamdep, makeup",False,False,minzy.in.kr,False,False,False,0,10,0,0,0,0,1,0,0
#viral #minzystory #skincare #fyb #trending #thuvienmakeup #lamdepkhongkho #tipskincare #lamdep #duongdabody #body ,2025-05-25 19:47:10,25/05/2025,False,https://www.tiktok.com/@minzy.in.kr,nhạc nền - Minzy Story 🇻🇳🇰🇷,7508364046647937793,https://www.tiktok.com/@minzy.in.kr/video/7508364009507245330,74,1949,94,69000,638,18,"viral, minzystory, skincare, fyb, trending, thuvienmakeup, lamdepkhongkho, tipskincare, lamdep, duongdabody, body",False,False,minzy.in.kr,False,False,False,0,11,0,0,0,0,1,0,1
#viral #minzystory #skincare #fyb #trending #thuvienmakeup #lamdepkhongkho #tipskincare #lamdep #celimax #celimaxvn #bhaheartleaf #hibisvn ,2025-05-24 13:01:30,24/05/2025,False,https://www.tiktok.com/@minzy.in.kr,nhạc nền - Minzy Story 🇻🇳🇰🇷,7507888415887706897,https://www.tiktok.com/@minzy.in.kr/video/7507888387009891591,81,5862,537,332400,2147,58,"viral, minzystory, skincare, fyb, trending, thuvienmakeup, lamdepkhongkho, tipskincare, lamdep, celimax, celimaxvn, bhaheartleaf, hibisvn",False,False,minzy.in.kr,False,False,False,0,13,0,0,0,1,0,0,1
#viral #minzystory #skincare #fyb #trending #thuvienmakeup #lamdepkhongkho #tipskincare #lamdep #drpepti #kemchongnang ,2025-05-23 19:30:15,23/05/2025,True,https://www.tiktok.com/@minzy.in.kr,nhạc nền - Minzy Story 🇻🇳🇰🇷,7507622664954841873,https://www.tiktok.com/@minzy.in.kr/video/7507617483948412168,72,2254,48,473700,161,18,"viral, minzystory, skincare, fyb, trending, thuvienmakeup, lamdepkhongkho, tipskincare, lamdep, drpepti, kemchongnang",False,False,minzy.in.kr,False,False,False,0,11,0,0,0,0,1,0,0
