text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Replying to @Quỳnh Thi Bí kíp để để lớp nền căng mướt trước make up của QThii #OLAYSuperSerum ,2025-06-10 20:21:33,10/06/2025,False,https://www.tiktok.com/@msquynhthie,orijinal ses,7205231056395373313,https://www.tiktok.com/@msquynhthie/video/7514310239257283847,105,12100,67,291500,228,48,", olaysuperserum",False,False,msquynhthie,False,False,False,0,1,17,0,0,0,1,0,0
"Not just a queen, a legacy 👑 #cleopatra 
Makeup by @Tuấn Ngọc Võ 
Ib @_marianazambrano",2025-06-01 22:34:19,01/06/2025,False,https://www.tiktok.com/@msquynhthie,orijinal ses,7205231056395373313,https://www.tiktok.com/@msquynhthie/video/7511004681628437767,30,482100,3800,3700000,14100,2948,"cleopatra, ",False,False,msquynhthie,False,False,False,1,1,13,0,0,0,0,1,1
"Do my hair up real, real nice 🥂#Enchanteur",2025-05-23 20:06:17,23/05/2025,True,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7507626813946940176,https://www.tiktok.com/@msquynhthie/video/7507626773450919175,27,18000,123,276400,303,81,enchanteur,False,False,msquynhthie,False,False,False,1,1,7,0,0,0,1,0,0
"Dưỡng sáng da nhanh gọn lẹ, quan trọng là hiệu quả mùa hè này 🌤️

#olaysuperserum ",2025-05-14 19:18:54,14/05/2025,True,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7504274829370067729,https://www.tiktok.com/@msquynhthie/video/7504274791046712583,85,2218,39,391900,70,34,olaysuperserum,False,False,msquynhthie,False,False,False,1,1,15,0,0,0,1,0,0
"Ai mê nước hoa sẽ biết chai này. Vanilla ấm, hơi creamy dễ chịu đúng gu Qthii🥹🍨#burberrybeauty #burberrygoddess #perfume ",2025-04-11 20:14:59,11/04/2025,False,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7492043621531683600,https://www.tiktok.com/@msquynhthie/video/7492043437550603528,18,4657,23,139000,112,46,"burberrybeauty, burberrygoddess, perfume",False,False,msquynhthie,False,False,False,1,3,17,0,0,0,1,0,0
"GRWM 15 phút đi chơi thể thao cùng QThi nhaa 🤪
#EnchanteurNaturelle",2025-04-01 11:49:51,01/04/2025,True,https://www.tiktok.com/@msquynhthie,vlog Parisian fashion cute(1493346),7314367977167800322,https://www.tiktok.com/@msquynhthie/video/7488202391595027718,74,5759,47,240300,219,55,enchanteurnaturelle,False,False,msquynhthie,False,False,False,1,1,10,0,1,0,0,0,0
"Khi cần sự sang trọng, QThi chắc chắn sẽ chọn trang sức masterpiece của PNJ 🥂 #grwm ",2025-03-24 23:19:31,24/03/2025,False,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7485411543635577617,https://www.tiktok.com/@msquynhthie/video/7485411451675430162,16,12600,210,411300,264,99,grwm,False,False,msquynhthie,False,False,False,1,1,15,0,0,0,0,1,0
Trộm vía hay được khen thơm 🥹 #reviewnuochoa #fyp #fragrance ,2025-03-18 14:41:57,18/03/2025,False,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7483051950134233873,https://www.tiktok.com/@msquynhthie/video/7483051562563112199,148,10900,330,406500,1192,130,"reviewnuochoa, fyp, fragrance",False,False,msquynhthie,False,False,False,1,3,6,0,0,1,0,0,0
"Học được thêm nhiều điều mới, và quan trọng là được mua hàng chính hãng 🤪 #svrvietnam ",2025-03-12 20:50:11,12/03/2025,True,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7480920248401546001,https://www.tiktok.com/@msquynhthie/video/7480919955446172936,69,40800,137,1700000,414,55,svrvietnam,False,False,msquynhthie,False,False,False,1,1,15,0,0,0,1,0,0
Làn da căng bóng và mái tóc bồng bềnh yêu thích 🥹💕 #Kiehlsvietnam #skincare,2025-03-04 18:43:19,04/03/2025,True,https://www.tiktok.com/@msquynhthie,Intergalactic Janet,7348601005335250945,https://www.tiktok.com/@msquynhthie/video/7477918572459789576,120,55200,727,3700000,2834,159,"kiehlsvietnam, skincare",False,False,msquynhthie,False,False,False,1,2,11,0,0,0,1,0,0
