text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Cuối cùng tui cũng được mổ mắt rồi nhaaa 🔥🔥   #matvietnga #xoacan #xoacanvietnga #chuyenxoacan #hanhtrinhxoacan ,2025-06-12 18:22:33,12/06/2025,False,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7515021791283170064,https://www.tiktok.com/@nhacuaanvymeo/video/7515021741748440328,132,3102,33,61300,135,104,"matvietnga, xoacan, xoacanvietnga, chuyenxoacan, hanhtrinhxoacan",False,False,nhacuaanvymeo,False,False,False,1,5,9,0,0,0,1,0,0
"Tóm tắt những chuyến du lịch đầu hè: KHÔNG CÓ NẮNG 🌥️
#nhacuaanvy #trenddulich #anvytravel #anvyvlog #",2025-06-12 11:44:28,12/06/2025,False,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7514919195423869713,https://www.tiktok.com/@nhacuaanvymeo/video/7514919154059611399,12,5077,66,37400,175,98,"nhacuaanvy, trenddulich, anvytravel, anvyvlog",False,False,nhacuaanvymeo,False,False,False,1,4,13,0,1,0,0,0,0
Ngày hội đặc sản Yeongcheon của tỉnh Gyeongbuk – Hàn Quốc 🔥🔥 #learnontiktok ,2025-06-01 18:58:13,01/06/2025,False,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7510949035206069008,https://www.tiktok.com/@nhacuaanvymeo/video/7510948998497291527,97,8590,252,160500,331,66,learnontiktok,False,False,nhacuaanvymeo,False,False,False,1,1,11,0,0,0,1,0,1
"Bí quyết luôn thoải mái, tươi tỉnh cả ngày của tui chính là Hygiene nhaaa
#khoachuongthomlautancuoingay #huonghoamaudon #hygienevietnam ",2025-05-31 20:57:28,31/05/2025,False,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7510608719602567952,https://www.tiktok.com/@nhacuaanvymeo/video/7510608642866154770,100,23900,140,662900,381,50,"khoachuongthomlautancuoingay, huonghoamaudon, hygienevietnam",False,True,nhacuaanvymeo,False,False,False,0,3,15,0,0,0,1,0,1
"Mấy mom thử món Cháo Yến này đi, nghiện á 😍 #chaoyentienvua #Thuonghoangyen #chaoyencaocap ",2025-05-31 19:47:51,31/05/2025,True,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7510590879741135633,https://www.tiktok.com/@nhacuaanvymeo/video/7510590695883820295,54,8041,25,87200,94,54,"chaoyentienvua, thuonghoangyen, chaoyencaocap",False,True,nhacuaanvymeo,False,False,False,1,3,10,0,0,0,1,0,1
"Tips chăm sóc da của tui nè mấy bà ơi 😍 

#chamsocda #cerave #goclamdep",2025-05-30 19:23:44,30/05/2025,False,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7510213540423158544,https://www.tiktok.com/@nhacuaanvymeo/video/7510213388832656658,73,17600,158,335200,299,62,"chamsocda, cerave, goclamdep",False,False,nhacuaanvymeo,False,False,False,1,3,10,0,0,0,1,0,0
Xuyên không với Vy hông??? #nanningspecialized #nanning #bienhinh #anvytravel #anvyvlog ,2025-05-29 20:51:15,29/05/2025,False,https://www.tiktok.com/@nhacuaanvymeo,Candy Dream,7363505876412418064,https://www.tiktok.com/@nhacuaanvymeo/video/7509864874021801224,92,4351,122,67600,251,48,"nanningspecialized, nanning, bienhinh, anvytravel, anvyvlog",False,False,nhacuaanvymeo,False,False,False,0,5,5,0,0,0,1,0,0
Đi Trung Quốc mà không cosplay là thiếu xót nha #namninh #nanning #nhacuaanvy,2025-05-23 15:38:31,23/05/2025,False,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7507557850554960641,https://www.tiktok.com/@nhacuaanvymeo/video/7507557763946499346,29,12400,386,211500,724,58,"namninh, nanning, nhacuaanvy",False,False,nhacuaanvymeo,False,False,False,0,3,10,0,0,1,0,0,0
"Con lớn nhanh lắm, từng khoảnh khắc chỉ đến một lần thôi ba mẹ ơi 🍼🍬☀️

@Aloha Baby Studio #alohababy #chupanhchobe #alohamedia",2025-05-19 10:38:10,19/05/2025,False,https://www.tiktok.com/@nhacuaanvymeo,Relaxed and playful spring vitality,7377877723431372836,https://www.tiktok.com/@nhacuaanvymeo/video/7505996022242381074,67,3390,33,80700,71,24,", alohababy, chupanhchobe, alohamedia",False,False,nhacuaanvymeo,False,False,False,1,3,19,0,1,0,0,0,0
"Bí quyết luôn giữ vững tinh thần cày deadline nè mấy bà ơi !
#Berocca  #HỗTrợGiảmCăngThẳngBớtMệtMỏi",2025-05-15 19:03:32,15/05/2025,False,https://www.tiktok.com/@nhacuaanvymeo,可爱小公主 - Lovely Little Princess,7274161705168848932,https://www.tiktok.com/@nhacuaanvymeo/video/7504641916785478919,59,23300,378,336700,1018,92,"berocca, hỗtrợgiảmcăngthẳngbớtmệtmỏi",False,False,nhacuaanvymeo,False,False,False,0,2,14,0,0,0,1,0,0
Chăm sóc body luôn thơm nè các nàng 💕 #Lepetitmarseillais  #Suatamhuuco #Suatamphap,2025-05-13 19:30:05,13/05/2025,True,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7503906681064147729,https://www.tiktok.com/@nhacuaanvymeo/video/7503906592711019783,65,5851,22,71400,53,31,"lepetitmarseillais, suatamhuuco, suatamphap",False,True,nhacuaanvymeo,False,False,False,1,3,8,0,0,0,1,0,0
Bí quyết không bao giờ bí content 😆😆 #DatBike #LearnOnTikTok #anvycouple ,2025-05-12 19:41:04,12/05/2025,False,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7503538979896167169,https://www.tiktok.com/@nhacuaanvymeo/video/7503538331704200455,106,34800,263,537900,541,71,"datbike, learnontiktok, anvycouple",False,False,nhacuaanvymeo,False,False,False,1,3,7,0,0,0,1,0,0
