text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
"Vậy đi 🤓 Gộp mắt môi má 1 màu kem makeup đa năng Red Chamber đi cho lẹ dùm toi @RED CHAMBER VN 
#phamhoanganh #redchambervn #cleanbeauty ",2025-06-10 21:05:56,10/06/2025,False,https://www.tiktok.com/@ph.hoanganhh,"Bibbidi Bobbidi Boo (From ""Cinderella"")",6891415636828751874,https://www.tiktok.com/@ph.hoanganhh/video/7514321669683531026,42,4424,169,209700,272,21,", phamhoanganh, redchambervn, cleanbeauty",False,False,ph.hoanganhh,False,False,False,1,3,22,0,0,0,1,0,0
"Gia Lai đẹp ☺️ 
#phamhoanganh ",2025-06-10 19:11:10,10/06/2025,False,https://www.tiktok.com/@ph.hoanganhh,nhạc nền - xafm,7509031126917843728,https://www.tiktok.com/@ph.hoanganhh/video/7514292102251941127,24,6014,82,163600,359,235,phamhoanganh,False,False,ph.hoanganhh,False,False,False,1,1,4,0,0,0,1,0,0
"Xài toner như nào là đúng? 🙂‍↔️ 
#phamhoanganh #caryophy #toner ",2025-06-06 21:21:41,06/06/2025,False,https://www.tiktok.com/@ph.hoanganhh,nhạc nền - Pham Hoang Anh,7512841431774415617,https://www.tiktok.com/@ph.hoanganhh/video/7512841393568517383,59,4133,3,209700,283,23,"phamhoanganh, caryophy, toner",False,False,ph.hoanganhh,False,False,False,1,3,7,0,0,0,1,0,0
"Nguyện đắp mặt nạ mỗi ngày không bỏ ngày nào 🧏🏻‍♀️  
#phamhoanganh #bnbg #skinbooster",2025-06-05 20:13:10,05/06/2025,False,https://www.tiktok.com/@ph.hoanganhh,Morning Routine,7408039355241695249,https://www.tiktok.com/@ph.hoanganhh/video/7512452648214269202,67,4594,201,238200,320,46,"phamhoanganh, bnbg, skinbooster",False,False,ph.hoanganhh,False,False,False,2,3,11,0,0,0,1,0,0
"Giải thoát cho làn da của ẻm đii 🥹 
#phamhoanganh ",2025-06-02 20:59:12,02/06/2025,True,https://www.tiktok.com/@ph.hoanganhh,Comedy Background,7450085833783248905,https://www.tiktok.com/@ph.hoanganhh/video/7511351265436110098,61,5202,195,217800,380,30,phamhoanganh,False,False,ph.hoanganhh,False,False,False,1,1,8,0,0,0,1,0,0
"Vô tình lạc vào Xứ Sở Thần Tiên Senka 💙 xiêu lòng dễ sợ òoo 🥹 Hay là mai ai đi với tui hongggg
#phamhoanganh #SenkaVietnam #SenkaFoamtopia #SENKAxPerfectWhip",2025-05-31 18:54:38,31/05/2025,False,https://www.tiktok.com/@ph.hoanganhh,nhạc nền - Những Bản Nhạc Nghe Là Nghiện,6907413557688765186,https://www.tiktok.com/@ph.hoanganhh/video/7510576981369539858,147,5770,223,356700,319,30,"phamhoanganh, senkavietnam, senkafoamtopia, senkaxperfectwhip",False,False,ph.hoanganhh,False,False,False,2,4,22,0,0,0,1,0,1
"Bí mật nhó 🤫 
#phamhoanganh #omtronthuongyeu #rum",2025-05-29 22:30:17,29/05/2025,False,https://www.tiktok.com/@ph.hoanganhh,Ôm Trọn Thương Yêu (with Phạm Hoàng Anh),7472307053647185937,https://www.tiktok.com/@ph.hoanganhh/video/7509890387817893128,19,3455,30,100100,85,46,"phamhoanganh, omtronthuongyeu, rum",False,False,ph.hoanganhh,False,False,False,1,3,3,0,0,0,0,1,0
"Xài 1 lần có thể là hết nửa tuýp kem chống nắng 🙂 
#phamhoanganh #glowingskin #sunscreen #spf #koreanskincare
#grwm #nomakeup #nomakeupmakeup  #lipgloss #somebymi #kemchongnang",2025-05-29 20:50:12,29/05/2025,True,https://www.tiktok.com/@ph.hoanganhh,nhạc nền - Pham Hoang Anh,7509864717386189585,https://www.tiktok.com/@ph.hoanganhh/video/7509864597852081426,53,2636,6,155200,220,23,"phamhoanganh, glowingskin, sunscreen, spf, koreanskincare, grwm, nomakeup, nomakeupmakeup, lipgloss, somebymi, kemchongnang",False,False,ph.hoanganhh,False,False,False,1,11,12,0,0,0,1,0,0
"Ngoài skincare da mặt thì đừng bỏ quên da đầu cũng cần detox nhe 😚 
#phamhoanganh 
#Dermahaircenter #189haibatrung #Hair #Chuanykhoa
#chamsoctoc #detox #scalpdetox #hasakiclinic #hasaki #hasakivn #cosmetic
#hasakibeautycenter #hasakichinhanh254 #clinic #chatluongthat #giatrithat",2025-05-28 20:09:34,28/05/2025,False,https://www.tiktok.com/@ph.hoanganhh,nhạc nền - Pham Hoang Anh,7509483078235032337,https://www.tiktok.com/@ph.hoanganhh/video/7509483038749854994,114,5945,183,260500,284,24,"phamhoanganh, dermahaircenter, 189haibatrung, hair, chuanykhoa, chamsoctoc, detox, scalpdetox, hasakiclinic, hasaki, hasakivn, cosmetic, hasakibeautycenter, hasakichinhanh254, clinic, chatluongthat, giatrithat",False,True,ph.hoanganhh,False,False,False,1,17,14,0,0,0,1,0,0
"Lớp học uốn tóc cho các mom 😆
#phamhoanganh #masuto #maysay5in1",2025-05-27 20:06:48,27/05/2025,True,https://www.tiktok.com/@ph.hoanganhh,Comedy Background,7450085833783248905,https://www.tiktok.com/@ph.hoanganhh/video/7509111240547945746,52,818,5,146900,122,21,"phamhoanganh, masuto, maysay5in1",False,False,ph.hoanganhh,False,False,False,1,3,7,0,0,0,1,0,0
"Thơm qué. Như mùi em bé í 🧏🏻‍♀️ 
#phamhoanganh #kissmybody #bodymist #applesherbet",2025-05-26 21:21:34,26/05/2025,True,https://www.tiktok.com/@ph.hoanganhh,Loose & cute & heartwarming everyday scene songs(902158),6906889681527375873,https://www.tiktok.com/@ph.hoanganhh/video/7508759421313453330,32,4092,231,203700,281,18,"phamhoanganh, kissmybody, bodymist, applesherbet",False,False,ph.hoanganhh,False,False,False,2,4,8,0,0,0,1,0,0
