text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
#phoganh ,2025-06-13 18:27:23,13/06/2025,False,https://www.tiktok.com/@phoganh8461,original sound,7064589875831409409,https://www.tiktok.com/@phoganh8461/video/7515394074682117394,5,31900,909,347100,235,37,phoganh,False,False,phoganh8461,False,False,False,0,1,0,0,0,0,1,0,0
câu chiện đi mua zày #phoganh ,2025-06-08 20:16:50,08/06/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7513566922135325457,https://www.tiktok.com/@phoganh8461/video/7513566857324940551,110,30700,345,391200,413,70,phoganh,False,False,phoganh8461,False,False,False,0,1,5,0,0,0,1,0,1
nhân dịp được nghỉ đi xả hơi hẹ hẹ #phoganh #ofelia #sugarplum ,2025-05-31 19:33:30,31/05/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7510587041311148801,https://www.tiktok.com/@phoganh8461/video/7510587002606210311,105,33300,219,560400,344,90,"phoganh, ofelia, sugarplum",False,False,phoganh8461,False,False,False,0,3,9,0,0,0,1,0,1
f6 monash mới ngồi 16 tiếng ở thư viện #phoganh ,2025-05-30 20:42:14,30/05/2025,False,https://www.tiktok.com/@phoganh8461,nhạc nền - chuc2810🫶🏻,7504328870334696208,https://www.tiktok.com/@phoganh8461/video/7510233629314895111,10,25900,657,391200,332,31,phoganh,False,False,phoganh8461,False,False,False,0,1,9,0,0,0,1,0,0
xin cảm ơn quý staff starbucks hôm đó đã tặng iem cốc nước để em zui hihi i lóve u gaisss (mdu achi k xem dc nhma hihi) #phoganh ,2025-05-21 20:18:39,21/05/2025,False,https://www.tiktok.com/@phoganh8461,Star (Instrumental),7247747273794422786,https://www.tiktok.com/@phoganh8461/video/7506887793759489298,0,37600,330,395900,429,64,phoganh,True,False,phoganh8461,False,False,False,0,1,28,0,0,0,1,0,0
còn 4 bài final nữa a có lẽ tui sẽ ngấc xịu #phoganh ,2025-05-19 17:51:21,19/05/2025,False,https://www.tiktok.com/@phoganh8461,original sound,7465073520008104747,https://www.tiktok.com/@phoganh8461/video/7506107655505661192,0,14100,181,265800,97,48,phoganh,True,False,phoganh8461,False,False,False,0,1,12,0,0,1,0,0,0
biết gì chưa 😇🤓 #phoganh #hoptaccungprep,2025-05-17 20:08:18,17/05/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7505400821845134081,https://www.tiktok.com/@phoganh8461/video/7505400783668645138,19,10100,73,281100,178,23,"phoganh, hoptaccungprep",False,False,phoganh8461,False,False,False,1,2,3,0,0,0,1,0,1
cái cuộn film siêu rung động của tui TT tui yêu màu film nì kung khịnh 🫶🏻 cái cuộn nì toàn những người tui iu thưn (nhma hong úp lên đc ehe),2025-05-13 20:25:26,13/05/2025,False,https://www.tiktok.com/@phoganh8461,voodoo by frank ocean,7035683123383814914,https://www.tiktok.com/@phoganh8461/video/7503920857463442695,0,16400,223,200500,176,41,,True,False,phoganh8461,False,False,False,1,0,31,0,0,0,1,0,0
cách tôi và @𝖈𝖍𝖎𝖎𝖓𝖌𝖆𝖔𝖘 🐼 cảm hoá được c @baohannguyenxhelia quay nhạc dolce >< #phoganh ,2025-05-08 16:50:59,08/05/2025,False,https://www.tiktok.com/@phoganh8461,nhạc nền - namtriinh đây nè,7490865648910781185,https://www.tiktok.com/@phoganh8461/video/7502010167186197778,14,65700,549,1200000,800,50,", , phoganh",False,False,phoganh8461,False,False,False,1,1,13,0,0,1,0,0,0
amser quyết tâm phủ đỏ tiktok >< #phoganh ,2025-05-06 10:46:55,06/05/2025,False,https://www.tiktok.com/@phoganh8461,dth,7479356538793020177,https://www.tiktok.com/@phoganh8461/video/7501174168386358535,17,116500,3724,1300000,1868,226,phoganh,False,False,phoganh8461,False,False,False,0,1,7,0,1,0,0,0,0
quên thẻ hsinh ams ở vnam roi nên đu trend capcut phiên bản đại học hihi >< #phoganh ,2025-05-05 11:34:02,05/05/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7500815254536850193,https://www.tiktok.com/@phoganh8461/video/7500815218147118354,20,82000,1555,955200,1234,117,phoganh,False,False,phoganh8461,False,False,True,0,1,17,0,1,0,0,0,0
grwm nhma tôi là yapper… #phoganh #dalbavn #dalbapurple #dalbakcn ,2025-04-27 19:00:35,27/04/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7497961663002495761,https://www.tiktok.com/@phoganh8461/video/7497961632035802376,135,21700,152,392200,227,51,"phoganh, dalbavn, dalbapurple, dalbakcn",False,False,phoganh8461,False,False,False,0,4,5,0,0,0,1,0,1
đang mid sem break phát tín hiệu cho nhà mình nì!! chời ơi n healing mà n đãaaa #phoganh ,2025-04-26 20:26:58,26/04/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7497612852570295057,https://www.tiktok.com/@phoganh8461/video/7497612800945081618,14,8400,139,161300,63,28,phoganh,False,False,phoganh8461,False,False,False,0,1,18,0,0,0,1,0,1
bộ đôi cứu trợ cho người mắc ngủ quên TT #phoganh #jumiso #serumha #kemduongha #hyaluronicacid ,2025-04-24 19:30:23,24/04/2025,True,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7496856235457121041,https://www.tiktok.com/@phoganh8461/video/7496856057709333778,91,8980,52,336700,110,19,"phoganh, jumiso, serumha, kemduongha, hyaluronicacid",False,False,phoganh8461,False,False,False,0,5,10,0,0,0,1,0,0
"thông điệp cần phải nhớ nè!!
#phoganh ",2025-04-23 19:38:13,23/04/2025,False,https://www.tiktok.com/@phoganh8461,nhạc nền - oui,7467935596023958273,https://www.tiktok.com/@phoganh8461/video/7496486984903445778,12,53500,1319,633200,1605,55,phoganh,False,False,phoganh8461,False,False,False,0,1,6,0,0,0,1,0,0
anh đang hơi oải #phoganh ,2025-04-19 14:34:42,19/04/2025,False,https://www.tiktok.com/@phoganh8461,nhạc nền - Cái Page Nhạc Rap 🎶,7475950274680064769,https://www.tiktok.com/@phoganh8461/video/7494924424508886290,15,73800,1076,803400,1833,99,phoganh,False,False,phoganh8461,False,False,False,0,1,4,0,0,1,0,0,1
(he calls me baby) #phoganh ,2025-04-16 17:49:22,16/04/2025,False,https://www.tiktok.com/@phoganh8461,Good luck babe,7384216357398678277,https://www.tiktok.com/@phoganh8461/video/7493861336984587528,15,47800,428,506500,790,60,phoganh,False,False,phoganh8461,False,False,False,0,1,4,0,0,1,0,0,0
xá xị mà ở meo bơn @𝖈𝖍𝖎𝖎𝖓𝖌𝖆𝖔𝖘 🐼 @baohannguyenxhelia  #phoganh ,2025-04-15 18:24:12,15/04/2025,False,https://www.tiktok.com/@phoganh8461,nhạc nền - 𝙉𝙞 𝙘ô 𝙡𝙖𝙞 𝘽𝘿,7483020284518337297,https://www.tiktok.com/@phoganh8461/video/7493499227557924103,13,136800,1858,2000000,1552,180,", , phoganh",False,False,phoganh8461,False,False,False,1,1,8,0,0,0,1,0,0
cách để mũi tôi sáng hơn cái bóng đèn!! #phoganh #jumiso #blackhead #toner ,2025-04-14 19:00:49,14/04/2025,True,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7493137606274157329,https://www.tiktok.com/@phoganh8461/video/7493137580666457362,138,6103,62,201400,146,32,"phoganh, jumiso, blackhead, toner",False,False,phoganh8461,False,False,False,0,4,9,0,0,0,1,0,0
hey cupíd #phoganh ,2025-04-13 14:11:45,13/04/2025,False,https://www.tiktok.com/@phoganh8461,Stupid Cupid,6823965587648022529,https://www.tiktok.com/@phoganh8461/video/7492691999493999890,12,33600,400,420800,518,77,phoganh,False,False,phoganh8461,False,False,False,0,1,2,0,0,1,0,0,1
bản draft đã phân vân nên đăng hay ko ehe (hnay mới thí xinh) #phoganh ,2025-04-09 17:02:53,09/04/2025,False,https://www.tiktok.com/@phoganh8461,original sound,6822949576106838789,https://www.tiktok.com/@phoganh8461/video/7491251756203101447,11,12900,148,209700,164,47,phoganh,False,False,phoganh8461,False,False,False,0,1,14,0,0,1,0,0,0
xin được đính chính mọi tin đồn về chúng tôi @𝖈𝖍𝖎𝖎𝖓𝖌𝖆𝖔𝖘 🐼 #phoganh ,2025-04-07 19:10:26,07/04/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7490542503175703313,https://www.tiktok.com/@phoganh8461/video/7490542456107289863,122,24100,133,303400,324,46,", phoganh",False,False,phoganh8461,False,False,False,1,1,11,0,0,0,1,0,0
oh i miss you come hereee #phoganh ,2025-04-05 18:03:41,05/04/2025,False,https://www.tiktok.com/@phoganh8461,original sound,7439593101200476959,https://www.tiktok.com/@phoganh8461/video/7489782964004474167,8,25500,223,348000,366,30,phoganh,False,False,phoganh8461,False,False,False,0,1,6,0,0,0,1,0,1
úp đết thi cử và hậu thi cử #phoganh ,2025-04-04 20:13:03,04/04/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7489445341173467959,https://www.tiktok.com/@phoganh8461/video/7489445325258657030,23,8869,81,154700,148,26,phoganh,False,False,phoganh8461,False,False,True,0,1,8,0,0,0,1,0,0
random vid cosss im feelin prettyyy #phoganh ,2025-04-01 09:44:44,01/04/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7488170166904294149,https://www.tiktok.com/@phoganh8461/video/7488170162475027767,12,12900,149,179300,185,48,phoganh,False,False,phoganh8461,False,False,False,0,1,6,0,1,0,0,0,0
ai hỏi tui đâu zơ tay coaiii #phoganh #therealielts ,2025-03-30 18:49:13,30/03/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7487568520209763078,https://www.tiktok.com/@phoganh8461/video/7487568302919650615,67,15600,146,234800,688,46,"phoganh, therealielts",False,False,phoganh8461,False,False,False,0,2,7,0,0,0,1,0,1
tôi confirm #phoganh ,2025-03-29 21:06:02,29/03/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7487232488977910533,https://www.tiktok.com/@phoganh8461/video/7487232476935474438,21,19200,472,266300,367,49,phoganh,False,False,phoganh8461,False,False,False,0,1,2,0,0,0,1,0,1
top những thứ hong thể bỏ quaa: #phoganh  ,2025-03-28 20:37:04,28/03/2025,True,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7486854397994453766,https://www.tiktok.com/@phoganh8461/video/7486853925111483654,141,15600,74,342400,272,38,phoganh,False,False,phoganh8461,False,False,False,0,1,7,0,0,0,1,0,0
cảm xúc của tôi 2 tuần nay 🥰 lỡ mà có đăng hơi ít vid nhà mìn thông cảm choa iem iem đang bị dí quâ hihihi #phoganh ,2025-03-24 20:58:55,24/03/2025,False,https://www.tiktok.com/@phoganh8461,original sound,7202604869516151557,https://www.tiktok.com/@phoganh8461/video/7485375218651893010,7,21900,162,341500,445,30,phoganh,False,False,phoganh8461,False,False,False,1,1,26,0,0,0,1,0,0
giải pháp cho cơn buồn ngủ khi còn lec chưa xem xong và 1 tiếng nữa vào học #phoganh ,2025-03-20 19:57:39,20/03/2025,False,https://www.tiktok.com/@phoganh8461,Funny,6927016038370428930,https://www.tiktok.com/@phoganh8461/video/7483875101495135506,24,16100,496,278000,189,51,phoganh,False,False,phoganh8461,False,False,False,0,1,18,0,0,0,1,0,0
chủ nhật chiu chiu cho 1 ngày thứ 2 bùn hiu #phoganh ,2025-03-17 19:32:59,17/03/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7482755513952897808,https://www.tiktok.com/@phoganh8461/video/7482755479379266834,44,10600,97,142700,190,43,phoganh,False,False,phoganh8461,False,False,False,0,1,11,0,0,0,1,0,0
thiên thần của tôi vào mùa hè #phoganh #beplain ,2025-03-14 19:32:56,14/03/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7481642363296418561,https://www.tiktok.com/@phoganh8461/video/7481642207506615570,67,15500,135,216600,190,41,"phoganh, beplain",False,False,phoganh8461,False,False,False,0,2,7,0,0,0,1,0,0
dont forget to kiss me #phoganh ,2025-03-11 20:39:48,11/03/2025,False,https://www.tiktok.com/@phoganh8461,Glue song acoustic,7335631564082416426,https://www.tiktok.com/@phoganh8461/video/7480546183950241032,11,73400,1346,725200,1601,150,phoganh,False,False,phoganh8461,False,False,False,0,1,5,0,0,0,1,0,0
,2025-03-08 20:20:18,08/03/2025,False,https://www.tiktok.com/@phoganh8461,party 4 u,7179117961804843781,https://www.tiktok.com/@phoganh8461/video/7479427912744062216,14,14500,117,164700,164,13,,False,False,phoganh8461,False,False,False,0,0,0,0,0,0,1,0,1
hnay biến thành bông hoa hồng  #phoganh ,2025-03-08 19:43:21,08/03/2025,False,https://www.tiktok.com/@phoganh8461,love grows,7353670083983493921,https://www.tiktok.com/@phoganh8461/video/7479418384053046536,15,28700,309,284500,399,42,phoganh,False,False,phoganh8461,False,False,True,0,1,6,0,0,0,1,0,1
gửi thông điệp 8/3 cho cả nhà iuuu #phoganh #gslay ,2025-03-07 19:41:05,07/03/2025,True,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7479046876367276816,https://www.tiktok.com/@phoganh8461/video/7479046715232767240,141,27700,189,561100,271,60,"phoganh, gslay",False,False,phoganh8461,False,False,True,0,2,8,0,0,0,1,0,0
em trả bài c hà vy ơi #phoganh ,2025-03-05 19:15:15,05/03/2025,False,https://www.tiktok.com/@phoganh8461,nhạc nền - Hip Hop National VN,7462366596158573329,https://www.tiktok.com/@phoganh8461/video/7478297888863292690,15,156500,2401,1500000,3162,184,phoganh,False,False,phoganh8461,False,False,False,0,1,7,0,0,0,1,0,0
cách tui cíu da mình khỏi cái sự nước ở meo #phoganh #9wishes ,2025-03-04 19:32:14,04/03/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7477931226009389841,https://www.tiktok.com/@phoganh8461/video/7477931177790295304,139,12700,52,232100,139,41,"phoganh, 9wishes",False,False,phoganh8461,False,False,False,0,2,11,0,0,0,1,0,0
1 ngày làm ôn dĩ phàm #phoganh ,2025-03-03 19:04:10,03/03/2025,False,https://www.tiktok.com/@phoganh8461,nhạc nền - hazu.,7475177070025263873,https://www.tiktok.com/@phoganh8461/video/7477552859706297618,22,57200,1519,478500,1798,197,phoganh,False,False,phoganh8461,False,False,False,0,1,6,0,0,0,1,0,0
gửi tín hiệu sắm khuyên từ meo bonnnn #phoganh #xokhuyen #xokhuyenhn #piercing #khuyentai #phukien ,2025-03-02 12:00:17,02/03/2025,True,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7477072662678850305,https://www.tiktok.com/@phoganh8461/video/7477072526116539655,106,33300,327,702900,759,55,"phoganh, xokhuyen, xokhuyenhn, piercing, khuyentai, phukien",False,False,phoganh8461,False,False,False,0,6,8,0,0,1,0,0,1
một người iu thit hương thơmmm #phoganh #dememoria #bodymist #bodymistkhongcon ,2025-03-01 19:13:06,01/03/2025,True,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7476813160503184129,https://www.tiktok.com/@phoganh8461/video/7476812993699859719,162,48500,397,935800,2703,132,"phoganh, dememoria, bodymist, bodymistkhongcon",False,False,phoganh8461,False,False,False,0,4,6,0,0,0,1,0,1
xin thứ lỗi choa chiếc môi quên dưỡng và giao diện lúc skincare nho hihi #phoganh #skin1004 #brighteningampoule #duongsangda ,2025-02-28 19:45:44,28/02/2025,True,https://www.tiktok.com/@phoganh8461,nhạc nền - phờ ganh,7476450418432723728,https://www.tiktok.com/@phoganh8461/video/7476450323976965394,133,13400,90,296600,506,36,"phoganh, skin1004, brighteningampoule, duongsangda",False,False,phoganh8461,False,False,False,0,4,15,0,0,0,1,0,0
#phoganh ,2025-02-24 21:04:01,24/02/2025,False,https://www.tiktok.com/@phoganh8461,orijinal ses,7275319393926597382,https://www.tiktok.com/@phoganh8461/video/7474986154987621640,11,109400,1016,1100000,2656,155,phoganh,False,False,phoganh8461,False,False,False,0,1,0,0,0,0,1,0,0
smiski gì chưa mấy người đẹp   ft. @tony ☆ @bống #phoganh ,2025-02-23 12:56:56,23/02/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7474489873866132225,https://www.tiktok.com/@phoganh8461/video/7474489531648052488,187,14000,217,256800,119,37,", , phoganh",False,False,phoganh8461,False,False,False,1,1,9,0,0,1,0,0,1
hey 🌹 #phoganh ,2025-02-22 11:57:21,22/02/2025,False,https://www.tiktok.com/@phoganh8461,Roses - Hey Rose,6854626179467446273,https://www.tiktok.com/@phoganh8461/video/7474103099418922248,15,41500,698,438700,987,57,phoganh,False,False,phoganh8461,False,False,False,1,1,1,0,1,0,0,0,1
anh ấy khen tôi xinh gái #phoganh ,2025-02-21 18:06:28,21/02/2025,False,https://www.tiktok.com/@phoganh8461,original sound,7396093844519635718,https://www.tiktok.com/@phoganh8461/video/7473827137196346631,11,67700,1030,630700,1569,121,phoganh,False,False,phoganh8461,False,False,False,0,1,6,0,0,0,1,0,0
đủ thời lượng bữa ăn luôn tr #phoganh ,2025-02-20 11:10:11,20/02/2025,False,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7473349448773421840,https://www.tiktok.com/@phoganh8461/video/7473348772941106439,398,36100,189,488100,594,66,phoganh,False,False,phoganh8461,False,False,False,0,1,7,0,1,0,0,0,0
