text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
😆😆💓💓 #phuongly #uefachampionsleague #weloveVietNam ,2025-06-04 20:31:34,04/06/2025,False,https://www.tiktok.com/@phuonglytran,nhạc nền - Phương Ly Trần,7512086342088542993,https://www.tiktok.com/@phuonglytran/video/7512086305493339400,27,12100,26,295000,123,44,"phuongly, uefachampionsleague, welovevietnam",False,False,phuonglytran,False,False,False,1,3,0,0,0,0,1,0,0
😱😱 tận mắt xem Final Champions League  2025 Oigioioiiiiii #uefa  #uefachampionsleague #phuongly ,2025-06-02 22:39:58,02/06/2025,False,https://www.tiktok.com/@phuonglytran,UEFA Champions League Anthem (Full Version),7080497118993926146,https://www.tiktok.com/@phuonglytran/video/7511377225023851794,87,6020,49,187500,88,53,"uefa, uefachampionsleague, phuongly",False,False,phuonglytran,False,False,False,1,3,8,0,0,0,0,1,0
Em là báu vật lung linhhh ✨🫶 #phuongly #emxinhsayhi ,2025-06-02 17:12:20,02/06/2025,False,https://www.tiktok.com/@phuonglytran,ĐÃ XINH LẠI CÒN THÔNG MINH,7509900954105415696,https://www.tiktok.com/@phuonglytran/video/7511292791356394760,30,75800,778,931000,1202,345,"phuongly, emxinhsayhi",False,False,phuonglytran,False,False,False,1,2,6,0,0,1,0,0,0
Đi đu kk #phuongly #emxinh ,2025-05-28 17:02:18,28/05/2025,False,https://www.tiktok.com/@phuonglytran,BRODYAGA FUNK,7301780315835336705,https://www.tiktok.com/@phuonglytran/video/7509434788063825160,10,7939,28,254000,118,42,"phuongly, emxinh",False,False,phuonglytran,False,False,False,0,2,3,0,0,1,0,0,0
Dừng đèn đỏ quẩy Nhạc trẻ remix tiktok triệu view hay nhất hiện nay 🤡  @Andree Right Hand   #tiktokgiaitri ,2025-05-18 01:34:39,17/05/2025,False,https://www.tiktok.com/@phuonglytran,nhạc nền - Andree Right Hand,7504304674187938577,https://www.tiktok.com/@phuonglytran/video/7505484865526336776,50,77100,2585,1500000,1183,218,", tiktokgiaitri",False,False,phuonglytran,False,False,False,1,1,17,1,0,0,0,0,1
Tít tót k fai là cha #phuongly ,2025-05-15 19:56:39,15/05/2025,False,https://www.tiktok.com/@phuonglytran,nhạc nền - Hùng Didu,7489000830180412215,https://www.tiktok.com/@phuonglytran/video/7504655604699499783,40,127200,2873,2600000,2064,328,phuongly,False,False,phuonglytran,False,False,False,0,1,6,0,0,0,1,0,0
😭😭 #phuongly #emxinhsayhi ,2025-05-13 11:38:23,13/05/2025,False,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7503785061012081409,https://www.tiktok.com/@phuonglytran/video/7503785020193115399,8,41200,540,658000,499,101,"phuongly, emxinhsayhi",False,False,phuonglytran,False,False,False,1,2,0,0,1,0,0,0,0
Nói Yêu PhươngLy ngay 🔫 #phuongly #emxinhsayhi ,2025-05-12 14:27:53,12/05/2025,False,https://www.tiktok.com/@phuonglytran,original sound - Monsterpandaz0,7403594305434471184,https://www.tiktok.com/@phuonglytran/video/7503457616610348306,26,3179,26,139100,81,51,"phuongly, emxinhsayhi",False,False,phuonglytran,False,False,False,1,2,4,0,0,1,0,0,0
Em dự tiệc 😍 #phuongly #CHANEL ,2025-05-11 13:28:34,11/05/2025,False,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7503071288987077393,https://www.tiktok.com/@phuonglytran/video/7503071254522481927,19,2002,10,124900,43,23,"phuongly, chanel",False,False,phuonglytran,False,False,False,1,2,3,0,0,1,0,0,1
🐥 #phuongly #emxinhsayhi ,2025-05-09 23:21:16,09/05/2025,False,https://www.tiktok.com/@phuonglytran,original sound - soundeffectpack,7228376648436026155,https://www.tiktok.com/@phuonglytran/video/7502481815752494354,15,37600,2767,974100,418,531,"phuongly, emxinhsayhi",False,False,phuonglytran,False,False,False,1,2,0,0,0,0,0,1,0
Bts Emxinh PhuongLy sayhi 😍😍 #emxinhsayhi #emxinh #phuongly @QuiDoanMakeup ,2025-05-03 21:56:53,03/05/2025,False,https://www.tiktok.com/@phuonglytran,Dilemma,6753479840613009409,https://www.tiktok.com/@phuonglytran/video/7500233573216095506,35,9522,121,201800,167,77,"emxinhsayhi, emxinh, phuongly, ",False,False,phuonglytran,False,False,False,1,3,5,0,0,0,1,0,1
Emxinh PhuongLy sayhi 💓🙏🏻🥰🥰 #emxinhsayhi #phuongly #emxinh ,2025-05-02 15:23:25,02/05/2025,False,https://www.tiktok.com/@phuonglytran,Anh Là Ngoại Lệ Của Em,7286025102625048578,https://www.tiktok.com/@phuonglytran/video/7499761077194902802,12,23800,209,325500,271,123,"emxinhsayhi, phuongly, emxinh",False,False,phuonglytran,False,False,False,1,3,3,0,0,1,0,0,0
Bts “ littlelove “ 🦋 #phuongly #littlelove #endoftheworld ,2025-04-01 15:31:46,01/04/2025,False,https://www.tiktok.com/@phuonglytran,intro (end of the world) - extended,7485766370375632913,https://www.tiktok.com/@phuonglytran/video/7488259570930830598,23,26300,253,400600,1993,47,"phuongly, littlelove, endoftheworld",False,False,phuonglytran,False,False,False,1,3,4,0,0,1,0,0,0
Mng kiểu 🙄🙄 #phuongly ,2025-02-27 22:33:47,27/02/2025,False,https://www.tiktok.com/@phuonglytran,original sound,7453956871722208042,https://www.tiktok.com/@phuonglytran/video/7476122549839990024,17,22100,107,623700,155,43,phuongly,False,False,phuonglytran,False,False,False,1,1,2,0,0,0,0,1,0
