text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
"Unboxing p.2 còn p.3 🤦‍♀️

#boxing #makeup #kbeauty #reviewmypham #sephora #goclamdep #learnontiktok ",2025-06-13 18:20:52,13/06/2025,False,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7515392492970085121,https://www.tiktok.com/@rose_do18/video/7515392395349871880,172,103,7,1436,3,6,"boxing, makeup, kbeauty, reviewmypham, sephora, goclamdep, learnontiktok",False,False,rose_do18,False,True,False,2,7,5,0,0,0,1,0,0
"✨Unboxing với Tui nè 🧡

#unboxing #sephorahaul #sephora 
@ONE SIZE BEAUTY @Pat McGrath Labs #peachandlily #glowyskin 
#goclamdep #mypham #highend ",2025-06-12 18:21:23,12/06/2025,False,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7515021512706624273,https://www.tiktok.com/@rose_do18/video/7515021441906068743,154,361,5,4324,28,46,"unboxing, sephorahaul, sephora, peachandlily, glowyskin, goclamdep, mypham, highend",False,False,rose_do18,False,True,False,2,8,10,0,0,0,1,0,0
"🤩 Fill đầy cốp son bóng cùng Maybelline💄

#Maybelline #makeup #MaybellinePartner 
#reviewlamdep #reviewson #sonbong #goclamdep #reviewmypham #highend ",2025-06-11 19:16:23,11/06/2025,False,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7514664567423716113,https://www.tiktok.com/@rose_do18/video/7514664527141620999,126,113,2,2045,7,17,"maybelline, makeup, maybellinepartner, reviewlamdep, reviewson, sonbong, goclamdep, reviewmypham, highend",False,False,rose_do18,False,True,False,2,9,7,0,0,0,1,0,0
"🤩Kem nền Estée Lauder có dày như tưởng tượng 🤓 

#MyShadeMyStory
#WatchMe
#esteelauder #kemnen #makeup #reviewmakeup #reviewlamdep #goclamdep #makeup ",2025-06-10 19:16:28,10/06/2025,False,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7514293593055628033,https://www.tiktok.com/@rose_do18/video/7514293465472109831,256,273,3,3984,15,40,"myshademystory, watchme, esteelauder, kemnen, makeup, reviewmakeup, reviewlamdep, goclamdep, makeup",False,True,rose_do18,False,True,False,2,9,9,0,0,0,1,0,0
"🧏‍♀️Try on son bóng mệnh danh bản dupe đẹp hơn lip oil Di_or 😝

#elf #lipoil #makeup #goclamdep ",2025-06-09 19:58:48,09/06/2025,False,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7513933347303836433,https://www.tiktok.com/@rose_do18/video/7513933277623880968,75,132,2,1987,4,26,"elf, lipoil, makeup, goclamdep",False,False,rose_do18,False,True,False,3,4,13,0,0,0,1,0,0
"Sự thật đằng sau các clip makeup của Tui 🤪🤪🤪 

#shelby #makeup #goclamdep #viral ",2025-06-08 22:03:16,08/06/2025,False,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7513594308085369617,https://www.tiktok.com/@rose_do18/video/7513594280175340807,14,80,1,1423,2,9,"shelby, makeup, goclamdep, viral",False,False,rose_do18,False,True,False,1,4,9,0,0,0,0,1,1
"@𝐒𝐇𝐄𝐋𝐁𝐘 𝐀𝐍𝐍 I want to send you a hug from Vietnam 🙋‍♀️🤗💋

#shelby #drugstoremakeup #drugstore #makeuptutorial #makeup #goclamdep 
@Maybelline New York 
#lorealparis #loreal 
@elfcosmetics
@Thayers 
@So Natural Việt Nam #fixxsettingspray 
@Silkygirl Cosmetics PH 
@Silkygirl Việt Nam 
@AZTK Việt Nam ",2025-06-08 19:21:15,08/06/2025,False,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7513552696213867281,https://www.tiktok.com/@rose_do18/video/7513552527720287496,503,288,19,4379,29,10,", shelby, drugstoremakeup, drugstore, makeuptutorial, makeup, goclamdep, , lorealparis, loreal, , , , fixxsettingspray, , , ",False,False,rose_do18,False,True,False,3,9,30,0,0,0,1,0,1
"Cuối tuần vui vẻ nha mấy Người Đẹp🧏‍♀️ 
#makeup #goclamdep ",2025-06-07 11:46:42,07/06/2025,False,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7513064337955670801,https://www.tiktok.com/@rose_do18/video/7513064308314508551,14,188,1,3125,8,85,"makeup, goclamdep",False,False,rose_do18,False,True,False,2,2,8,0,1,0,0,0,1
"✨Try on son bóng Maybelline dòng Lifter Gloss hot rần rần trời Tây nay đã về 🇻🇳❤️💁‍♀️
#Maybelline #makeup #MaybellinePartner 
#reviewlamdep #reviewmakeup #goclamdep #learnontiktok ",2025-06-06 18:35:47,06/06/2025,False,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7512798680156474129,https://www.tiktok.com/@rose_do18/video/7512798647277391111,35,763,41,5145,49,25,"maybelline, makeup, maybellinepartner, reviewlamdep, reviewmakeup, goclamdep, learnontiktok",False,True,rose_do18,False,True,False,4,7,17,0,0,0,1,0,0
"Thời tới rồi mấy Mom ơi. Ựng dí rồi 🤦‍♀️

#reviewlamdep #matna #makeup #reviewmakeup #goclamdep #skincare #chamda 
#WIS#WISSVN ",2025-06-05 18:38:23,05/06/2025,False,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7512428258433944336,https://www.tiktok.com/@rose_do18/video/7512428227315485960,69,94,1,1886,5,8,"reviewlamdep, matna, makeup, reviewmakeup, goclamdep, skincare, chamda, wis, wis",False,False,rose_do18,False,True,False,2,9,10,0,0,0,1,0,0
