text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Chúc các bạn đánh nền bon tay #ipknvn #ipkn #cushiontonecover #rating #review ,2025-06-13 12:22:36,13/06/2025,False,https://www.tiktok.com/@thangmakeup,nhạc nền - Thắng Makeup,7515300096163760912,https://www.tiktok.com/@thangmakeup/video/7515300066509229320,105,1535,6,11500,70,1,"ipknvn, ipkn, cushiontonecover, rating, review",False,False,thangmakeup,False,False,False,0,5,7,0,0,1,0,0,0
Thêm một mã mi đẹp chấn động!!! #MlenDiary #MlenDiaryMermaid #bienhinhtienca #SamDealChienHe #beautytok #goclamdep ,2025-06-12 19:01:08,12/06/2025,False,https://www.tiktok.com/@thangmakeup,Mermaid,7503924649877637931,https://www.tiktok.com/@thangmakeup/video/7515031691979672840,114,187,4,4696,15,10,"mlendiary, mlendiarymermaid, bienhinhtienca, samdealchienhe, beautytok, goclamdep",False,False,thangmakeup,False,False,False,0,6,7,0,0,0,1,0,0
mấy món tui muốn thử không 🫢,2025-06-12 12:00:15,12/06/2025,False,https://www.tiktok.com/@thangmakeup,vanilla flavor,7405116643943761936,https://www.tiktok.com/@thangmakeup/video/7514923213772639495,30,1259,57,15500,101,11,,False,False,thangmakeup,False,False,False,1,0,6,0,0,1,0,0,0
WARM TONE mà make COOL TONE tại sao ko #clubcliovietnam #cushionclio #makeupclio #peripera #periperavietnam #sonperipera ,2025-06-10 18:03:30,10/06/2025,False,https://www.tiktok.com/@thangmakeup,nhạc nền - Thắng Makeup,7514274718321527569,https://www.tiktok.com/@thangmakeup/video/7514274669021711634,95,2749,11,21500,120,15,"clubcliovietnam, cushionclio, makeupclio, peripera, periperavietnam, sonperipera",False,False,thangmakeup,False,False,False,0,6,9,0,0,0,1,0,0
Những món đồ makeup mua theo douyin và...,2025-06-09 18:00:29,09/06/2025,False,https://www.tiktok.com/@thangmakeup,vanilla flavor,7405116643943761936,https://www.tiktok.com/@thangmakeup/video/7513902803643845896,163,12300,454,124400,2852,83,,False,False,thangmakeup,False,False,False,0,0,8,0,0,0,1,0,0
Oidoioi oidoioi 🫢,2025-06-08 21:02:53,08/06/2025,False,https://www.tiktok.com/@thangmakeup,vanilla flavor,7405116643943761936,https://www.tiktok.com/@thangmakeup/video/7513578719475174663,42,1078,123,19300,43,12,,False,False,thangmakeup,False,False,False,1,0,2,0,0,0,1,0,1
Từ ngày em red earth hot bên trung ra quá trời kem lót dạng này 🫢,2025-06-07 21:00:35,07/06/2025,False,https://www.tiktok.com/@thangmakeup,оригинальный звук,7322130380314790688,https://www.tiktok.com/@thangmakeup/video/7513207042979532050,8,2670,81,55400,291,27,,False,False,thangmakeup,False,False,False,1,0,15,0,0,0,1,0,1
chỉ so chất với mùi thôi chứ vỏ là thua luôn 😵‍💫,2025-06-06 18:00:09,06/06/2025,False,https://www.tiktok.com/@thangmakeup,vanilla flavor,7405116643943761936,https://www.tiktok.com/@thangmakeup/video/7512789455233830151,63,1885,24,23600,131,11,,False,False,thangmakeup,False,False,False,2,0,12,0,0,0,1,0,0
phấn còn in hình các địa danh nổi tiếng tại Việt Nam xinh quá nè #meopp #reviewlamdep #makeup #beautytok #goclamdep #fyp ,2025-06-05 21:03:56,05/06/2025,False,https://www.tiktok.com/@thangmakeup,nhạc nền - Thắng Makeup,7512465775551122192,https://www.tiktok.com/@thangmakeup/video/7512465737777220882,51,194,7,9588,25,6,"meopp, reviewlamdep, makeup, beautytok, goclamdep, fyp",False,False,thangmakeup,False,False,False,0,6,15,0,0,0,1,0,0
tone makeup hợp mùa hè quá nè #sunkisser  #maybelline #makeup #maybellinepartner,2025-06-05 12:02:14,05/06/2025,False,https://www.tiktok.com/@thangmakeup,nhạc nền - Thắng Makeup,7512326165084867344,https://www.tiktok.com/@thangmakeup/video/7512326133292010770,35,296,8,12200,16,6,"sunkisser, maybelline, makeup, maybellinepartner",False,False,thangmakeup,False,False,True,0,4,7,0,0,1,0,0,0
