text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
"Mẹ tui cỡ này 🎈
#viral ",2025-06-12 19:58:35,12/06/2025,False,https://www.tiktok.com/@thanhhuongord,Perf,318377376336257024,https://www.tiktok.com/@thanhhuongord/video/7515046491090734344,0,25,0,734,0,0,viral,True,False,thanhhuongord,False,False,False,1,1,4,0,0,0,1,0,0
"Cushion YSL limited vỏ đỏ 2025🍓🎈🎀
#beautytips #yslbeauty #cushion #reviewlamdep #goclamdep #xuhuong ",2025-06-11 19:15:10,11/06/2025,False,https://www.tiktok.com/@thanhhuongord,Stuck With Me (feat. Little Dragon),5000000001363300714,https://www.tiktok.com/@thanhhuongord/video/7514664222605724946,11,10,0,537,0,2,"beautytips, yslbeauty, cushion, reviewlamdep, goclamdep, xuhuong",False,False,thanhhuongord,False,False,False,1,6,6,0,0,0,1,0,0
"Dior maximizer 024 đỏ gạch 🔥
#lipstick #reviewlamdep #trendingtiktok #beautytips #sonmoidep ",2025-06-11 10:26:39,11/06/2025,False,https://www.tiktok.com/@thanhhuongord,オリジナル楽曲 - ︎︎,7184754527424350978,https://www.tiktok.com/@thanhhuongord/video/7514528018266606856,0,16,0,537,4,0,"lipstick, reviewlamdep, trendingtiktok, beautytips, sonmoidep",True,False,thanhhuongord,False,False,False,1,5,5,0,1,0,0,0,0
"Chai nước hoa mùi sang điêng 🍓🎀
#reviewlamdep #thơm #libre #goclamdep #trendingtiktok #perfume #yslbeauty ",2025-06-10 20:16:24,10/06/2025,False,https://www.tiktok.com/@thanhhuongord,Heartbeat,6470429323492150030,https://www.tiktok.com/@thanhhuongord/video/7514308913550888200,0,16,1,638,2,2,"reviewlamdep, thơm, libre, goclamdep, trendingtiktok, perfume, yslbeauty",True,False,thanhhuongord,False,False,False,1,7,6,0,0,0,1,0,0
"𝐋𝐚𝐧𝐜𝐨𝐦𝐞 𝟐𝟕𝟕 - 𝐅𝐫𝐞𝐧𝐜𝐡 𝐓𝐞𝐚 𝐂𝐡𝐨𝐜𝐨𝐥𝐚𝐭 🎀🎀
#lipstick #reviewlamdep #goclamdep #beautytips #trendingtiktok #xuhuong #lancome ",2025-06-10 14:43:02,10/06/2025,False,https://www.tiktok.com/@thanhhuongord,"Yours (feat. LeeHi, CHANGMO)",6881604721321183233,https://www.tiktok.com/@thanhhuongord/video/7514222997280967954,0,9,0,505,1,0,"lipstick, reviewlamdep, goclamdep, beautytips, trendingtiktok, xuhuong, lancome",True,False,thanhhuongord,False,False,False,1,7,6,0,0,1,0,0,0
"Bảng phấn mắt Chanel 5 ô 🔥
#beauty #reviewlamdep #goclamdep #chanel #beautytips #trendingtiktok ",2025-06-09 17:29:01,09/06/2025,False,https://www.tiktok.com/@thanhhuongord,Sweatshirt,7215859009403029505,https://www.tiktok.com/@thanhhuongord/video/7513894685853699336,18,12,1,823,1,1,"beauty, reviewlamdep, goclamdep, chanel, beautytips, trendingtiktok",False,False,thanhhuongord,False,False,False,1,6,6,0,0,1,0,0,0
"Son MAC màu nào đẹp? 
#beauty #lipstick #macbeauty #goclamdep #reviewlamdep #trendingtiktok ",2025-06-09 15:38:56,09/06/2025,False,https://www.tiktok.com/@thanhhuongord,Title,7033166270723902214,https://www.tiktok.com/@thanhhuongord/video/7513866320446770450,0,10,0,724,4,1,"beauty, lipstick, macbeauty, goclamdep, reviewlamdep, trendingtiktok",True,False,thanhhuongord,False,False,False,0,6,5,0,0,1,0,0,0
,2025-06-08 18:04:06,08/06/2025,False,https://www.tiktok.com/@thanhhuongord,KHÔNG SAO CẢ (feat. 7dnight),7440152979820644369,https://www.tiktok.com/@thanhhuongord/video/7513532647809879304,0,5163,1131,153200,897,127,,True,False,thanhhuongord,False,False,False,0,0,0,0,0,0,1,0,1
"Highlight Dior 004 🎀
#beauty #beautytips #goclamdep #reviewlamdep #xuhuong ",2025-06-08 16:19:47,08/06/2025,False,https://www.tiktok.com/@thanhhuongord,kiss it better x streets,7262334038621342469,https://www.tiktok.com/@thanhhuongord/video/7513505767224364296,0,13,0,646,0,2,"beauty, beautytips, goclamdep, reviewlamdep, xuhuong",True,False,thanhhuongord,False,False,False,1,5,3,0,0,1,0,0,1
"Son xinh tone cam 🐳
#lipstick #goclamdep #beauty #reviewlamdep #trending ",2025-06-08 11:44:41,08/06/2025,False,https://www.tiktok.com/@thanhhuongord,原声 - 晚風𝑀𝑢𝑠𝑖𝑐.𝄞,7401781429528431365,https://www.tiktok.com/@thanhhuongord/video/7513434873466637576,0,23,1,1080,3,0,"lipstick, goclamdep, beauty, reviewlamdep, trending",True,False,thanhhuongord,False,False,False,1,5,4,0,1,0,0,0,1
