text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Trả lời @Phương vẫn đi làm đìu đìu nhoa bà kkk,2025-06-11 19:03:11,11/06/2025,False,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7514661188513368833,https://www.tiktok.com/@thanhyvo/video/7514661131466755346,119,5864,65,147500,169,35,,False,False,thanhyvo,True,False,False,0,0,11,0,0,0,1,0,0
Mi cụp dù chuốt mascara hay làm cong kĩ thì thử cách nì nhaaaa,2025-06-10 10:59:42,10/06/2025,True,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7514165517230394128,https://www.tiktok.com/@thanhyvo/video/7514165448217251079,88,17100,110,116500,750,18,,False,False,thanhyvo,True,False,False,0,0,14,0,1,0,0,0,0
Makeup mắt trước mấy chế thấy khác liền à #lanbena #skincare #matnamat #lanbenaeyemask #xuhuongtiktok,2025-06-04 16:01:46,04/06/2025,True,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7512016845419875073,https://www.tiktok.com/@thanhyvo/video/7512016767342955784,96,10900,24,135600,177,25,"lanbena, skincare, matnamat, lanbenaeyemask, xuhuongtiktok",False,False,thanhyvo,True,False,False,0,5,9,0,0,1,0,0,0
Đúng kiểu đi chơi đi học hong chịu đi mần 😂 đang làm giấy tờ năm sau em đi học rất rối quá🥲 chứ tiệm vẫn makeup như thường kkkk,2025-05-30 11:41:22,30/05/2025,False,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7510094285719620369,https://www.tiktok.com/@thanhyvo/video/7510094242967031047,127,7429,33,183200,100,48,,False,False,thanhyvo,True,False,False,2,0,29,0,1,0,0,0,0
Dứt chập cô dít nữa chắc hk còn nhớ gì luôn,2025-05-22 15:13:06,22/05/2025,False,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7507180355456092945,https://www.tiktok.com/@thanhyvo/video/7507180132193373447,103,10700,99,309200,313,116,,False,False,thanhyvo,True,False,False,0,0,11,0,0,1,0,0,0
Học tiếng Thái để làm Phiên dịch viên❌❌❌ học tiếng thái để hát karaoke ✅✅✅🤐,2025-05-14 15:31:21,14/05/2025,False,https://www.tiktok.com/@thanhyvo,เสียงต้นฉบับ - prang_suntaree,7363253880375708433,https://www.tiktok.com/@thanhyvo/video/7504216154756386056,58,19800,204,572500,690,487,,False,False,thanhyvo,True,False,False,2,0,14,0,0,1,0,0,0
Kì nì đầu tư thim xíu nên mấy chế thấy giả gái hết thấy lông necks rồi nhen #ulikevietnam #maytrietlong #ulikeair2,2025-05-10 16:06:56,10/05/2025,True,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7502741153089112848,https://www.tiktok.com/@thanhyvo/video/7502740980643138834,81,2357,43,299100,131,75,"ulikevietnam, maytrietlong, ulikeair2",False,False,thanhyvo,True,False,False,0,3,18,0,0,1,0,0,1
Top những thứ mà đi chụp ảnh ngoài nắng tui không thích nhứt khi makeuppppp #skincare #kemchongnang #kemchongnangchodadaumun #garniervn,2025-05-07 16:40:30,07/05/2025,True,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7501636495544011521,https://www.tiktok.com/@thanhyvo/video/7501636376681549074,102,15800,78,337300,387,67,"skincare, kemchongnang, kemchongnangchodadaumun, garniervn",False,False,thanhyvo,True,False,False,0,4,15,0,0,1,0,0,0
"Nuôi tóc để tự đi hiến❌
Nuôi tóc để rủ cả nhà đi hiến✅
1năm 10tháng nuôi tóc dài❤️ em, chị và mẹ đã thành công gửi đến thư viện tóc 3 phần tóc độ dài đều từ 30cm trở lên❤️🇻🇳",2025-05-06 19:42:06,06/05/2025,False,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7501312157254994705,https://www.tiktok.com/@thanhyvo/video/7501312097486146823,24,17900,105,982500,269,171,,False,False,thanhyvo,True,False,False,5,0,41,0,0,0,1,0,0
Hai bước vẽ chân mài diu dễ cho mấy chị #focallurevn #đổimàulôngmày #Focalluremascara #mascaralongmay #goclamdep ,2025-05-06 11:21:09,06/05/2025,True,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7501183187242994433,https://www.tiktok.com/@thanhyvo/video/7501182987006938376,90,7876,66,242800,282,66,"focallurevn, đổimàulôngmày, focalluremascara, mascaralongmay, goclamdep",False,False,thanhyvo,True,False,False,0,5,10,0,1,0,0,0,0
