text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
"Getting ready with Nhi tại fashion show đầu tiên của @FancìClub ở Sài Gòn! ✨🤎 cả nhà thấy outfit này của Nhi như thế nào nè? 😜 
#fancìclub #thaonhile #thaonhileofficial #tiktokgiaitri ",2025-06-11 19:51:33,11/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7514685345477626641,https://www.tiktok.com/@thaonhileofficial/video/7514673585588374792,162,1253,31,32100,15,14,", fancìclub, thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,2,4,25,0,0,0,1,0,0
"Hôm nay Nhi đu cùng các chị em xinh, em slay, em cháy nhất hệ đêm nay 💅🏻#fancìclub #quynhanhshyn #dongdaoemxinh #thaonhile #thaonhileofficial #tiktokgiaitri ",2025-06-10 23:45:08,10/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7514362723552086800,https://www.tiktok.com/@thaonhileofficial/video/7514362698012921096,9,675,9,18600,7,7,"fancìclub, quynhanhshyn, dongdaoemxinh, thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,1,6,17,0,0,0,0,1,0
"Các mom vô đây xem Nhi hoá phép làm tóc trong 10 phút nè 🪄Không cần đũa thần, chỉ cần… niềm tin và cây lược là “cháy”😌#thaonhile #thaonhileofficial #tiktokgiaitri #lamdep ",2025-06-08 20:26:23,08/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7513569337077746449,https://www.tiktok.com/@thaonhileofficial/video/7513569314658602247,21,439,5,16400,66,7,"thaonhile, thaonhileofficial, tiktokgiaitri, lamdep",False,False,thaonhileofficial,False,False,False,2,4,27,0,0,0,1,0,1
"Người ta cưới vì tiền, mình đi vì đồ @MAJE @Tam Sơn Fashion mới còn chưa có dịp mặc 🫣 #Majegirls #MajeVietnam #Majehighsummer #GranMelia ",2025-06-06 21:00:22,06/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7512835967149984528,https://www.tiktok.com/@thaonhileofficial/video/7512835899382697224,21,374,39,16700,10,3,", , majegirls, majevietnam, majehighsummer, granmelia",False,False,thaonhileofficial,False,False,False,1,4,19,0,0,0,1,0,0
"Bật mode Fancì
Mọi người thích outfit nào nhất? #fancìclub #thaonhile #thaonhileofficial #tiktokgiaitri ",2025-06-04 12:15:18,04/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7511958450839112449,https://www.tiktok.com/@thaonhileofficial/video/7511958422556773640,31,448,10,10300,7,8,"fancìclub, thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,0,4,9,0,0,1,0,0,0
"Cả nhà ơi, Nhi nè! 😎 1664 Blanc với anh Sơn Tùng M-TP đang rủ rê mình vô team “Đồng Gu” để nhận quà siêu chất, chi tiết Nhi để bên dưới comment nhaaaa!!! #BatXanhMoGuChat #1664Blanc #1664xsontungmtp ",2025-06-03 19:02:16,03/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7511692271009172240,https://www.tiktok.com/@thaonhileofficial/video/7511692214091681042,42,9137,6569,400800,40,19,"batxanhmoguchat, 1664blanc, 1664xsontungmtp",False,False,thaonhileofficial,False,False,True,1,3,33,0,0,0,1,0,0
"Vừa đặt chân vào YSL Beauty Vincom Đồng Khởi – concept boutique đầu tiên của YSL tại TP.HCM – Nhi đã cảm nhận được tinh thần thời thượng và tự do mà thương hiệu mang lại. Không gian tinh tế, mùi hương mê hoặc, ánh sáng hoàn hảo – nơi mọi giác quan đều được chiều chuộng đúng nghĩa 💛

Điểm nhấn không thể bỏ qua là Libre L’Eau Nue – phiên bản nước hoa mới, tươi mát mà vẫn quyến rũ đúng kiểu “tôi là chính tôi, và tôi lựa chọn rực rỡ theo cách mình muốn” 🌿🍊

Nếu đang tìm một mùi hương nhẹ nhàng nhưng vẫn đủ khiến người khác ngoái nhìn, thì đây chắc chắn là sự lựa chọn cho mùa hè này.

#YSLBeautyVN #makeup #fragrance #thaonhile #thaonhileofficial #tiktokgiaitri ",2025-06-02 19:42:07,02/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7511331479947856657,https://www.tiktok.com/@thaonhileofficial/video/7511331392601509128,41,3052,4,18000,16,4,"yslbeautyvn, makeup, fragrance, thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,2,6,125,0,0,0,1,0,0
Account ai người đấy đẹp nhé 🤭 #thaonhile #thaonhileofficial #tiktokgiaitri #yslbeautyvn #fragrance #makeup ,2025-06-01 19:22:09,01/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7510955209582299921,https://www.tiktok.com/@thaonhileofficial/video/7510955167513201938,12,323,1,7176,7,3,"thaonhile, thaonhileofficial, tiktokgiaitri, yslbeautyvn, fragrance, makeup",False,False,thaonhileofficial,False,False,False,1,6,6,0,0,0,1,0,1
"“Làm chủ hả? Cũng cũng á!"": Nhật ký làm baby CEO

Chia sẻ thiệt nè, làm chủ đâu phải lúc nào cũng lung linh.
Không phải lúc nào cũng dễ dàng, nhiều lúc còn không biết mình đang làm gì.
Nhưng mà… nó xứng đáng lắm á.

Không phải ai cũng có “lửa” để dấn thân, mà cũng không cần phải có.
Nhưng nếu trong bụng bạn đang râm ran cái gì đó thì đừng chờ “thời cơ""
Tin Nhi đi, không có cái gọi là ""thời cơ"" đó đâu.
Bắt đầu đi, làm nhỏ nhỏ cũng được. Quan trọng là phải BẮT ĐẦU!

1. Không phải ý tưởng hay là đủ mà là bạn làm gì với nó.
Ý tưởng thì nhan nhản.
Quan trọng là bạn nấu nó ra tô phở bò wagyu hay là đổ đi.
Thứ giữ Nhi đi tiếp là kỷ luật và đam mê nhất là mấy lúc cảm thấy muốn xách ba lô lên… và nghỉ chơi luôn.

Khi bạn thật sự tập trung, mọi thứ rõ ràng hơn.
Mà rõ rồi thì mới đi xa được.
Thành công không đến từ việc mình phải làm TẤT CẢ, mà đến từ việc bạn làm ĐÚNG THỨ, một cách đều đặn.

2. Niềm tin không phải cho là có mà phải xây nên.
Hồi mới vô nghề, Nhi… hơi ngây thơ. Tin người như tin KPI tháng này dễ thở.
Ai nói gì nghe cũng gật, tưởng ai cũng “tâm sáng như gương” vấy á.
Nhưng không nha. Cuộc đời không như mơ đâu các bà ơi!

Trong kinh doanh, tin lầm người là mất tiền thiệt đó.
Nhi học được cách phải hỏi, phải giữ tay vào guồng, phải tỉnh táo.
Vẫn có thể tử tế, nhưng phải tỉnh táo.
Niềm tin phải được gây dựng bằng hành động, không phải bằng mấy lời đường mật nha mấy người đẹp!

3. Fail 10 lần mới win 1 lần là chuyện bình thường.
Mới đầu, fail phát tưởng trời sập, muốn trốn vào chăn.
Nhưng giờ thì: fail là phần bắt buộc của quá trình.
Mỗi pha trượt dạy cho Nhi bài học mà trường lớp không ai dạy.

Càng vấp, càng lì. Càng lì, càng biết cách chơi.
Sự thật là: kinh doanh không xây bằng thành công mà xây bằng thất bại được xử lý đúng cách.

4. Làm chủ khó nưng ngồi nhìn đời trôi còn khó hơn.
Lúc nào cũng có lý do để chờ.
Lúc nào cũng có nỗi sợ, sự hoài nghi.
Nhưng mình thà sống với cái đầu yên ổn vì biết mình đã cố gắng hết sức,
còn hơn sống cả đời rồi cứ thở dài:
“Ước gì lúc đó mình liều thử một lần” kiểu vậy á, khó chịu lắm các bà.

Cứ mơ lớn, nhưng tỉnh táo.
Lập kế hoạch, tìm hiểu kỹ càng, nhưng đừng ngồi tính hoài rồi… không làm gì.

🔥 Cảm thấy trong người ""có lửa""? Quất luôn!!! #becomingbabyCEO #thaonhile #thaonhileofficial #tiktokgiaitri ",2025-05-31 19:45:23,31/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7510590101290748689,https://www.tiktok.com/@thaonhileofficial/video/7510590063835663634,12,173,2,6106,7,4,"becomingbabyceo, thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,1,4,497,0,0,0,1,0,1
Tưởng hai đứa đang ghi podcast 🎙️😂#thaonhile #thaonhileofficial #tiktokgiaitri ,2025-05-28 15:19:13,28/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7509408241214851856,https://www.tiktok.com/@thaonhileofficial/video/7509408209799597330,8,370,2,7971,3,7,"thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,2,3,7,0,0,1,0,0,0
"Nhìn yêu kiều mà nó thướt tha, mà nó vô cùng điện ảnh thế nào á các mom 😘 #thaonhile #chungthanhphongbridal ",2025-05-27 09:42:40,27/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7508950426331450129,https://www.tiktok.com/@thaonhileofficial/video/7508950393527766280,58,229,16,8528,3,3,"thaonhile, chungthanhphongbridal",False,False,thaonhileofficial,False,False,False,1,2,18,0,1,0,0,0,0
"Nhìn yêu kiều mà nó thướt tha, mà nó vô cùng điện ảnh thế nào á các mom 😘 #thaonhile #chungthanhphongbridal #tiktokgiaitri #thaonhileofficial",2025-05-26 13:16:48,26/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7508634524671019792,https://www.tiktok.com/@thaonhileofficial/video/7508634492488256786,25,506,4,9008,8,10,"thaonhile, chungthanhphongbridal, tiktokgiaitri, thaonhileofficial",False,False,thaonhileofficial,False,False,False,1,4,18,0,0,1,0,0,0
"Từ rừng rậm lạc lối, giờ thành tiên cá sương sương zị hoyyy 🧜🏼‍♀️ #thaonhile #thaonhileofficial #tiktokgiaitri #mermaid ",2025-05-25 23:03:34,25/05/2025,False,https://www.tiktok.com/@thaonhileofficial,Messy (From F1® The Movie),7500687135617697809,https://www.tiktok.com/@thaonhileofficial/video/7508414625956777224,5,5460,51,111200,56,31,"thaonhile, thaonhileofficial, tiktokgiaitri, mermaid",False,False,thaonhileofficial,False,False,False,2,4,14,0,0,0,0,1,1
"Pov: Lọ Lem đi tìm chiếc giày cổ bị đánh rơi 🥹
Throwback Cannes 2024 ✨ #thaonhile #thaonhileofficial #tiktokgiaitri ",2025-05-23 18:50:26,23/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7507607251031542544,https://www.tiktok.com/@thaonhileofficial/video/7507607220050251015,24,4310,23,75900,65,16,"thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,2,3,14,0,0,0,1,0,0
Jenny Le: Phiên bản tôi “bung lụa” #thaonhile #thaonhileofficial #tiktokgiaitri ,2025-05-21 20:14:59,21/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7506886916462103313,https://www.tiktok.com/@thaonhileofficial/video/7506886844546682130,106,346,6,10200,16,5,"thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,0,3,7,0,0,0,1,0,0
Mấy pà nào mà mê nước hoa niche thì không nên bỏ lỡ chiếc video này của Nhi nhaaaaa 😘😍 #thaonhile #thaonhileofficial #tiktokgiaitri ,2025-05-10 18:48:07,10/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7502782546560748304,https://www.tiktok.com/@thaonhileofficial/video/7502782514189176071,94,480,12,16700,40,5,"thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,1,3,19,0,0,0,1,0,1
"POV: từ nhỏ mắm ngáy ngủ hoá thành nữ hoàng chặt nát, cũng cũng ha mấy pà 💅🏼 #thaonhileofficial #thaonhile #tiktokgiaitri ",2025-05-05 18:13:53,05/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7500918568512817921,https://www.tiktok.com/@thaonhileofficial/video/7500918271223319815,52,3170,39,144600,73,21,"thaonhileofficial, thaonhile, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,1,3,17,0,0,0,1,0,0
"Tối nay quá là vui 🍻💙 @Weantodale @Trần Quốc Anh @Hai Dang Doo @Vũ Thịnh #thaonhile#thaonhileeofficial #tiktokgiaitri #1664Blanc
#BatXanhMoGuChat",2025-05-04 21:57:45,04/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7500604917917240080,https://www.tiktok.com/@thaonhileofficial/video/7500604881410051346,9,2940,58,69600,53,22,", , , , thaonhile, thaonhile, tiktokgiaitri, 1664blanc, batxanhmoguchat",False,False,thaonhileofficial,False,False,False,1,5,14,0,0,0,1,0,1
"Plan A của Nhi: lấy chồng, có nhà, có con trước 30 vẫn chưa đến. Nhưng không sao, vì Plan B cũng đẹp lắm: Nhi được sống với đam mê, đi khắp thế giới, xây dựng thương hiệu riêng và truyền cảm hứng cho mọi người xung quanh.

Ai cũng có timeline riêng. Chỉ cần mình không ngừng cố gắng, vũ trụ sẽ dẫn mình tới đúng nơi cần đến 🫶🏻 #thaonhile #thaonhileofficial #tiktokgiaitri ",2025-05-03 13:20:56,03/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7500100640006212368,https://www.tiktok.com/@thaonhileofficial/video/7500100614051876104,14,968,12,22400,19,7,"thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,1,3,70,0,0,1,0,0,1
Quê là Đức - Việt Nam là nhà #Elasten #QuelaDuc #VietNamlanha,2025-05-02 19:00:00,02/05/2025,True,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7499681809240689425,https://www.tiktok.com/@thaonhileofficial/video/7499681681771695378,55,6729,59,808900,55,60,"elasten, queladuc, vietnamlanha",False,False,thaonhileofficial,False,False,False,0,3,8,0,0,0,1,0,0
Kịp hoà nhập không khí 30.04 cùng với mọi người 🫶🏻🇻🇳✨ #thaonhile #thaonhileofficial #tiktokgiaitri #30thang4 #vietnam ,2025-05-01 17:33:01,01/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7499423559446530832,https://www.tiktok.com/@thaonhileofficial/video/7499423404722752775,74,322,2,8624,5,6,"thaonhile, thaonhileofficial, tiktokgiaitri, 30thang4, vietnam",False,False,thaonhileofficial,False,False,True,1,5,10,0,0,1,0,0,0
