text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Sinh nhật ải sinh nhật aiii🙈🙈 ig:Thaovann_02,2025-06-07 19:11:00,07/06/2025,False,https://www.tiktok.com/@thaovann_0602,nhạc nền - 200?,7367384475174849297,https://www.tiktok.com/@thaovann_0602/video/7513178801308847368,14,5032,85,46100,203,245,,False,False,thaovann_0602,False,False,False,1,0,7,0,0,0,1,0,1
Ai xin vía da không có mụn thì zô đâyyy #suaruamat #hobebar ig:Thaovann_02,2025-06-02 08:52:05,02/06/2025,True,https://www.tiktok.com/@thaovann_0602,nhạc nền - Chuyện nhà Sữa,7380625653319879440,https://www.tiktok.com/@thaovann_0602/video/7511163871604854034,44,2408,33,35600,148,67,"suaruamat, hobebar",False,False,thaovann_0602,False,False,False,0,2,11,0,1,0,0,0,0
Không chơmm em là em đi chống lầy đóooo🌚 ig:Thaovann_02,2025-05-30 17:13:22,30/05/2025,False,https://www.tiktok.com/@thaovann_0602,nhạc nền - Minh Thư Chloe 𖧷,7480130406987516689,https://www.tiktok.com/@thaovann_0602/video/7510179804100955400,15,15300,123,186900,558,272,,False,False,thaovann_0602,False,False,False,1,0,10,0,0,1,0,0,0
Bơi hết zô đâyyyyy♥️ #daugoi #lilystar ,2025-05-30 11:14:04,30/05/2025,True,https://www.tiktok.com/@thaovann_0602,nhạc nền - Chuyện nhà Sữa,7380625653319879440,https://www.tiktok.com/@thaovann_0602/video/7510087212810226962,40,9706,67,144600,404,82,"daugoi, lilystar",False,False,thaovann_0602,False,False,False,1,2,4,0,1,0,0,0,0
"Chúc người đàn ông vĩ đại nhất cuộc đời của con snvv, mãi mạnh khoẻ và luôn nở nụ cười trên môi, chúc bố có tất cả trừ vất vả ♥️ ig:Thaovann_02",2025-05-07 11:25:25,07/05/2025,False,https://www.tiktok.com/@thaovann_0602,nhạc nền - 𝐌𝐈𝐍𝐇 𝐏𝐇𝐀𝐓⚜️,7381545140382436113,https://www.tiktok.com/@thaovann_0602/video/7501555181222464775,26,14600,51,192000,468,173,,False,False,thaovann_0602,False,False,True,1,0,32,0,1,0,0,0,0
"+ 1 công dân yêu nước. Nếu kiếp sau vẫn được làm người, tôi vẫn muốn được làm công dân Việt Nam♥️ ig:Thaovann_02",2025-04-26 12:01:18,26/04/2025,False,https://www.tiktok.com/@thaovann_0602,Máu Đỏ Da Vàng Wang2k8 Remix,7484566875473496848,https://www.tiktok.com/@thaovann_0602/video/7497482487904439559,44,13500,186,213500,659,293,,False,False,thaovann_0602,False,False,True,1,0,23,0,0,1,0,0,1
"Lấy chồng nhưng k bỏ cuộc chơi c nhaa, chúc c gái tuii trăm năm hạnh phúc, sớm sinh quý tử♥️🙆🏻‍♀️ @Hạ Nhiên ig:Thaovann_02",2025-04-13 15:04:03,13/04/2025,False,https://www.tiktok.com/@thaovann_0602,nhạc nền - Huỳnh Thiên Di,7359076536709876496,https://www.tiktok.com/@thaovann_0602/video/7492705462111046930,21,70100,487,1100000,2282,415,,False,False,thaovann_0602,False,False,False,3,0,24,0,0,1,0,0,1
Lên xe đi cưngg🏍️🏍️ ig:Thaovann_02,2025-04-11 21:22:54,11/04/2025,False,https://www.tiktok.com/@thaovann_0602,nhạc nền - npl💐,7392822920755989264,https://www.tiktok.com/@thaovann_0602/video/7492060938288467218,18,16800,78,264500,625,176,,False,False,thaovann_0602,False,False,False,2,0,5,0,0,0,1,0,0
"Thắng đời 1-0, đi chơi có ảnh đẹp mang về 🙆🏻‍♀️ ig:Thaovann_02",2025-04-08 12:39:55,08/04/2025,False,https://www.tiktok.com/@thaovann_0602,nhạc nền - P.C. Tòng,7486766298114951952,https://www.tiktok.com/@thaovann_0602/video/7490812895786241288,22,38400,357,493100,1258,180,,False,False,thaovann_0602,False,False,False,2,0,12,0,0,1,0,0,0
Thơm ngon bổ rẻ🫶🏻 #suatam #lilystar ig:Thaovann_02,2025-04-04 20:18:45,04/04/2025,True,https://www.tiktok.com/@thaovann_0602,Very cute melody by marimba tone(39813),6849968592285337602,https://www.tiktok.com/@thaovann_0602/video/7489446792745045253,43,56300,820,1600000,3282,167,"suatam, lilystar",False,False,thaovann_0602,False,False,False,1,2,5,0,0,0,1,0,0
