text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Trả lời @Higuys!! Test liền cho bà haha Cushion Maogeping + công thức đánh nền của Nhã Dinh hẹ hẹ hẹ,2025-06-13 11:39:24,13/06/2025,True,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7515288962534066945,https://www.tiktok.com/@tnhadinh/video/7515288934411242760,45,14500,127,835000,1093,48,,False,False,tnhadinh,False,False,False,0,0,21,0,1,0,0,0,0
Cỡ này bà nào hay bị người yêu nựng mặt thì ko sợ trôi nền nữa trời ơiii ,2025-06-12 17:15:50,12/06/2025,True,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7515004624428862224,https://www.tiktok.com/@tnhadinh/video/7515004555088710930,43,23300,309,760800,2528,70,,False,False,tnhadinh,False,False,False,0,0,18,0,0,1,0,0,0
Đâu đâu bà nào fan anh Ngô Lỗi đâu comment cho tuii biết đi mấy bàaa,2025-06-08 15:59:35,08/06/2025,False,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7513500602844891921,https://www.tiktok.com/@tnhadinh/video/7513500551611550994,199,1336,14,41700,25,48,,False,False,tnhadinh,False,False,False,0,0,16,0,0,1,0,0,1
Mặt nạ Dr.DH dịu da giảm đỏ đỉnh của đỉnh mấy bà ơi 🤣,2025-06-06 21:05:53,06/06/2025,True,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7512837589200603921,https://www.tiktok.com/@tnhadinh/video/7512837316889611527,144,3596,47,170600,158,32,,False,False,tnhadinh,False,False,False,1,0,13,0,0,0,1,0,0
Trả lời @Sandy Nguyen unbox thành quả sau 1 ngày dài shopping ở Trung Quốc ,2025-05-30 16:53:06,30/05/2025,False,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7510174949438475024,https://www.tiktok.com/@tnhadinh/video/7510174581911620872,339,1054,7,37200,33,21,,False,False,tnhadinh,False,False,False,0,0,15,0,0,1,0,0,0
Trả lời @Moonsun and Her life kết quả của bộ hình Việt Phục ở Trung nè mí bàaa,2025-05-29 16:11:17,29/05/2025,False,https://www.tiktok.com/@tnhadinh,nhạc nền - YLing,7104644375451634459,https://www.tiktok.com/@tnhadinh/video/7509792721461136647,15,2527,13,88300,15,65,,False,False,tnhadinh,False,False,False,0,0,18,0,0,1,0,0,0
"Nước tẩy trang ngon - bổ - rẻ dành cho mí bà hssv có lượt bán 4tr sản phẩm trên sàn cam 
#taytranglorealparis #lorealparis #lorealparisskin #lorealparispartner",2025-05-25 09:58:39,25/05/2025,True,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7508212406335195905,https://www.tiktok.com/@tnhadinh/video/7508212350512631047,48,530,16,35400,52,5,"taytranglorealparis, lorealparis, lorealparisskin, lorealparispartner",False,False,tnhadinh,False,False,False,0,4,22,0,1,0,0,0,1
Hít chung bầu không khí với siêu cấp thượng lưu thấy mình cũng gì và này nọ quá nè mí bà oy haha ,2025-05-24 10:29:37,24/05/2025,False,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7507849415022676737,https://www.tiktok.com/@tnhadinh/video/7507849249887882514,81,3030,14,83500,90,28,,False,False,tnhadinh,False,False,False,0,0,23,0,1,0,0,0,1
zui quá quýnh quáng quên đang quay clip xưng t tưởng đang nch với Mimi á mí bà ơi hahaaaaa hoan hỉ bỏ quaaaa cho tui hâhhaha ,2025-05-21 16:09:38,21/05/2025,False,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7506823646149708560,https://www.tiktok.com/@tnhadinh/video/7506823620233022738,26,10700,60,243700,115,45,,False,False,tnhadinh,False,False,False,0,0,27,0,0,1,0,0,0
đi biển nhớ capcut giựt giựt nha mí bà 🙂‍↔️,2025-05-21 10:02:06,21/05/2025,False,https://www.tiktok.com/@tnhadinh,nhạc nền - TuilaChuchiday,7364380113385523984,https://www.tiktok.com/@tnhadinh/video/7506728900173499656,11,8362,124,221200,184,33,,False,False,tnhadinh,False,False,False,1,0,10,0,1,0,0,0,0
Trả lời @Kim Ngọc ❤️ Cách đánh nền từ 10h sáng tới 5 chiều mà vẫn còn nguyên,2025-05-20 21:04:19,20/05/2025,True,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7506528645285579536,https://www.tiktok.com/@tnhadinh/video/7506528464531410184,492,9054,477,282100,4100,114,,False,False,tnhadinh,False,False,False,1,0,18,0,0,0,1,0,0
Cách tui skincare khi đi biển nè,2025-05-19 12:02:02,19/05/2025,True,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7506017684589415184,https://www.tiktok.com/@tnhadinh/video/7506017639123127560,184,2132,11,104800,85,23,,False,False,tnhadinh,False,False,False,0,0,7,0,0,1,0,0,0
Trả lời @Dann đừng chọc bạn mò haha,2025-05-18 17:17:22,18/05/2025,False,https://www.tiktok.com/@tnhadinh,nhạc nền - WIND music,7490945735421086481,https://www.tiktok.com/@tnhadinh/video/7505727814616845586,15,32100,3130,1100000,593,473,,False,False,tnhadinh,False,False,False,0,0,8,0,0,1,0,0,1
