text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
✨ Top 10 skincare tips cho ai đang tuổi 20s. Da đẹp không đến từ may mắn — mà từ nhận thức đúng 🧠 và hành động sớm! #tomskincare #skincaretips #goclamdep #chamsocda #skintok ,2025-05-31 17:05:14,31/05/2025,False,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7510548843470031633,https://www.tiktok.com/@tomskincare/video/7510548790361804050,110,10700,460,193500,2806,385,"tomskincare, skincaretips, goclamdep, chamsocda, skintok",False,False,tomskincare,False,True,False,2,5,26,0,0,1,0,0,1
"Các sản phẩm skincare nổi tiếng, dịu nhẹ, hiệu quả cho da, rất nổi tiếng mà mình luôn mang theo mỗi khi travel 🧳 😍😍😍❤️ #tomskincare #skincaretips #goclamdep #skintok #chamsocda #beautytoks ",2025-05-27 15:39:49,27/05/2025,False,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7509042647638592257,https://www.tiktok.com/@tomskincare/video/7509042435448720647,124,21900,530,477000,6501,447,"tomskincare, skincaretips, goclamdep, skintok, chamsocda, beautytoks",False,False,tomskincare,False,True,False,2,6,24,0,0,1,0,0,0
"🔥 TOP 10 CÂU HỎI VỀ MỤN ẨN – GIẢI ĐÁP TỪ A-Z
Mụn ẩn dai dẳng, sần sùi mãi không hết? Video này là hướng dẫn đặc biệt dành cho bạn!

Tom đã tổng hợp những câu hỏi được hỏi NHIỀU NHẤT trên kênh của mình về trị mụn ẩn và hướng dẫn cách xử lý khoa học, không cảm tính. #tomskincare #skincaretips #goclamdep #beautytok #skintok ",2025-05-26 16:30:25,26/05/2025,False,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7508684446229465857,https://www.tiktok.com/@tomskincare/video/7508684396405247250,363,6259,215,147300,2261,215,"tomskincare, skincaretips, goclamdep, beautytok, skintok",False,False,tomskincare,False,True,False,1,5,61,0,0,1,0,0,0
"4 ""thần dược"" phục hồi da giúp skincare giống như một lựa chọn yêu bản thân, yêu cái đẹp, thú vị, không rủi ro, không tốn kém, và quan trọng hơn cả là chúng đều thực sự hiệu quả để giúp bạn glow up! Nhớ làm theo và cùng nhau đẹp hơn mỗi ngày nha! #tomskincare #skincaretips #goclamdep #beautytok #skintok #chamsocda ",2025-05-24 16:34:46,24/05/2025,False,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7507943386012240641,https://www.tiktok.com/@tomskincare/video/7507943348095765778,203,8382,276,171400,1665,300,"tomskincare, skincaretips, goclamdep, beautytok, skintok, chamsocda",False,False,tomskincare,False,True,False,0,6,55,0,0,1,0,0,1
"2 kiểu ""mụn ẩn"" sần sùi liti thường gặp và có thể tự xử lý tại nhà, cùng chia sẻ case của Tom để mọi người tham khảo nhaaa 😍😍 Ai đang bị thì xin 1 cánh tay ✋✋✋. #tomskincare #skincaretips #goclamdep #beautytok #skintok ",2025-05-22 16:22:36,22/05/2025,False,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7507198069964901137,https://www.tiktok.com/@tomskincare/video/7507198042303401223,98,19100,669,381500,5331,474,"tomskincare, skincaretips, goclamdep, beautytok, skintok",False,False,tomskincare,False,True,False,2,5,38,0,0,1,0,0,0
"Bạn có thể bảo tôi bạn thích sản phẩm skincare giá cao, nhưng thật ra có nhiều sản phẩm rẻ mà cũng rất tốt đó nha! Đây là top 12 sản phẩm skincare giá rẻ nhưng bổ và ngon. Thử ngay nếu tài chính của bạn cho phép! Nhớ xem kỹ video để biết liệu da của bạn có phù hợp ko nhé' #tomskincare #skincaretips #goclamdep #beautytok #skintok ",2025-05-19 17:35:46,19/05/2025,False,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7506103889083550480,https://www.tiktok.com/@tomskincare/video/7506103639396650247,244,24500,1228,446400,9478,638,"tomskincare, skincaretips, goclamdep, beautytok, skintok",False,False,tomskincare,False,True,False,0,5,63,0,0,1,0,0,0
10 sai lầm skincare cho da dầu mụn vào mùa hè và 10 bí quyết skincare đúng cách cho hệ da dầu mụn nhaaaa.......... 😍😍😍 #tomskincare #skincaretips #goclamdep #beautytok #skintok ,2025-05-13 17:24:16,13/05/2025,False,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7503874210889042704,https://www.tiktok.com/@tomskincare/video/7503874167108898066,238,21800,1058,445700,7284,612,"tomskincare, skincaretips, goclamdep, beautytok, skintok",False,False,tomskincare,False,True,False,1,5,24,0,0,1,0,0,0
✨10 tips skincare hiệu quả ít người biết mà cực kỳ tiết kiệm nha mn ơi!!! Ai còn tips nào hay ho comment bên dưới cho mn biết nhaaaa  😍😍😍#tomskincare #skincaretips #goclamdep #beautytok #skintok ,2025-05-09 17:53:59,09/05/2025,False,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7502397525610056449,https://www.tiktok.com/@tomskincare/video/7502397485348965639,195,22900,1068,382200,7754,393,"tomskincare, skincaretips, goclamdep, beautytok, skintok",False,False,tomskincare,False,True,False,2,5,29,0,0,1,0,0,0
"Đã từng nghĩ không thể hết mụn ẩn… cho đến khi tìm ra 7 bước skincare thuộc dạng bí kíp này. Ai đang vật lộn với da sần, mụn ẩn, da nhạy cảm hãy xem tới cuối nha! Cứ hỏi nếu bạn có câu hỏi!!! #tomskincare #skincaretips #goclamdep #beautytok #skintok ",2025-04-29 14:55:18,29/04/2025,False,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7498641187666987792,https://www.tiktok.com/@tomskincare/video/7498640584488357127,264,28100,1062,661500,11300,729,"tomskincare, skincaretips, goclamdep, beautytok, skintok",False,False,tomskincare,False,True,False,0,5,45,0,0,1,0,0,0
8 điều mình không còn làm nữa khi skincare để da đẹp hơn và 8 bí kíp chăm sóc da mình nghĩ là mình sẽ không gatekeep mà muốn mọi người làm theoo... Cùng thử nhaaaa ✨😍 #tomskincare #skincaretips #goclamdep #beautytok #skintok ,2025-04-26 17:13:22,26/04/2025,False,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7497563337673853712,https://www.tiktok.com/@tomskincare/video/7497562912676941064,291,42500,1536,809600,9663,573,"tomskincare, skincaretips, goclamdep, beautytok, skintok",False,False,tomskincare,False,True,False,1,5,36,0,0,1,0,0,1
