text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Mặt các anh thợ xây trong máy chồng nhiều hơn cả mặt vợ con 🥲 #trinhpham #xuhuong #vlognhabo ,2025-06-12 21:03:17,12/06/2025,False,https://www.tiktok.com/@trinhpham2222,nhạc nền,7508227626058730257,https://www.tiktok.com/@trinhpham2222/video/7515063165839822087,12,2836,66,61100,25,18,"trinhpham, xuhuong, vlognhabo",False,False,trinhpham2222,False,False,False,1,3,14,0,0,0,1,0,0
Mời các ba mẹ vào chọn thẻ bài của mình nhá ☺️ #trinhpham #xuhuong #vlognhabo #menangcap #nextlevelmom ,2025-06-11 18:26:06,11/06/2025,False,https://www.tiktok.com/@trinhpham2222,These Memories,6704975150896384001,https://www.tiktok.com/@trinhpham2222/video/7514651573901856008,209,290,1,9174,9,8,"trinhpham, xuhuong, vlognhabo, menangcap, nextlevelmom",False,False,trinhpham2222,False,False,False,1,5,12,0,0,0,1,0,0
Còn câu hỏi nào nữa không nhờ? ☺️ #trinhpham #xuhuong #vlognhabo ,2025-06-10 21:21:57,10/06/2025,False,https://www.tiktok.com/@trinhpham2222,original sound - Trinh Pham,7514325871700757249,https://www.tiktok.com/@trinhpham2222/video/7514325800175324434,237,6797,446,128700,899,87,"trinhpham, xuhuong, vlognhabo",False,False,trinhpham2222,False,False,False,1,3,8,0,0,0,1,0,0
Cái nhà giờ không ra cái hồn nhà nữa rồi 🥹 #trinhpham #xuhuong #vlognhabo ,2025-06-09 19:00:25,09/06/2025,False,https://www.tiktok.com/@trinhpham2222,nhạc nền - Tóc dài niền răn,7491221944923147025,https://www.tiktok.com/@trinhpham2222/video/7513918247410928903,13,7437,225,116700,139,44,"trinhpham, xuhuong, vlognhabo",False,False,trinhpham2222,False,False,False,1,3,10,0,0,0,1,0,0
Không được mỗi tháng thì mỗi quý được không ạ? 🥲 #trinhpham #xuhuong #vlognhabo #vinhquangCANDVietNam,2025-06-08 18:27:15,08/06/2025,False,https://www.tiktok.com/@trinhpham2222,original sound - Trinh Pham,7513538877836708625,https://www.tiktok.com/@trinhpham2222/video/7513538613427195144,148,14900,653,220800,258,193,"trinhpham, xuhuong, vlognhabo, vinhquangCANDVietNam",False,False,trinhpham2222,False,False,False,1,4,10,0,0,0,1,0,1
First time at #aquafinavietnaminternationalfashionweek ✨ #trinhpham #xuhuong #vlognhabo ,2025-06-07 21:04:36,07/06/2025,False,https://www.tiktok.com/@trinhpham2222,nhạc nền - Quân Nguyễn - Pu Lê Official,7510604924011449105,https://www.tiktok.com/@trinhpham2222/video/7513208077840092424,14,938,7,20700,11,6,"aquafinavietnaminternationalfashionweek, trinhpham, xuhuong, vlognhabo",False,False,trinhpham2222,False,False,True,1,4,3,0,0,0,1,0,1
Sắm được trợ thủ đắc lực trông khối nghỉ hè 😆 #EZVIZ #camerathongminh #EZVIZC6NPro ,2025-06-06 19:22:32,06/06/2025,False,https://www.tiktok.com/@trinhpham2222,original sound - Trinh Pham,7512810724687710992,https://www.tiktok.com/@trinhpham2222/video/7512810691284176135,100,12000,64,41300,53,23,"ezviz, camerathongminh, ezvizc6npro",False,False,trinhpham2222,False,False,False,1,3,10,0,0,0,1,0,0
Sắp chuyển từ phân biệt màu son sang phân biệt màu gạch 😂 #trinhpham #xuhuong #vlognhabo ,2025-06-05 20:29:34,05/06/2025,False,https://www.tiktok.com/@trinhpham2222,original sound - Trinh Pham,7512457073683073793,https://www.tiktok.com/@trinhpham2222/video/7512456882867424519,98,5825,78,124800,201,44,"trinhpham, xuhuong, vlognhabo",False,False,trinhpham2222,False,False,False,1,3,12,0,0,0,1,0,0
Chẳng qua nhiều bạn chung thôi chứ không phải cố tình 🥲 #trinhpham #xuhuong #vlognhabo ,2025-06-04 16:05:11,04/06/2025,False,https://www.tiktok.com/@trinhpham2222,nhạc nền - _gau gau ẳng ẳng  _><,7488342519223618310,https://www.tiktok.com/@trinhpham2222/video/7512017661753052424,0,38400,3311,527500,394,172,"trinhpham, xuhuong, vlognhabo",True,False,trinhpham2222,False,False,False,1,3,11,0,0,1,0,0,0
#trinhpham #xuhuong #vlognhabo ,2025-06-03 19:49:51,03/06/2025,False,https://www.tiktok.com/@trinhpham2222,original sound - Trinh Pham,7511704519814777616,https://www.tiktok.com/@trinhpham2222/video/7511704475044809991,197,5377,115,105800,77,47,"trinhpham, xuhuong, vlognhabo",False,False,trinhpham2222,False,False,False,0,3,0,0,0,0,1,0,0
Không đông lắm nhưng ồn là có thật 😝 #xuhuong #trinhpham #vlognhabo ,2025-06-02 20:26:02,02/06/2025,False,https://www.tiktok.com/@trinhpham2222,original sound - Trinh Pham,7511342745202494209,https://www.tiktok.com/@trinhpham2222/video/7511342713229315335,86,2756,27,47400,17,9,"xuhuong, trinhpham, vlognhabo",False,False,trinhpham2222,False,False,False,1,3,8,0,0,0,1,0,0
Khối nhận giấy khen sẵn sàng nghỉ hè ☺️ #trinhpham #xuhuong #vlognhabo ,2025-06-01 21:56:33,01/06/2025,False,https://www.tiktok.com/@trinhpham2222,original sound - Trinh Pham,7510995004979317505,https://www.tiktok.com/@trinhpham2222/video/7510994948024585480,18,26900,269,478400,298,120,"trinhpham, xuhuong, vlognhabo",False,False,trinhpham2222,False,False,True,1,3,9,0,0,0,1,0,1
Lần đầu tiên đi sự kiện với cương vị khác 😅 #trinhpham #xuhuong #vlognhabo ,2025-05-31 21:41:24,31/05/2025,False,https://www.tiktok.com/@trinhpham2222,original sound - Trinh Pham,7510620086483340048,https://www.tiktok.com/@trinhpham2222/video/7510619960264215816,188,7627,108,295000,374,242,"trinhpham, xuhuong, vlognhabo",False,False,trinhpham2222,False,False,False,1,3,10,0,0,0,1,0,1
"Là mẹ, hãy yêu thương và lo lắng cho con và cả cho bản thân để cả mẹ lẫn con đề khỏe tươi đúng tuổi nha các mom
#varnalife #congthuckhoetuoi #suatuoicongthuc",2025-05-30 20:27:03,30/05/2025,False,https://www.tiktok.com/@trinhpham2222,original sound - Trinh Pham,7510229899265755921,https://www.tiktok.com/@trinhpham2222/video/7510229713844047111,108,8112,18,37000,7,20,"varnalife, congthuckhoetuoi, suatuoicongthuc",False,False,trinhpham2222,False,False,False,0,3,28,0,0,0,1,0,0
Replying to @Nhật Hương Ký trao đổi chuyện sửa nhà đi các bác ☺️ #trinhpham #xuhuong #vlognhabo ,2025-05-29 20:31:43,29/05/2025,False,https://www.tiktok.com/@trinhpham2222,original sound - Trinh Pham,7509859867708984080,https://www.tiktok.com/@trinhpham2222/video/7509859840185863442,130,4479,41,101600,48,17,", trinhpham, xuhuong, vlognhabo",False,False,trinhpham2222,False,False,False,1,3,14,0,0,0,1,0,0
