text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
"Một công hai chuyện nè, vừa chống nắng vừa nâng tone đẹp #kcnnangtone #kcntoneup #toneup",2025-06-12 19:56:46,12/06/2025,False,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7515046053394352912,https://www.tiktok.com/@trishphann/video/7515046027137715463,55,1315,5,8327,43,11,"kcnnangtone, kcntoneup, toneup",False,False,trishphann,True,False,False,0,3,12,0,0,0,1,0,0
Phiên bản này 10 điểm ko có nhưng!  #larocheposaypartner #anthelios,2025-06-10 20:14:51,10/06/2025,False,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7514308541071641361,https://www.tiktok.com/@trishphann/video/7514308507919863058,71,3554,6,14100,105,16,"larocheposaypartner, anthelios",False,False,trishphann,True,False,False,0,2,8,0,0,0,1,0,0
Young and beautiful #lanadelrey ,2025-06-09 00:36:07,08/06/2025,False,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7513633698819623681,https://www.tiktok.com/@trishphann/video/7513633666350796050,107,7733,25,22900,198,44,lanadelrey,False,False,trishphann,True,False,False,0,1,3,1,0,0,0,0,0
T soi gương t vuốt tóc roeest thành thói quen luôn 🤣 kiểu tự luyến bản thân zay đó troi ☺️  #TRESEMME #TRESemmeKeratinBond #hoptaccungUnilever,2025-06-07 20:01:38,07/06/2025,False,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7513191882555083537,https://www.tiktok.com/@trishphann/video/7513191853584338184,73,1796,1,9317,34,6,"tresemme, tresemmekeratinbond, hoptaccungunilever",False,False,trishphann,True,False,False,2,3,20,0,0,0,1,0,1
Chất kem cũng ko làm lớp nền bị vón hay gì lun 👏  #dalba #dalbavn #hibisvn,2025-06-05 19:58:58,05/06/2025,True,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7512449026265074449,https://www.tiktok.com/@trishphann/video/7512448995822685448,75,86,3,30000,6,1,"dalba, dalbavn, hibisvn",False,False,trishphann,True,False,False,1,3,12,0,0,0,1,0,0
"Đỡ lắm luôn chứ đầu tóc tui mà gội mỗi ngày nó tốn thgian lắm 🥲 #arganmidas #arganmidasvietnam #haircare
#kiemdautoc",2025-06-04 19:59:31,04/06/2025,True,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7512078204888075009,https://www.tiktok.com/@trishphann/video/7512078041728765191,74,136,8,23100,24,8,"arganmidas, arganmidasvietnam, haircare, kiemdautoc",False,False,trishphann,True,False,False,1,4,15,0,0,0,1,0,0
Chính nữ ❤️ #lorealparisskin #lorealparis #chinhnu #lorealparispartner,2025-06-02 19:55:42,02/06/2025,True,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7511334925137005328,https://www.tiktok.com/@trishphann/video/7511334884170910984,93,591,377,166200,373,1,"lorealparisskin, lorealparis, chinhnu, lorealparispartner",False,False,trishphann,True,False,False,1,4,3,0,0,0,1,0,0
Da chỉ cần khoẻ là sẽ đẹp ☺️#GGGSkincare #GGGCosmetics #chagabooster #serumnam ,2025-05-31 19:55:53,31/05/2025,False,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7510592804184247057,https://www.tiktok.com/@trishphann/video/7510592775323290887,79,27,0,2782,2,0,"gggskincare, gggcosmetics, chagabooster, serumnam",False,False,trishphann,True,False,False,1,4,8,0,0,0,1,0,1
Mê tới nổi mong brand ra sp mới nhiều nhiều hahaha  #abibvn #sunstick,2025-05-30 19:55:22,30/05/2025,True,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7510221617006709505,https://www.tiktok.com/@trishphann/video/7510221549186649362,93,177,3,40700,17,0,"abibvn, sunstick",False,False,trishphann,True,False,False,0,2,11,0,0,0,1,0,0
Thử là dính liềnnnnn 🤣 #banchaidien ,2025-05-29 21:08:12,29/05/2025,True,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7509869410728479489,https://www.tiktok.com/@trishphann/video/7509869241823218952,92,217,15,70700,16,0,banchaidien,False,False,trishphann,True,False,False,1,1,4,0,0,0,1,0,0
