text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
"Combo giúp tóc phồng mượt mà không cần đi salon nha mí bà 💆🏻‍♀️
#TIGIVietnam #BedHeadbyTIGI
#LetYourCreativityRule",2025-06-12 20:07:24,12/06/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7515048799547493121,https://www.tiktok.com/@trixiebaeee/video/7515048752810396948,79,31,2,980,4,1,"tigivietnam, bedheadbytigi, letyourcreativityrule",False,False,trixiebaeee,False,False,False,2,3,14,0,0,0,1,0,0
😎 đoán mỹ phẩm cùng Chích Xiiii 🤌🏻🤌🏻🤌🏻 #goclamdep #beautytok #trixiebaeee ,2025-06-11 15:38:28,11/06/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7514608610685635329,https://www.tiktok.com/@trixiebaeee/video/7514608367541734664,272,178,0,3240,1,4,"goclamdep, beautytok, trixiebaeee",False,False,trixiebaeee,False,False,False,2,3,6,0,0,1,0,0,0
Unbox bảng mắt của mẹ Pat Mcgrath “Mothership V” 😝 đẹpppp #patmcgrath ,2025-06-09 23:49:37,09/06/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7513992827815398161,https://www.tiktok.com/@trixiebaeee/video/7513992734999432468,163,320,4,4399,8,12,patmcgrath,False,False,trixiebaeee,False,False,False,1,1,10,0,0,0,0,1,0
Dắt mấy đứa nhỏ nhà tui đi cà hê mà nó ồnnnnnn  #maybellinepartner ,2025-06-07 20:47:48,07/06/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7513203778137950977,https://www.tiktok.com/@trixiebaeee/video/7513203733778517266,60,148,2,2819,0,3,maybellinepartner,False,False,trixiebaeee,False,False,False,0,1,12,0,0,0,1,0,1
Trả cờ nhíp tutorial nhưng trên mặt mẫu cho các bà iu của tôi đêy ☺️ một trong nhẽng layout Trixie dạy trong lớp chuyên nghiệp ý,2025-06-06 17:12:20,06/06/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7512777612578573073,https://www.tiktok.com/@trixiebaeee/video/7512777102622608660,109,569,18,7845,174,10,,False,False,trixiebaeee,False,False,False,1,0,27,0,0,1,0,0,0
"Believe in your instincts 
Với Trixie, makeup không chỉ để đẹp – mà còn để vui, để yêu bản thân nhiều hơn. Và thật may mắn, hành trình với nghề đã giúp Trixie thực sự lan toả được điều đó đến nhiều bạn 💫",2025-06-06 13:14:12,06/06/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7512715797882571521,https://www.tiktok.com/@trixiebaeee/video/7512715755868179720,12,430,7,5101,6,1,,False,False,trixiebaeee,False,False,False,1,0,43,0,0,1,0,0,0
Thân chưa mà khoe kiểu đó 😀 ,2025-06-05 12:05:42,05/06/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7512327068186315537,https://www.tiktok.com/@trixiebaeee/video/7512327011256274197,26,69,0,1928,2,6,,False,False,trixiebaeee,False,False,False,1,0,6,0,0,1,0,0,0
Cùng Trixie đi dạy tại trường đại học Tài Chính Marketing nhoaaaa !!! Cả nhà UFM mình ơiiii !!! Có thấy mấy bạn trong clip khummmm ,2025-06-04 18:35:34,04/06/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7512056445228026640,https://www.tiktok.com/@trixiebaeee/video/7512056391738182930,64,272,59,9422,6,12,,False,False,trixiebaeee,False,False,False,0,0,26,0,0,0,1,0,0
Unbox 1 ụ đồ restock cho studio makeup sẽ như thía nào 🙂‍↕️ nhìn đống đồ nên mặt hơi tái chanh nha cả nhà,2025-06-03 23:21:27,03/06/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7511759038972054288,https://www.tiktok.com/@trixiebaeee/video/7511758982134893845,128,406,5,6483,16,6,,False,False,trixiebaeee,False,False,False,1,0,24,0,0,0,0,1,0
"ĐẠI HỌC CÔNG THƯƠNG - HUIT oiiiii!!! 🎉🎉
Một trong những buổi workshop makeup tại các trường đại học cùng với nhà  Maybelline ☺️ Trixie rất vui vì được là một phần của chặn hành trình makeup đầu đời của các bạn 🫶🏻🌸 hy vọng mỗi chúng ta đều sẽ thật vui vẻ, thật xinh đẹp và thật tự tin nhé 🙌🏼 
-
#maybellinevn #maybelline #trixiebaeee",2025-06-01 11:43:22,01/06/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7510837041484172048,https://www.tiktok.com/@trixiebaeee/video/7510836912014314759,59,226,17,4337,3,6,"maybellinevn, maybelline, trixiebaeee",False,False,trixiebaeee,False,False,False,4,3,60,0,1,0,0,0,1
Clip unboxing restock đợt này hưi dài nhưng mà coi xứng đáng lắm 😉  hehe #trixiebaeee #muakit #makeupartist ,2025-05-30 22:52:00,30/05/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7510267207457196801,https://www.tiktok.com/@trixiebaeee/video/7510267039278255381,327,949,8,12600,73,28,"trixiebaeee, muakit, makeupartist",False,False,trixiebaeee,False,False,False,1,3,14,0,0,0,0,1,0
Trả lời câu hỏi của 1 bạn tại trường đại học Công Thương về cách thử nền chính xác nhất 🫶🏻💁🏼‍♀️ ,2025-05-27 21:16:27,27/05/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7509129226017114896,https://www.tiktok.com/@trixiebaeee/video/7509129177157651713,36,553,15,9507,43,5,,False,False,trixiebaeee,False,False,False,2,0,21,0,0,0,1,0,0
Hũ pomade chân mày huyền thoại 👏🏻👏🏻👏🏻,2025-05-26 18:31:34,26/05/2025,False,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7508715660258495248,https://www.tiktok.com/@trixiebaeee/video/7508715587481128212,117,349,4,7382,40,15,,False,False,trixiebaeee,False,False,False,1,0,6,0,0,0,1,0,0
