text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Là ai đã khai sáng ra tips makeup này vậyyy #REDCHAMBER #CLEANBEAUTY @RED CHAMBER VN ,2025-06-11 18:25:37,11/06/2025,True,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7514651476875217680,https://www.tiktok.com/@vznganmin/video/7514651444851657992,60,258,5,29400,30,0,"redchamber, cleanbeauty, ",False,False,vznganmin,False,False,False,0,2,13,0,0,0,1,0,0
Sound chữa lành quá nè hhh #fyp ,2025-06-09 21:53:14,09/06/2025,False,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7513962809823841041,https://www.tiktok.com/@vznganmin/video/7513962783612947730,57,23,0,498,2,3,fyp,False,False,vznganmin,False,False,False,0,1,6,0,0,0,1,0,0
Team tóc đen mày nâu ✋🏻 #rocksweet #mascara ,2025-05-26 20:20:35,26/05/2025,True,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7508743737151294224,https://www.tiktok.com/@vznganmin/video/7508743705705204999,13,24,0,2684,1,0,"rocksweet, mascara",False,False,vznganmin,False,False,False,1,2,5,0,0,0,1,0,0
Tươi trẻ mỗi ngày - bắt đầu với Kiri @Kiri Vietnam #kiri #phomaikiri #kiriminisweet ,2025-05-15 19:10:44,15/05/2025,True,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7504643814254971649,https://www.tiktok.com/@vznganmin/video/7504643776678235399,78,1289,29,199500,41,137,", kiri, phomaikiri, kiriminisweet",False,False,vznganmin,False,False,False,0,3,11,0,0,0,1,0,0
"Da mướt như ngọc trai, nhờ chăm đều tay với @VTCosmetics x SKVN @StyleKorean_VN  #VT_cosmetics #VT_cosmetics.vn",2025-05-13 19:18:37,13/05/2025,True,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7503903757714492176,https://www.tiktok.com/@vznganmin/video/7503903630530006280,57,66,0,22300,12,0,", , vt_cosmetics, vt_cosmetics",False,False,vznganmin,False,False,False,0,2,15,0,0,0,1,0,0
Mấy bà thấy clip có gì lạ không? #fyp ,2025-05-13 09:21:56,13/05/2025,False,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7503749986912455441,https://www.tiktok.com/@vznganmin/video/7503749864195394824,108,55,0,1144,7,1,fyp,False,False,vznganmin,False,False,False,0,1,8,0,1,0,0,0,0
Chời oi mua được bộ chăn ga đẹp dữ ,2025-05-11 20:34:05,11/05/2025,False,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7503180940404312849,https://www.tiktok.com/@vznganmin/video/7503180915774934280,31,17,0,2079,4,0,,False,False,vznganmin,False,False,False,0,0,9,0,0,0,1,0,1
"Ước gì mua sớm hơnnn
 #LocknLock #Premiumlife #vzone",2025-05-08 16:41:02,08/05/2025,True,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7502007631150582545,https://www.tiktok.com/@vznganmin/video/7502007595419421960,57,9,1,3235,2,2,"locknlock, premiumlife, vzone",False,False,vznganmin,False,False,False,0,3,5,0,0,1,0,0,0
Lì bằng tất cả nyc của bạn cộng lại #merzyv6 ,2025-05-06 10:26:40,06/05/2025,False,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7501168981005339408,https://www.tiktok.com/@vznganmin/video/7501168947404819719,16,45,0,1835,4,1,merzyv6,False,False,vznganmin,False,False,False,0,1,9,0,1,0,0,0,0
"Đi tập hoiii 🏃🏻‍♀️‍➡️
 #fyp #haruharuwonder ",2025-05-05 12:13:01,05/05/2025,True,https://www.tiktok.com/@vznganmin,nhạc nền - Chuyện nhà Sữa,7380625653319879440,https://www.tiktok.com/@vznganmin/video/7500825269565918472,34,127,4,191400,10,0,"fyp, haruharuwonder",False,False,vznganmin,False,False,False,3,2,4,0,0,1,0,0,0
"Đã quá Tổ Quốc ơiiii 
#30thang4 #fyp ",2025-04-28 00:30:26,27/04/2025,False,https://www.tiktok.com/@vznganmin,nhạc nền - 🌸 1988 🌸,7494875164036516609,https://www.tiktok.com/@vznganmin/video/7498046618034375954,28,55,0,1265,2,0,"30thang4, fyp",False,False,vznganmin,False,False,True,0,2,5,1,0,0,0,0,0
Toiii trong 1 tháng mua 15 món của @RED CHAMBER VN #REDCHAMBER #CLEANBEAUTY ,2025-04-25 18:46:39,25/04/2025,False,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7497215888794635009,https://www.tiktok.com/@vznganmin/video/7497215866443025671,39,10,1,890,1,0,", redchamber, cleanbeauty",False,False,vznganmin,False,False,False,0,2,11,0,0,0,1,0,0
Thua Đắc Kỷ mỗi cái đuôi #fyp ,2025-04-25 10:36:31,25/04/2025,False,https://www.tiktok.com/@vznganmin,nhạc nền - 𝐘𝐢𝐧𝐠 𝐘𝐢𝐧𝐠🫧,7490008329679391543,https://www.tiktok.com/@vznganmin/video/7497089552771861778,8,53,0,1455,3,2,fyp,False,False,vznganmin,False,False,False,0,1,6,0,1,0,0,0,0
Xứng đáng để mua full màu #intoyou ,2025-04-19 19:33:01,19/04/2025,True,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7495001403519601425,https://www.tiktok.com/@vznganmin/video/7495001298777951496,43,11,0,770,2,0,intoyou,False,False,vznganmin,False,False,False,0,1,6,0,0,0,1,0,1
Ê thích cái bông phấn này hơn cái bản cũ luôn á #amortals ,2025-04-15 20:01:13,15/04/2025,True,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7493524253426731777,https://www.tiktok.com/@vznganmin/video/7493524224821218567,34,1475,60,182400,229,14,amortals,False,False,vznganmin,False,False,False,0,1,12,0,0,0,1,0,0
"Chưa bao giờ stress đến vậy  

#pgsuperbrandday 
#30NamCungVietNamKhoiSac 
#MyPGSuperStory #vzone",2025-04-09 13:56:45,09/04/2025,False,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7491203828931431169,https://www.tiktok.com/@vznganmin/video/7491203786380266760,34,29,1,2169,3,0,"pgsuperbrandday, 30namcungvietnamkhoisac, mypgsuperstory, vzone",False,False,vznganmin,False,False,True,0,4,6,0,0,1,0,0,0
"Khó quá thì để tui
 #REDCHAMBER #cleanbeauty @RED CHAMBER VN ",2025-04-05 15:09:52,05/04/2025,False,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7489738275066858246,https://www.tiktok.com/@vznganmin/video/7489738263322774839,159,24,1,1959,9,0,"redchamber, cleanbeauty, ",False,False,vznganmin,False,False,False,0,2,8,0,0,1,0,0,1
