text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
,2025-05-18 11:42:49,18/05/2025,False,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7505641625322801921,https://www.tiktok.com/@xukamechamda/video/7505641594033376519,27,16,0,488,1,2,,False,False,xukamechamda,False,True,False,0,0,0,0,1,0,0,0,1
Thêm 1 em srm ngon bổ rẻ đáng thử #anetosvietnam #anetos #srm #duongam #voucher40K #skincaremoingay #GocLamDep #chamsocdamun ,2025-04-23 20:55:30,23/04/2025,False,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7496507058875878160,https://www.tiktok.com/@xukamechamda/video/7496506895084129544,63,14,0,498,1,2,"anetosvietnam, anetos, srm, duongam, voucher40k, skincaremoingay, goclamdep, chamsocdamun",False,False,xukamechamda,False,True,False,0,8,9,0,0,0,1,0,0
1 chiếc kem dưỡng mà tui rất tâm đắc #skincare #reviewmypham #dadaumun #phuchoidamongyeu #embryolisse #xukamechamda ,2025-04-18 15:27:27,18/04/2025,False,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7494567088381299473,https://www.tiktok.com/@xukamechamda/video/7494566929223421202,54,10,0,560,0,1,"skincare, reviewmypham, dadaumun, phuchoidamongyeu, embryolisse, xukamechamda",False,False,xukamechamda,False,True,False,0,6,9,0,0,1,0,0,0
#skincare #reviewmypham #dadaumun #kemchongnang #taytrang #xukamechamda ,2025-03-31 12:48:03,31/03/2025,False,https://www.tiktok.com/@xukamechamda,nhạc nền - Rainy (dứa),7283744685355731713,https://www.tiktok.com/@xukamechamda/video/7487846313392950533,0,6686,311,310000,2079,64,"skincare, reviewmypham, dadaumun, kemchongnang, taytrang, xukamechamda",True,False,xukamechamda,False,True,False,0,6,0,0,0,1,0,0,0
Live lủng gì tầm nàyyy ,2025-03-29 19:16:23,29/03/2025,False,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7487204212196150021,https://www.tiktok.com/@xukamechamda/video/7487204200187825414,18,17,0,677,2,7,,False,False,xukamechamda,False,True,False,0,0,5,0,0,0,1,0,1
Liệu kem chống nắng Laroche posay phiên bản mới có đáng thử? #reviewmypham #skincare #kemchongnang #larocheposay #kemchongnanglarocheposay #xukadireview ,2025-03-26 12:00:14,26/03/2025,False,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7485978606074661649,https://www.tiktok.com/@xukamechamda/video/7485978568539868434,67,21,2,767,1,3,"reviewmypham, skincare, kemchongnang, larocheposay, kemchongnanglarocheposay, xukadireview",False,False,xukamechamda,False,True,False,0,6,12,0,0,1,0,0,0
Kem chống nắng LRP bản mới có đáng thử??? #skincare #reviewmypham #kemchongnang #larocheposay #xukamechamda ,2025-03-26 07:51:44,26/03/2025,False,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7485914560882756368,https://www.tiktok.com/@xukamechamda/video/7485914533899275527,67,12,9,361,2,2,"skincare, reviewmypham, kemchongnang, larocheposay, xukamechamda",False,False,xukamechamda,False,True,False,0,5,9,0,1,0,0,0,0
Toner vô thương vô phat ? #skincare #reviewmypham #toner ,2025-03-19 15:26:19,19/03/2025,False,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7483434109399632657,https://www.tiktok.com/@xukamechamda/video/7483434081804406023,43,11,0,374,1,0,"skincare, reviewmypham, toner",False,False,xukamechamda,False,True,False,0,3,6,0,0,1,0,0,0
Toner có thật sự cần thiết? #skincare #skincareroutine #chamsocda #reviewmypham #toner #tonerklairs ,2025-03-18 17:59:14,18/03/2025,False,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7483102570156755713,https://www.tiktok.com/@xukamechamda/video/7483102399511465234,67,15,1,466,4,0,"skincare, skincareroutine, chamsocda, reviewmypham, toner, tonerklairs",False,False,xukamechamda,False,True,False,0,6,6,0,0,1,0,0,0
"Bạn có biết việc chọn sai một tuýp kem chống nắng có thể trở thành “thủ phạm” hủy hoại làn da thay vì bảo vệ nó? 
Chọn sai – Da không được bảo vệ tối ưu, thậm chí còn tệ hơn:
- Bít tắc lỗ chân lông → Mụn ồ ạt kéo đến
- Chống nắng yếu → Da sạm đen dù đã chăm chỉ bôi
- Kết cấu không phù hợp → Đổ dầu, vón cục, xuống tone thảm hại
Bạn có chắc mình đang dùng đúng loại kem chống nắng không? Nếu chưa, hãy để Xuka giúp bạn tìm ra “chân ái” chống nắng cho làn da nhé:
#skincare #chamsocda #skincareroutine #reviewmypham #xukamechamda ",2025-03-18 08:37:06,18/03/2025,False,https://www.tiktok.com/@xukamechamda,nhạc nền - Bé Shinn,7482615132644723457,https://www.tiktok.com/@xukamechamda/video/7482957515123117330,0,14,3,602,2,3,"skincare, chamsocda, skincareroutine, reviewmypham, xukamechamda",True,False,xukamechamda,False,True,False,0,5,110,0,1,0,0,0,0
