text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Mỗi ngày một phong cách ❌ 30p một phong cách ✅ #yendan ,2025-06-14 13:20:58,14/06/2025,False,https://www.tiktok.com/@yendan7,original sound,7499891525766433566,https://www.tiktok.com/@yendan7/video/7515686010743786753,11,11500,94,209000,202,84,yendan,False,False,yendan7,False,False,False,2,1,9,0,0,1,0,0,1
Em vui đến nỗi giựt giựt #yendan ,2025-06-13 12:52:39,13/06/2025,False,https://www.tiktok.com/@yendan7,nhạc nền - Xuân Nam ♪,7508323913210891025,https://www.tiktok.com/@yendan7/video/7515307760330886417,15,36800,389,540900,382,116,yendan,False,False,yendan7,False,False,False,0,1,6,0,0,1,0,0,0
Ưu điểm: hay nhép. Khuyết điểm: nhép trật lất 😚🌴 #yendan ,2025-06-10 20:52:28,10/06/2025,False,https://www.tiktok.com/@yendan7,Shake It To The Max (FLY) (Remix),7468711641658525713,https://www.tiktok.com/@yendan7/video/7514318069385252097,23,13400,135,301300,181,100,yendan,False,False,yendan7,False,False,False,1,1,9,0,0,0,1,0,0
"Cũng là máy sấy Dyson huyền thoại, nhưng là diện mạo siêu mới, hot or nottt 🫣✨#yendan #beautybyDan #DysonVN #DysonTechnology #DysonBeauty #DysonSupersonicR #StyledWithr @Dyson Vietnam ",2025-06-09 22:19:03,09/06/2025,False,https://www.tiktok.com/@yendan7,nhạc nền - Yên Đan 🤍,7513969456328035073,https://www.tiktok.com/@yendan7/video/7513969332553125137,21,2461,21,78400,25,18,"yendan, beautybyDan, DysonVN, DysonTechnology, DysonBeauty, DysonSupersonicR, StyledWithr, ",False,False,yendan7,False,False,False,1,7,18,0,0,0,0,1,0
Giựt giựt kiểu chú Tín ❌ Giựt kiểu say sóng biển ✅ #yendan ,2025-06-08 18:43:41,08/06/2025,False,https://www.tiktok.com/@yendan7,Stereo Love by DJ PW Remix,7187008107669768986,https://www.tiktok.com/@yendan7/video/7513542752857066768,15,18000,301,183600,241,105,yendan,False,False,yendan7,False,False,False,2,1,10,0,0,0,1,0,1
U30 thì có sao? Xinh điẹp 5 sao là được 😂 #yendan #beautybyDan #goclamdep #thewhoo #bichup ,2025-06-05 19:18:19,05/06/2025,False,https://www.tiktok.com/@yendan7,vanilla flavor,7405116643943761936,https://www.tiktok.com/@yendan7/video/7512438472381156624,134,18100,112,340300,718,84,"yendan, beautybydan, goclamdep, thewhoo, bichup",False,False,yendan7,False,False,False,1,5,10,0,0,0,1,0,0
"Giao diện thiếu nữ, tâm hồn thiếu nhi 🦋 #yendan ",2025-06-01 20:03:48,01/06/2025,False,https://www.tiktok.com/@yendan7,nhạc nền - Yên Đan 🤍,7510965923080227585,https://www.tiktok.com/@yendan7/video/7510965769392508176,12,8713,73,159800,124,65,yendan,False,False,yendan7,False,False,False,1,1,8,0,0,0,1,0,1
Người khó quyết định kiểu: thử full bảng màu vẫn chưa quyết được 😅 #yendan #goclamdep #aobalo #aothunnu #KAYLIN ,2025-05-31 12:22:58,31/05/2025,True,https://www.tiktok.com/@yendan7,Purple Front,6992007585649920002,https://www.tiktok.com/@yendan7/video/7510475877315071249,65,9068,77,437700,332,38,"yendan, goclamdep, aobalo, aothunnu, kaylin",False,False,yendan7,False,False,False,1,5,13,0,0,1,0,0,1
"Chị em mình xăm, xăm lính 🌸 @Trâm Ngô #yendan #tramngo ",2025-05-30 21:10:43,30/05/2025,False,https://www.tiktok.com/@yendan7,nhạc nền,7268266261062683398,https://www.tiktok.com/@yendan7/video/7510240825423564033,11,29300,567,604500,704,95,", yendan, tramngo",False,False,yendan7,False,False,False,1,2,8,0,0,0,1,0,0
Cho tớ luỵ chuyến đi này thêm lần nữa nhé 😭 #SOOBINLIVECONCERT #allrounder #KINGDOM #sslabel #yendan #Soobin ,2025-05-29 21:28:53,29/05/2025,False,https://www.tiktok.com/@yendan7,Ai cũng phải lớn,7505406942858512401,https://www.tiktok.com/@yendan7/video/7509874529829719313,23,70100,450,816500,642,222,"soobinliveconcert, allrounder, kingdom, sslabel, yendan, soobin",False,False,yendan7,False,False,True,1,6,10,0,0,0,1,0,0
